GISJOIN,YEAR,AREANAME,STATE,STATEA,COUNTY,COUNTYA,DATAFLAG,NOTECODE,AGWD001
"G0100010","2004","Autauga, AL","Alabama","010","Autauga","0010","0","0",47458
"G0100030","2004","Baldwin, AL","Alabama","010","Baldwin","0030","0","0",156688
"G0100050","2004","Barbour, AL","Alabama","010","Barbour","0050","0","0",28545
"G0100070","2004","Bibb, AL","Alabama","010","Bibb","0070","0","0",21290
"G0100090","2004","Blount, AL","Alabama","010","Blount","0090","0","0",54973
"G0100110","2004","Bullock, AL","Alabama","010","Bullock","0110","0","0",11199
"G0100130","2004","Butler, AL","Alabama","010","Butler","0130","0","0",20686
"G0100150","2004","Calhoun, AL","Alabama","010","Calhoun","0150","0","0",111982
"G0100170","2004","Chambers, AL","Alabama","010","Chambers","0170","0","0",35557
"G0100190","2004","Cherokee, AL","Alabama","010","Cherokee","0190","0","0",24456
"G0100210","2004","Chilton, AL","Alabama","010","Chilton","0210","0","0",41377
"G0100230","2004","Choctaw, AL","Alabama","010","Choctaw","0230","0","0",15138
"G0100250","2004","Clarke, AL","Alabama","010","Clarke","0250","0","0",27371
"G0100270","2004","Clay, AL","Alabama","010","Clay","0270","0","0",14056
"G0100290","2004","Cleburne, AL","Alabama","010","Cleburne","0290","0","0",14471
"G0100310","2004","Coffee, AL","Alabama","010","Coffee","0310","0","0",45077
"G0100330","2004","Colbert, AL","Alabama","010","Colbert","0330","0","0",54728
"G0100350","2004","Conecuh, AL","Alabama","010","Conecuh","0350","0","0",13413
"G0100370","2004","Coosa, AL","Alabama","010","Coosa","0370","0","0",11306
"G0100390","2004","Covington, AL","Alabama","010","Covington","0390","0","0",36836
"G0100410","2004","Crenshaw, AL","Alabama","010","Crenshaw","0410","0","0",13649
"G0100430","2004","Cullman, AL","Alabama","010","Cullman","0430","0","0",79092
"G0100450","2004","Dale, AL","Alabama","010","Dale","0450","0","0",49021
"G0100470","2004","Dallas, AL","Alabama","010","Dallas","0470","0","0",44715
"G0100490","2004","DeKalb, AL","Alabama","010","DeKalb","0490","0","0",66928
"G0100510","2004","Elmore, AL","Alabama","010","Elmore","0510","0","0",71829
"G0100530","2004","Escambia, AL","Alabama","010","Escambia","0530","0","0",38256
"G0100550","2004","Etowah, AL","Alabama","010","Etowah","0550","0","0",103096
"G0100570","2004","Fayette, AL","Alabama","010","Fayette","0570","0","0",18185
"G0100590","2004","Franklin, AL","Alabama","010","Franklin","0590","0","0",30685
"G0100610","2004","Geneva, AL","Alabama","010","Geneva","0610","0","0",25562
"G0100630","2004","Greene, AL","Alabama","010","Greene","0630","0","0",9697
"G0100650","2004","Hale, AL","Alabama","010","Hale","0650","0","0",18228
"G0100670","2004","Henry, AL","Alabama","010","Henry","0670","0","0",16535
"G0100690","2004","Houston, AL","Alabama","010","Houston","0690","0","0",92914
"G0100710","2004","Jackson, AL","Alabama","010","Jackson","0710","0","0",53747
"G0100730","2004","Jefferson, AL","Alabama","010","Jefferson","0730","0","0",658468
"G0100750","2004","Lamar, AL","Alabama","010","Lamar","0750","0","0",15017
"G0100770","2004","Lauderdale, AL","Alabama","010","Lauderdale","0770","0","0",87466
"G0100790","2004","Lawrence, AL","Alabama","010","Lawrence","0790","0","0",34470
"G0100810","2004","Lee, AL","Alabama","010","Lee","0810","0","0",120537
"G0100830","2004","Limestone, AL","Alabama","010","Limestone","0830","0","0",69202
"G0100850","2004","Lowndes, AL","Alabama","010","Lowndes","0850","0","0",13154
"G0100870","2004","Macon, AL","Alabama","010","Macon","0870","0","0",23164
"G0100890","2004","Madison, AL","Alabama","010","Madison","0890","0","0",293598
"G0100910","2004","Marengo, AL","Alabama","010","Marengo","0910","0","0",22026
"G0100930","2004","Marion, AL","Alabama","010","Marion","0930","0","0",30159
"G0100950","2004","Marshall, AL","Alabama","010","Marshall","0950","0","0",84767
"G0100970","2004","Mobile, AL","Alabama","010","Mobile","0970","0","0",400107
"G0100990","2004","Monroe, AL","Alabama","010","Monroe","0990","0","0",23698
"G0101010","2004","Montgomery, AL","Alabama","010","Montgomery","1010","0","0",221802
