GISJOIN,YEAR,AREANAME,STATE,STATEA,COUNTY,COUNTYA,DATAFLAG,NOTECODE,AGWD001
"G0100010","2000","Autauga, AL","Alabama","010","Autauga","0010","0","0",43911
"G0100030","2000","Baldwin, AL","Alabama","010","Baldwin","0030","0","0",141413
"G0100050","2000","Barbour, AL","Alabama","010","Barbour","0050","0","0",29044
"G0100070","2000","Bibb, AL","Alabama","010","Bibb","0070","0","0",19938
"G0100090","2000","Blount, AL","Alabama","010","Blount","0090","0","0",51213
"G0100110","2000","Bullock, AL","Alabama","010","Bullock","0110","0","0",11616
"G0100130","2000","Butler, AL","Alabama","010","Butler","0130","0","0",21335
"G0100150","2000","Calhoun, AL","Alabama","010","Calhoun","0150","0","0",111386
"G0100170","2000","Chambers, AL","Alabama","010","Chambers","0170","0","0",36577
"G0100190","2000","Cherokee, AL","Alabama","010","Cherokee","0190","0","0",24059
"G0100210","2000","Chilton, AL","Alabama","010","Chilton","0210","0","0",39802
"G0100230","2000","Choctaw, AL","Alabama","010","Choctaw","0230","0","0",15873
"G0100250","2000","Clarke, AL","Alabama","010","Clarke","0250","0","0",27840
"G0100270","2000","Clay, AL","Alabama","010","Clay","0270","0","0",14263
"G0100290","2000","Cleburne, AL","Alabama","010","Cleburne","0290","0","0",14171
"G0100310","2000","Coffee, AL","Alabama","010","Coffee","0310","0","0",43555
"G0100330","2000","Colbert, AL","Alabama","010","Colbert","0330","0","0",55031
"G0100350","2000","Conecuh, AL","Alabama","010","Conecuh","0350","0","0",14056
"G0100370","2000","Coosa, AL","Alabama","010","Coosa","0370","0","0",11883
"G0100390","2000","Covington, AL","Alabama","010","Covington","0390","0","0",37520
"G0100410","2000","Crenshaw, AL","Alabama","010","Crenshaw","0410","0","0",13698
"G0100430","2000","Cullman, AL","Alabama","010","Cullman","0430","0","0",77586
"G0100450","2000","Dale, AL","Alabama","010","Dale","0450","0","0",49096
"G0100470","2000","Dallas, AL","Alabama","010","Dallas","0470","0","0",46225
"G0100490","2000","DeKalb, AL","Alabama","010","DeKalb","0490","0","0",64666
"G0100510","2000","Elmore, AL","Alabama","010","Elmore","0510","0","0",66261
"G0100530","2000","Escambia, AL","Alabama","010","Escambia","0530","0","0",38415
"G0100550","2000","Etowah, AL","Alabama","010","Etowah","0550","0","0",103315
"G0100570","2000","Fayette, AL","Alabama","010","Fayette","0570","0","0",18474
"G0100590","2000","Franklin, AL","Alabama","010","Franklin","0590","0","0",31219
"G0100610","2000","Geneva, AL","Alabama","010","Geneva","0610","0","0",25797
"G0100630","2000","Greene, AL","Alabama","010","Greene","0630","0","0",9964
"G0100650","2000","Hale, AL","Alabama","010","Hale","0650","0","0",18313
"G0100670","2000","Henry, AL","Alabama","010","Henry","0670","0","0",16345
"G0100690","2000","Houston, AL","Alabama","010","Houston","0690","0","0",88943
"G0100710","2000","Jackson, AL","Alabama","010","Jackson","0710","0","0",54025
"G0100730","2000","Jefferson, AL","Alabama","010","Jefferson","0730","0","0",662061
"G0100750","2000","Lamar, AL","Alabama","010","Lamar","0750","0","0",15914
"G0100770","2000","Lauderdale, AL","Alabama","010","Lauderdale","0770","0","0",87984
"G0100790","2000","Lawrence, AL","Alabama","010","Lawrence","0790","0","0",34864
"G0100810","2000","Lee, AL","Alabama","010","Lee","0810","0","0",115420
