year,state,county,STATEA,COUNTYA,countyfips,population
2003,AL,Autauga,1,1,1001,46348.0
2003,AL,Baldwin,1,3,1003,151574.0
2003,AL,Barbour,1,5,1005,28805.0
2003,AL,Bibb,1,7,1007,21224.0
2003,AL,Blount,1,9,1009,54195.0
2003,AL,Bullock,1,11,1011,11330.0
2003,AL,Butler,1,13,1013,20765.0
2003,AL,Calhoun,1,15,1015,112097.0
2003,AL,Chambers,1,17,1017,35804.0
2003,AL,Cherokee,1,19,1019,24431.0
2003,AL,Chilton,1,21,1021,40996.0
2003,AL,Choctaw,1,23,1023,15351.0
2003,AL,Clarke,1,25,1025,27448.0
2003,AL,Clay,1,27,1027,14213.0
2003,AL,Cleburne,1,29,1029,14623.0
2003,AL,Coffee,1,31,1031,44500.0
2003,AL,Colbert,1,33,1033,54675.0
2003,AL,Conecuh,1,35,1035,13577.0
2003,AL,Coosa,1,37,1037,11573.0
2003,AL,Covington,1,39,1039,36929.0
2003,AL,Crenshaw,1,41,1041,13672.0
2003,AL,Cullman,1,43,1043,78498.0
2003,AL,Dale,1,45,1045,49332.0
2003,AL,Dallas,1,47,1047,45071.0
2003,AL,DeKalb,1,49,1049,66368.0
2003,AL,Elmore,1,51,1051,70623.0
2003,AL,Escambia,1,53,1053,38332.0
2003,AL,Etowah,1,55,1055,103119.0
2003,AL,Fayette,1,57,1057,18295.0
2003,AL,Franklin,1,59,1059,30817.0
2003,AL,Geneva,1,61,1061,25556.0
2003,AL,Greene,1,63,1063,9901.0
2003,AL,Hale,1,65,1065,18328.0
2003,AL,Henry,1,67,1067,16471.0
2003,AL,Houston,1,69,1069,91576.0
2003,AL,Jackson,1,71,1071,53929.0
2003,AL,Jefferson,1,73,1073,659191.0
2003,AL,Lamar,1,75,1075,15183.0
2003,AL,Lauderdale,1,77,1077,87112.0
2003,AL,Lawrence,1,79,1079,34529.0
2003,AL,Lee,1,81,1081,119148.0
2003,AL,Limestone,1,83,1083,68255.0
2003,AL,Lowndes,1,85,1085,13415.0
2003,AL,Macon,1,87,1087,23494.0
2003,AL,Madison,1,89,1089,289343.0
2003,AL,Marengo,1,91,1091,22204.0
2003,AL,Marion,1,93,1093,30256.0
2003,AL,Marshall,1,95,1095,84110.0
2003,AL,Mobile,1,97,1097,399943.0
2003,AL,Monroe,1,99,1099,23833.0
2003,AL,Montgomery,1,101,1101,222516.0
2003,AL,Morgan,1,103,1103,112856.0
2003,AL,Perry,1,105,1105,11685.0
2003,AL,Pickens,1,107,1107,20545.0
2003,AL,Pike,1,109,1109,29147.0
2003,AL,Randolph,1,111,1111,22389.0
2003,AL,Russell,1,113,1113,48998.0
2003,AL,St Clair,1,115,1115,68590.0
2003,AL,Shelby,1,117,1117,159641.0
2003,AL,Sumter,1,119,1119,14202.0
2003,AL,Talladega,1,121,1121,80107.0
2003,AL,Tallapoosa,1,123,1123,40805.0
2003,AL,Tuscaloosa,1,125,1125,166178.0
2003,AL,Walker,1,127,1127,70132.0
2003,AL,Washington,1,129,1129,17932.0
2003,AL,Wilcox,1,131,1131,13045.0
2003,AL,Winston,1,133,1133,24596.0
2003,AK,Aleutians East,2,13,2013,2715.0
2003,AK,Aleutians West,2,16,2016,5470.0
2003,AK,Anchorage,2,20,2020,270865.0
2003,AK,Bethel,2,50,2050,16828.0
2003,AK,Bristol Bay Borough,2,60,2060,1117.0
2003,AK,Denali,2,68,2068,1879.0
2003,AK,Dillingham,2,70,2070,4904.0
2003,AK,Fairbanks North Star,2,90,2090,85223.0
2003,AK,Haines,2,100,2100,2300.0
2003,AK,Hoonah-Angoon,2,105,2105,3154.0
2003,AK,Juneau,2,110,2110,31049.0
2003,AK,Kenai Peninsula,2,122,2122,51287.0
2003,AK,Ketchikan Gateway,2,130,2130,13351.0
2003,AK,Kodiak Island,2,150,2150,13352.0
2003,AK,Lake and Peninsula,2,164,2164,1587.0
2003,AK,Matanuska-Susitna,2,170,2170,68414.0
2003,AK,Nome,2,180,2180,9186.0
2003,AK,North Slope,2,185,2185,7194.0
2003,AK,Northwest Arctic,2,188,2188,7402.0
2003,AK,Petersburg,2,195,2195,6303.0
2003,AK,Prince of Wales-Hyder,2,198,2198,5781.0
2003,AK,Sitka,2,220,2220,8867.0
2003,AK,Skagway,2,230,2230,0.0
2003,AK,Southeast Fairbanks,2,240,2240,5733.0
2003,AK,Valdez-Cordova,2,261,2261,9993.0
2003,AK,Wade Hampton,2,270,2270,7287.0
2003,AK,Wrangell,2,275,2275,0.0
2003,AK,Yakutat,2,282,2282,716.0
2003,AK,Yukon-Koyukuk,2,290,2290,6323.0
2003,AZ,Apache,4,1,4001,68388.0
2003,AZ,Cochise,4,3,4003,121736.0
2003,AZ,Coconino,4,5,4005,121172.0
2003,AZ,Gila,4,7,4007,51344.0
2003,AZ,Graham,4,9,4009,33062.0
2003,AZ,Greenlee,4,11,4011,7548.0
2003,AZ,La Paz,4,12,4012,19696.0
2003,AZ,Maricopa,4,13,4013,3388768.0
2003,AZ,Mohave,4,15,4015,172248.0
2003,AZ,Navajo,4,17,4017,104379.0
2003,AZ,Pima,4,19,4019,890987.0
2003,AZ,Pinal,4,21,4021,204529.0
2003,AZ,Santa Cruz,4,23,4023,40185.0
2003,AZ,Yavapai,4,25,4025,184576.0
2003,AZ,Yuma,4,27,4027,170604.0
2003,AR,Arkansas,5,1,5001,20147.0
2003,AR,Ashley,5,3,5003,23736.0
2003,AR,Baxter,5,5,5005,39129.0
2003,AR,Benton,5,7,5007,172263.0
2003,AR,Boone,5,9,5009,34791.0
2003,AR,Bradley,5,11,5011,12430.0
2003,AR,Calhoun,5,13,5013,5601.0
2003,AR,Carroll,5,15,5015,26451.0
2003,AR,Chicot,5,17,5017,13452.0
2003,AR,Clark,5,19,5019,23133.0
2003,AR,Clay,5,21,5021,16922.0
2003,AR,Cleburne,5,23,5023,24757.0
2003,AR,Cleveland,5,25,5025,8742.0
2003,AR,Columbia,5,27,5027,24853.0
2003,AR,Conway,5,29,5029,20527.0
2003,AR,Craighead,5,31,5031,84740.0
2003,AR,Crawford,5,33,5033,55655.0
2003,AR,Crittenden,5,35,5035,51170.0
2003,AR,Cross,5,37,5037,19174.0
2003,AR,Dallas,5,39,5039,8722.0
2003,AR,Desha,5,41,5041,14707.0
2003,AR,Drew,5,43,5043,18583.0
2003,AR,Faulkner,5,45,5045,92882.0
2003,AR,Franklin,5,47,5047,17972.0
2003,AR,Fulton,5,49,5049,11663.0
2003,AR,Garland,5,51,5051,91192.0
2003,AR,Grant,5,53,5053,16946.0
2003,AR,Greene,5,55,5055,38468.0
2003,AR,Hempstead,5,57,5057,23401.0
2003,AR,Hot Spring,5,59,5059,30615.0
2003,AR,Howard,5,61,5061,14468.0
2003,AR,Independence,5,63,5063,34479.0
2003,AR,Izard,5,65,5065,13328.0
2003,AR,Jackson,5,67,5067,17461.0
2003,AR,Jefferson,5,69,5069,83020.0
2003,AR,Johnson,5,71,5071,23462.0
2003,AR,Lafayette,5,73,5073,8366.0
2003,AR,Lawrence,5,75,5075,17504.0
2003,AR,Lee,5,77,5077,11902.0
2003,AR,Lincoln,5,79,5079,14483.0
2003,AR,Little River,5,81,5081,13406.0
2003,AR,Logan,5,83,5083,22820.0
2003,AR,Lonoke,5,85,5085,56727.0
2003,AR,Madison,5,87,5087,14423.0
2003,AR,Marion,5,89,5089,16217.0
2003,AR,Miller,5,91,5091,41961.0
2003,AR,Mississippi,5,93,5093,48995.0
2003,AR,Monroe,5,95,5095,9667.0
2003,AR,Montgomery,5,97,5097,9222.0
