BUYER_STATE,BUYER_COUNTY,year,mme
AL,COVINGTON,2006,11899.53358086268
AL,PIKE,2006,5029.7978307250405
AL,SAINT CLAIR,2006,18353.4720370882
AL,BUTLER,2006,3828.924514087504
AL,CLAY,2006,3244.174990000009
AL,MOBILE,2006,107327.36613571746
AL,FAYETTE,2006,3990.016522499989
AL,CONECUH,2006,4305.366129500009
AL,LOWNDES,2006,279.36997499999984
AL,CLARKE,2006,5063.858757450038
AL,PICKENS,2006,2510.6867913624933
AL,GREENE,2006,250.97604749999996
AL,WASHINGTON,2006,950.4735225000004
AL,CHOCTAW,2006,4168.146564949999
AL,BALDWIN,2006,51039.82905032842
AL,COOSA,2006,983.0942350000016
AL,TUSCALOOSA,2006,40419.451317553314
AL,MADISON,2006,94312.13622397195
AL,PERRY,2006,1018.151899999999
AL,SHELBY,2006,76294.99336108023
AL,CRENSHAW,2006,2077.159172500009
AL,LAWRENCE,2006,9500.425592500122
AL,CHEROKEE,2006,10096.068205000065
AL,BIBB,2006,6278.096539500068
AL,FRANKLIN,2006,13266.643450362606
AL,CHILTON,2006,14249.522659812763
AL,JACKSON,2006,22916.837795862873
AL,WINSTON,2006,11258.600467950208
AL,BLOUNT,2006,10417.46982508768
AL,MARION,2006,15341.415466362898
AL,AUTAUGA,2006,17100.542224750527
AL,MACON,2006,1976.9133513625045
AL,LAUDERDALE,2006,25413.75461000042
AL,CHAMBERS,2006,13604.605537500276
AL,WILCOX,2006,589.6356724999996
AL,LIMESTONE,2006,18289.061099000373
AL,DALE,2006,9251.30890008761
AL,DALLAS,2006,8232.200157000174
AL,HENRY,2006,2287.983327500003
AL,MONTGOMERY,2006,47333.518409179844
AL,TALLADEGA,2006,21923.04172016331
AL,HALE,2006,1749.9191577250035
AL,TALLAPOOSA,2006,7213.788713725077
AL,SUMTER,2006,925.0686875000009
AL,GENEVA,2006,7448.286040225098
AL,ETOWAH,2006,65594.54985760304
AL,MARENGO,2006,3458.757850900001
AL,MONROE,2006,4820.302882499994
AL,WALKER,2006,72509.60580487805
AL,RANDOLPH,2006,4433.529784999995
AL,ELMORE,2006,14626.803858263063
AL,CULLMAN,2006,27960.221234363424
AL,JEFFERSON,2006,232244.34966415833
AL,BARBOUR,2006,5764.019122500056
AL,CALHOUN,2006,45576.37599199157
AL,MORGAN,2006,44156.720858727
AL,LEE,2006,12147.421193675578
AL,CLEBURNE,2006,1793.5858349999987
AL,LAMAR,2006,3425.388889987502
AL,DE KALB,2006,17888.295647950265
AL,RUSSELL,2006,13772.38981358777
AL,COLBERT,2006,29690.4863744506
AL,COFFEE,2006,10784.062700225155
AL,HOUSTON,2006,29875.257676226873
AL,MARSHALL,2006,35396.88385685144
AL,ESCAMBIA,2006,12538.987860725256
AL,BULLOCK,2006,549.3548184999987
AL,CHEROKEE,2007,13337.293379300081
AL,JACKSON,2007,25200.033570362986
AL,MACON,2007,2192.4559263625038
AL,TUSCALOOSA,2007,45632.42745732922
AL,ETOWAH,2007,81248.68240549159
AL,AUTAUGA,2007,19152.43728865058
AL,CHILTON,2007,15265.744780987752
AL,MARSHALL,2007,39373.282677813935
AL,CRENSHAW,2007,2453.027257500009
AL,JEFFERSON,2007,253098.69927368805
AL,TALLADEGA,2007,27520.760984763212
AL,COFFEE,2007,12088.153191725154
AL,WINSTON,2007,12900.791445000235
AL,LOWNDES,2007,286.46486249999987
AL,BULLOCK,2007,747.0804358625008
AL,DE KALB,2007,21424.878830287675
AL,CALHOUN,2007,56226.580392429845
AL,MADISON,2007,123127.79494687542
AL,ESCAMBIA,2007,13072.93009048782
AL,ELMORE,2007,17853.36716096309
AL,SHELBY,2007,79475.98017595598
AL,SAINT CLAIR,2007,20352.130410950766
AL,RANDOLPH,2007,5209.748090000013
AL,CHAMBERS,2007,13984.61192386279
AL,LAWRENCE,2007,9529.72250636262
AL,MORGAN,2007,51234.159900002145
AL,COVINGTON,2007,14586.954119225113
AL,CULLMAN,2007,34198.79865217574
AL,MARENGO,2007,3931.0297431625017
AL,LEE,2007,14191.159131675659
AL,TALLAPOOSA,2007,8830.061126225097
AL,HALE,2007,2321.5757890875047
AL,BUTLER,2007,4782.5303452249955
AL,CHOCTAW,2007,4858.175187937518
AL,LAMAR,2007,3614.696552375005
AL,MONROE,2007,5461.110410225
AL,FAYETTE,2007,4278.273800000009
AL,CLARKE,2007,6270.4962001750855
AL,RUSSELL,2007,16177.835879075315
AL,HENRY,2007,2936.391360000007
AL,PICKENS,2007,3456.646938999987
AL,PIKE,2007,6927.333236587582
AL,BARBOUR,2007,6377.610112487574
AL,PERRY,2007,1276.9736238625017
AL,HOUSTON,2007,35054.38076898969
AL,CLEBURNE,2007,1972.837320000005
AL,GREENE,2007,448.1282649999993
AL,SUMTER,2007,1318.576947500002
AL,GENEVA,2007,6771.675810000082
AL,WASHINGTON,2007,930.1063163624995
AL,CLAY,2007,3829.9931488625125
AL,COOSA,2007,1203.5786225000024
AL,WALKER,2007,79062.02546361566
AL,CONECUH,2007,5453.305513500013
AL,MONTGOMERY,2007,55378.49313121807
AL,BALDWIN,2007,60323.05178149139
AL,COLBERT,2007,32719.147863050624
AL,BIBB,2007,7108.871080500063
AL,MOBILE,2007,121170.9336736047
AL,LAUDERDALE,2007,30886.645670225353
AL,DALLAS,2007,11929.823358862752
AL,DALE,2007,10493.278551450157
AL,WILCOX,2007,752.8227466749996
AL,LIMESTONE,2007,17869.218149362896
AL,FRANKLIN,2007,17232.913662750274
AL,BLOUNT,2007,10633.793008950131
AL,MARION,2007,17726.765626362878
AL,MARENGO,2008,4661.925376125023
AL,CLEBURNE,2008,2148.0621750000023
AL,TALLADEGA,2008,30223.356625438282
AL,BIBB,2008,8592.971607500102
AL,GREENE,2008,546.1803188624992
AL,WALKER,2008,90340.67068166616
AL,SAINT CLAIR,2008,22615.9044432258
AL,AUTAUGA,2008,21785.83529038803
AL,CRENSHAW,2008,2787.044915000016
AL,SUMTER,2008,1432.5493100000056
AL,FAYETTE,2008,4968.441345000015
AL,ELMORE,2008,21185.53657692579
AL,JACKSON,2008,24214.00905586296
AL,WASHINGTON,2008,1073.4356106750001
AL,CLAY,2008,4652.726585000025
AL,COOSA,2008,915.1193565875025
AL,TALLAPOOSA,2008,10328.894766762587
AL,CULLMAN,2008,36166.49852226339
AL,LOWNDES,2008,541.3928624999993
AL,HALE,2008,2358.5889752250064
AL,RANDOLPH,2008,5483.412160225028
AL,BLOUNT,2008,11026.019067725183
AL,PIKE,2008,8132.0468133126205
AL,MONTGOMERY,2008,63605.15133258005
AL,MADISON,2008,148603.43899502605
AL,BUTLER,2008,5867.209062500048
AL,DALLAS,2008,14590.61820336284
AL,CHOCTAW,2008,5140.032936800024
AL,LAMAR,2008,4300.639614537514
AL,WINSTON,2008,14009.638130000205
AL,MONROE,2008,6543.683015450043
AL,CHEROKEE,2008,14371.870397475044
AL,DALE,2008,11876.191552175189
AL,DE KALB,2008,23249.607339987808
AL,WILCOX,2008,974.855125
AL,MORGAN,2008,58242.40679250229
AL,CALHOUN,2008,59673.02132175504
AL,PICKENS,2008,4127.075487362495
AL,ETOWAH,2008,89648.58278762794
AL,CHAMBERS,2008,16042.111992725278
AL,PERRY,2008,1372.022523862503
AL,LAWRENCE,2008,11712.104826587605
AL,CONECUH,2008,6171.998848500034
AL,CHILTON,2008,16460.1040466127
AL,BULLOCK,2008,956.7446143125019
AL,MARION,2008,20565.590835000363
AL,COVINGTON,2008,15956.115898587626
AL,ESCAMBIA,2008,14679.3221192627
AL,COFFEE,2008,13586.458572225047
AL,MACON,2008,2454.4615825000037
AL,GENEVA,2008,7446.781797725114
AL,HOUSTON,2008,39711.02787717758
AL,BARBOUR,2008,7119.044022725103
AL,BALDWIN,2008,66828.52321617889
AL,FRANKLIN,2008,20569.760542350436
AL,SHELBY,2008,78303.96078306845
AL,LIMESTONE,2008,21007.94696108791
AL,LAUDERDALE,2008,35232.3420545882
AL,COLBERT,2008,37824.04797768848
AL,CLARKE,2008,6588.210366125067
AL,TUSCALOOSA,2008,52778.17119620461
AL,JEFFERSON,2008,275982.5588272758
AL,MOBILE,2008,132706.4564804327
AL,MARSHALL,2008,44786.029022488896
AL,LEE,2008,15980.179088175642
AL,RUSSELL,2008,19021.881016988034
AL,HENRY,2008,3129.6209250000097
AL,LAWRENCE,2009,11750.87589090016
AL,LIMESTONE,2009,21174.450633862805
AL,LEE,2009,19436.54786703825
AL,MADISON,2009,145452.33212858904
AL,ESCAMBIA,2009,15402.684072037817
AL,CLEBURNE,2009,2736.0445125000056
AL,MOBILE,2009,143541.6139242568
AL,MARENGO,2009,5309.233411575031
AL,WILCOX,2009,1136.8007999999998
AL,LAUDERDALE,2009,36792.59729771336
AL,CONECUH,2009,6636.305223862536
AL,ELMORE,2009,23500.109286788404
AL,CHEROKEE,2009,16394.432982037553
AL,BARBOUR,2009,7917.186180000133
AL,PICKENS,2009,4599.782013862516
AL,SAINT CLAIR,2009,24440.50849545064
AL,TALLADEGA,2009,34624.58032770081
AL,GENEVA,2009,9293.924655225173
AL,BALDWIN,2009,76385.37560831677
AL,CRENSHAW,2009,3148.80389250002
AL,PERRY,2009,1484.6514788625018
AL,TUSCALOOSA,2009,57595.468063803884
AL,WINSTON,2009,15356.728185000211
AL,HALE,2009,2540.4476700000087
AL,CLARKE,2009,7651.943550900107
AL,SHELBY,2009,85315.80457631814
AL,COLBERT,2009,36736.2774890633
AL,BULLOCK,2009,1421.6815200000035
AL,MONTGOMERY,2009,65264.06555715491
AL,BIBB,2009,8668.235531362612
AL,MARION,2009,23347.571126362913
AL,HENRY,2009,3514.008015000013
AL,AUTAUGA,2009,24439.987693388117
AL,DALLAS,2009,14264.77459451281
AL,WASHINGTON,2009,871.7374588499991
AL,MARSHALL,2009,52972.66783110132
AL,HOUSTON,2009,43027.783947714524
AL,CHAMBERS,2009,16464.606574537775
AL,FAYETTE,2009,5157.135262500034
AL,COVINGTON,2009,17503.630575450195
AL,GREENE,2009,574.9711952249994
