BUYER_STATE,BUYER_COUNTY,year,quantity,mme
AR,SEBASTIAN,2006,40139.0,83682.8486089546
AR,POINSETT,2006,4514.0,7224.197673000109
AR,BOONE,2006,6635.0,10420.774393862743
AR,CRITTENDEN,2006,9746.0,11768.271940000253
AR,BENTON,2006,33415.0,45191.330190365996
AR,WASHINGTON,2006,29431.0,40802.680553227976
AR,JOHNSON,2006,4930.0,5671.804527000064
AR,SEARCY,2006,1136.0,1884.1118264999998
AR,POLK,2006,6614.0,8876.373780000125
AR,PIKE,2006,1761.0,3883.8473179500184
AR,LEE,2006,988.0,1278.4188375000006
AR,SAINT FRANCIS,2006,2921.0,3476.672824999981
AR,JACKSON,2006,2071.0,2929.2974924999967
AR,WHITE,2006,9661.0,13045.109623450391
AR,MONROE,2006,851.0,1245.0403305000054
AR,CRAWFORD,2006,15941.0,22073.50515522572
AR,SALINE,2006,17126.0,24748.017666451196
AR,CARROLL,2006,5424.0,8417.327154862676
AR,PULASKI,2006,72030.0,86556.42241396251
AR,INDEPENDENCE,2006,7713.0,11951.170671000167
AR,CROSS,2006,2133.0,2744.1315479999876
AR,DESHA,2006,1889.0,2114.821612724995
AR,BRADLEY,2006,1548.0,1376.1923109500021
AR,MISSISSIPPI,2006,7880.0,9993.539868500255
AR,ASHLEY,2006,4460.0,4179.869040224962
AR,COLUMBIA,2006,2948.0,3594.8183924999717
AR,GRANT,2006,1866.0,2758.4155049999995
AR,PERRY,2006,788.0,1439.2919865000058
AR,HOWARD,2006,3736.0,2971.0886594999834
AR,DALLAS,2006,1096.0,1256.9566875000053
AR,MILLER,2006,7108.0,8853.313997500112
AR,SEVIER,2006,3335.0,3672.8168213624695
AR,LINCOLN,2006,1052.0,705.152805225
AR,DREW,2006,3446.0,3000.9562202249863
AR,LITTLE RIVER,2006,2313.0,2871.03753386249
AR,OUACHITA,2006,3368.0,5598.353298762572
AR,CLARK,2006,3646.0,4483.531793400003
AR,WOODRUFF,2006,1173.0,1873.2402663625107
AR,ARKANSAS,2006,3009.0,4830.744669862519
AR,CLEBURNE,2006,5022.0,6460.911982675084
AR,NEVADA,2006,724.0,866.4501600000013
AR,BAXTER,2006,6782.0,11600.248253175167
AR,LONOKE,2006,8669.0,11151.210760587914
AR,HOT SPRING,2006,4151.0,4964.615820000049
AR,UNION,2006,7220.0,12173.86880136271
AR,CLAY,2006,2510.0,2817.068248499986
AR,FAULKNER,2006,12368.0,16638.279497225554
AR,LOGAN,2006,3411.0,5529.273558862522
AR,JEFFERSON,2006,6214.0,7354.630900262716
AR,POPE,2006,9345.0,14010.836043125319
AR,MARION,2006,3425.0,3392.2274624999723
AR,GREENE,2006,8243.0,15252.316253625226
AR,MADISON,2006,1754.0,1919.606908362501
AR,RANDOLPH,2006,2238.0,3166.5491496749996
AR,SCOTT,2006,3047.0,5390.897121000035
AR,CRAIGHEAD,2006,20087.0,26364.407496314027
AR,LAFAYETTE,2006,1384.0,1350.377103862509
AR,YELL,2006,3431.0,4893.647841000031
AR,CALHOUN,2006,855.0,1009.9854885000049
AR,FRANKLIN,2006,2376.0,3864.9187995
AR,PRAIRIE,2006,628.0,792.2555625000015
AR,GARLAND,2006,25308.0,32898.757170589306
AR,STONE,2006,2455.0,4505.322606000004
AR,MONTGOMERY,2006,738.0,1130.6101500000027
AR,CLEVELAND,2006,121.0,129.93045000000004
AR,NEWTON,2006,292.0,493.372956674999
AR,HEMPSTEAD,2006,3883.0,4930.489632000003
AR,VAN BUREN,2006,2614.0,3480.128996499993
AR,IZARD,2006,3078.0,7108.670071500004
AR,SHARP,2006,4529.0,8067.949295587609
AR,FULTON,2006,3647.0,6831.7797368625625
AR,CHICOT,2006,1466.0,3156.0734475000177
AR,CONWAY,2006,5654.0,4909.318857000046
AR,LAWRENCE,2006,2313.0,4067.0583977249876
AR,PHILLIPS,2006,4541.0,6208.403251500074
AR,GARLAND,2007,28474.0,37170.327087265054
AR,UNION,2007,8074.0,14540.116803537749
AR,CALHOUN,2007,1136.0,1347.7570860000012
AR,WOODRUFF,2007,1357.0,2048.22131545001
AR,MONTGOMERY,2007,938.0,1423.1416725000045
AR,LITTLE RIVER,2007,2839.0,3393.893345449982
AR,OUACHITA,2007,3804.0,6738.719678175083
AR,SEVIER,2007,3991.0,4047.2845979999447
AR,CLEVELAND,2007,148.0,131.6077200000001
AR,NEWTON,2007,324.0,498.664058174999
AR,PERRY,2007,819.0,1866.3568470000039
AR,BAXTER,2007,7914.0,12178.22233751273
AR,DALLAS,2007,1063.0,1361.1239025000025
AR,PIKE,2007,2066.0,4418.413308862533
AR,COLUMBIA,2007,2727.0,4177.137629999976
AR,SEARCY,2007,1117.0,2220.0291452250003
AR,GRANT,2007,2308.0,2975.02561949999
AR,SALINE,2007,18055.0,27710.70674378867
AR,MONROE,2007,985.0,1323.3652163625063
AR,JEFFERSON,2007,8023.0,9163.669144900316
AR,HOT SPRING,2007,4744.0,5339.4513000000825
AR,WHITE,2007,12548.0,16474.39642090074
AR,HOWARD,2007,3715.0,3079.7641598624846
AR,CHICOT,2007,1476.0,3440.6574135000205
AR,INDEPENDENCE,2007,8702.0,13458.203715000165
AR,LAFAYETTE,2007,1513.0,1211.131365000008
AR,POPE,2007,9804.0,15770.19249948784
AR,IZARD,2007,4137.0,10880.874889500037
AR,LINCOLN,2007,1225.0,943.0442332250008
AR,CRAWFORD,2007,19298.0,29202.516169450853
AR,POLK,2007,6322.0,8436.196610000108
AR,STONE,2007,2829.0,4796.089939500004
AR,HEMPSTEAD,2007,4464.0,5779.402227862544
AR,FAULKNER,2007,14214.0,19588.176367000775
AR,SHARP,2007,4517.0,7973.241897000129
AR,BOONE,2007,8154.0,13447.000362087816
AR,LOGAN,2007,4607.0,7723.966350000061
AR,RANDOLPH,2007,2468.0,3870.7901499749914
AR,CARROLL,2007,7764.0,12397.696260675317
AR,CROSS,2007,2607.0,3699.3956399999706
AR,VAN BUREN,2007,2963.0,4321.823881499989
AR,WASHINGTON,2007,33175.0,48310.54296097897
AR,CLEBURNE,2007,7233.0,7616.486629500165
AR,BENTON,2007,38993.0,54435.50573954205
AR,SEBASTIAN,2007,50210.0,113076.17223973261
AR,NEVADA,2007,821.0,1052.7194625000009
AR,LONOKE,2007,11231.0,14530.167790225523
AR,PRAIRIE,2007,730.0,913.2888600000013
AR,DREW,2007,4525.0,3843.1402454999698
AR,LAWRENCE,2007,2589.0,4712.637007587524
AR,FULTON,2007,3770.0,7726.778800987548
AR,JOHNSON,2007,5287.0,6818.713626000104
AR,BRADLEY,2007,1867.0,1687.7744820000037
AR,MARION,2007,3995.0,3797.699287499982
AR,SCOTT,2007,3235.0,6083.055262500039
AR,DESHA,2007,2299.0,2600.7732855374898
AR,CONWAY,2007,4983.0,5151.844603500045
AR,MADISON,2007,2255.0,2391.061658587497
AR,JACKSON,2007,2706.0,3660.1927748624935
AR,YELL,2007,3472.0,5111.395545000027
AR,FRANKLIN,2007,2871.0,5601.150532500031
AR,ARKANSAS,2007,3308.0,5950.277374500037
AR,CRITTENDEN,2007,11012.0,12895.494565725256
AR,CLARK,2007,4368.0,5480.467787175075
AR,POINSETT,2007,5740.0,7899.856635000138
AR,PULASKI,2007,83760.0,99916.87668745345
AR,CLAY,2007,2887.0,3270.798562537479
AR,GREENE,2007,10857.0,18102.89564347523
AR,MILLER,2007,8755.0,11412.934506362666
AR,ASHLEY,2007,5361.0,4652.35717908753
AR,MISSISSIPPI,2007,8773.0,11563.071624500266
AR,CRAIGHEAD,2007,24349.0,29092.352615039345
AR,PHILLIPS,2007,4956.0,7200.165645000101
AR,SAINT FRANCIS,2007,2840.0,3796.568815999992
AR,LEE,2007,1434.0,1208.1719183999999
AR,POPE,2008,11489.0,18382.17326572543
AR,WOODRUFF,2008,1561.0,2566.88213817501
AR,CLEBURNE,2008,7668.0,7872.690032000179
AR,SEARCY,2008,1117.0,1968.7663500000017
AR,LOGAN,2008,5619.0,9575.560644000065
AR,OUACHITA,2008,4232.0,7851.070470900116
AR,PULASKI,2008,88103.0,114687.98438796817
AR,CLAY,2008,4026.0,4097.494162499987
AR,INDEPENDENCE,2008,9261.0,12942.096859500243
AR,CONWAY,2008,5622.0,6049.360365225092
AR,CROSS,2008,3021.0,4266.405029999995
AR,CRAIGHEAD,2008,24881.0,31193.073993451686
AR,CLEVELAND,2008,104.0,79.24003136250005
AR,STONE,2008,3454.0,4841.608354500019
AR,BAXTER,2008,9223.0,14161.622495962716
AR,DALLAS,2008,1215.0,1454.7098288625025
AR,PRAIRIE,2008,916.0,1181.6604563625
AR,HOT SPRING,2008,5405.0,5935.180273500118
AR,MILLER,2008,11335.0,14965.707497500187
AR,HOWARD,2008,4221.0,3525.497996999989
AR,WHITE,2008,14721.0,19625.297187175973
AR,IZARD,2008,6006.0,17832.162896999987
AR,LAWRENCE,2008,3174.0,5245.982406900032
AR,LAFAYETTE,2008,1240.0,1366.0919685000108
AR,SAINT FRANCIS,2008,4217.0,4124.910387999965
AR,YELL,2008,4168.0,6531.334372500082
AR,LINCOLN,2008,1327.0,898.3469890875026
AR,BENTON,2008,44958.0,62972.13955285502
AR,WASHINGTON,2008,38551.0,57202.993346429284
AR,LEE,2008,1565.0,904.13985
AR,BOONE,2008,9203.0,14849.171287950288
AR,SEBASTIAN,2008,57647.0,131507.18468700704
AR,MONTGOMERY,2008,866.0,1487.7455175000023
AR,CRITTENDEN,2008,10664.0,12590.829418587786
AR,NEVADA,2008,882.0,1431.844837500002
