BUYER_STATE,BUYER_COUNTY,year,quantity,mme
CA,SISKIYOU,2006,10353.0,19444.95494822531
CA,MARIN,2006,53040.0,73455.8316489155
CA,MERCED,2006,28347.0,46296.29432590358
CA,TEHAMA,2006,13803.0,29798.86807958779
CA,MONO,2006,1096.0,1073.3828190000006
CA,SAN LUIS OBISPO,2006,49856.0,87172.23587678226
CA,MODOC,2006,2087.0,4081.5999371249986
CA,BUTTE,2006,59574.0,152637.30566162296
CA,YOLO,2006,22556.0,36535.262926238174
CA,SAN BERNARDINO,2006,260417.0,329826.26568790706
CA,SAN BENITO,2006,6037.0,10164.129037500059
CA,INYO,2006,2802.0,5234.406063000033
CA,PLACER,2006,101023.0,145515.4483822127
CA,ALAMEDA,2006,747195.0,376794.97138723114
CA,NAPA,2006,23355.0,30519.704882425725
CA,SONOMA,2006,97998.0,149797.2146281759
CA,TULARE,2006,49324.0,88964.78706641009
CA,EL DORADO,2006,32122.0,59403.30987925266
CA,IMPERIAL,2006,12620.0,18966.706393312732
CA,NEVADA,2006,23432.0,50343.64700958869
CA,,2006,,
CA,KERN,2006,112055.0,145293.99643525062
CA,SUTTER,2006,20851.0,46468.712216577165
CA,FRESNO,2006,143969.0,213649.7733336055
CA,RIVERSIDE,2006,255339.0,331572.1240153951
CA,SANTA BARBARA,2006,61836.0,110362.86370078898
CA,ALPINE,2006,1.0,0.45405
CA,MADERA,2006,14492.0,28226.12197608771
CA,SOLANO,2006,94637.0,83094.52128861836
CA,SANTA CRUZ,2006,32345.0,59384.565232602865
CA,TUOLUMNE,2006,18862.0,40217.37655641359
CA,COLUSA,2006,2450.0,4711.301344312516
CA,SAN JOAQUIN,2006,134883.0,137856.99729958488
CA,MENDOCINO,2006,24675.0,52554.78136113949
CA,ORANGE,2006,412607.0,498896.00976220693
CA,SAN DIEGO,2006,447527.0,586499.3116479844
CA,MARIPOSA,2006,2317.0,2687.7498077250057
CA,SAN MATEO,2006,89174.0,89779.49187886044
CA,SIERRA,2006,405.0,419.0419799999998
CA,YUBA,2006,11899.0,29291.161557487572
CA,KINGS,2006,14895.0,22692.888958725496
CA,DEL NORTE,2006,9672.0,14760.337237500087
CA,SANTA CLARA,2006,162019.0,164104.1017205615
CA,VENTURA,2006,103340.0,145356.60800656196
CA,MONTEREY,2006,47144.0,88923.22973102289
CA,STANISLAUS,2006,139007.0,225455.072972672
CA,SACRAMENTO,2006,367028.0,395773.6240447943
CA,AMADOR,2006,8931.0,18925.042135400185
CA,PLUMAS,2006,5350.0,13529.846205225083
CA,CONTRA COSTA,2006,194360.0,207444.5561191641
CA,GLENN,2006,4668.0,11473.642449000039
