BUYER_STATE,BUYER_COUNTY,year,quantity,mme
CT,HARTFORD,2006,130129.0,228650.4337186244
CT,NEW HAVEN,2006,188375.0,369901.1332661072
CT,WINDHAM,2006,21019.0,40891.332976313875
CT,LITCHFIELD,2006,34418.0,60089.61565567727
CT,FAIRFIELD,2006,112253.0,229687.81224410047
CT,NEW LONDON,2006,44504.0,78835.39844708973
CT,MIDDLESEX,2006,29862.0,58646.93495386376
CT,TOLLAND,2006,15609.0,29027.317299226164
CT,,2006,,
CT,LITCHFIELD,2007,38631.0,65658.97023142688
CT,NEW HAVEN,2007,207250.0,415224.8837529414
CT,FAIRFIELD,2007,133157.0,254524.20653661352
CT,MIDDLESEX,2007,31183.0,60283.064063588645
CT,NEW LONDON,2007,50016.0,87031.12467630296
CT,HARTFORD,2007,151646.0,266701.3103742978
CT,WINDHAM,2007,24646.0,43972.54876823901
CT,TOLLAND,2007,19020.0,34747.31144748881
CT,,2007,,
CT,MIDDLESEX,2008,31670.0,57326.038415476316
CT,NEW LONDON,2008,53806.0,94990.0778206287
CT,WINDHAM,2008,26109.0,45915.40033020146
CT,HARTFORD,2008,161851.0,293037.13711001776
CT,TOLLAND,2008,20279.0,37366.239995813834
CT,FAIRFIELD,2008,132138.0,270060.3932778132
CT,,2008,,
CT,NEW HAVEN,2008,205785.0,420393.91464044544
CT,LITCHFIELD,2008,40533.0,69624.5090843277
CT,FAIRFIELD,2009,137782.0,292703.4384303983
CT,TOLLAND,2009,20791.0,40827.33462408861
CT,HARTFORD,2009,163787.0,314746.8932053016
CT,NEW LONDON,2009,58783.0,103570.13839204084
CT,WINDHAM,2009,27241.0,48330.29268772665
CT,LITCHFIELD,2009,41367.0,73695.0644529025
CT,MIDDLESEX,2009,35179.0,61128.089223705974
CT,NEW HAVEN,2009,218875.0,439661.44692540885
CT,NEW LONDON,2010,62244.0,106571.34339409016
CT,HARTFORD,2010,174180.0,334523.78272734344
CT,LITCHFIELD,2010,43290.0,76679.2693485764
CT,NEW HAVEN,2010,238300.0,476646.39277830423
CT,MIDDLESEX,2010,38194.0,68199.33344143872
CT,TOLLAND,2010,21788.0,41903.89908817617
CT,WINDHAM,2010,28487.0,51450.17184750147
CT,FAIRFIELD,2010,149691.0,324069.57332779607
CT,NEW HAVEN,2011,258992.0,503329.7311554333
CT,LITCHFIELD,2011,46371.0,78244.35736882656
CT,WINDHAM,2011,30190.0,52388.19112500125
CT,NEW LONDON,2011,70570.0,113506.55129467779
CT,MIDDLESEX,2011,42314.0,75267.1244356507
CT,HARTFORD,2011,174396.0,309061.1339040949
CT,TOLLAND,2011,23047.0,41264.59797431356
CT,FAIRFIELD,2011,168918.0,350604.26780976594
CT,TOLLAND,2012,23760.0,42448.515501113376
CT,MIDDLESEX,2012,42506.0,77260.5539444254
CT,HARTFORD,2012,186731.0,332371.20025654376
CT,NEW LONDON,2012,76635.0,124814.6400837399
CT,WINDHAM,2012,30791.0,54559.4606486263
CT,LITCHFIELD,2012,48647.0,81500.24155560108
CT,FAIRFIELD,2012,174791.0,371552.82792248524
CT,NEW HAVEN,2012,271842.0,542422.4271207987
