BUYER_STATE,BUYER_COUNTY,year,quantity,mme
FL,PALM BEACH,2006,291751.0,645319.1794897038
FL,FLAGLER,2006,13710.0,21015.01938367547
FL,MONROE,2006,25757.0,42203.180115727446
FL,,2006,,
FL,SAINT JOHNS,2006,27960.0,43666.0835257272
FL,CALHOUN,2006,1700.0,1851.9058230000117
FL,HAMILTON,2006,1219.0,1804.8995505000073
FL,UNION,2006,1802.0,2453.7138810000033
FL,SARASOTA,2006,104592.0,186351.13329228776
FL,HOLMES,2006,2984.0,5115.280070000033
FL,VOLUSIA,2006,108609.0,166518.40532767298
FL,CITRUS,2006,34227.0,49646.89102934089
FL,NASSAU,2006,19445.0,26318.179441313612
FL,OKALOOSA,2006,30567.0,51768.87854175236
FL,SUMTER,2006,12089.0,12822.86720500025
FL,SANTA ROSA,2006,24805.0,44111.67851095136
FL,WALTON,2006,13342.0,22041.41405562554
FL,BRADFORD,2006,8450.0,13424.830894900231
FL,JACKSON,2006,7130.0,9866.87533750018
FL,MARION,2006,74560.0,114208.97585439957
FL,MARTIN,2006,31563.0,68573.12878736468
FL,CLAY,2006,46009.0,69327.28997720485
FL,LEON,2006,33656.0,43067.63904172785
FL,ESCAMBIA,2006,63765.0,96186.44732702237
FL,ALACHUA,2006,54294.0,82596.6186877293
FL,DIXIE,2006,1464.0,2952.7461250000056
FL,INDIAN RIVER,2006,27910.0,43237.35108176451
FL,PUTNAM,2006,22522.0,38637.50297338853
FL,LAKE,2006,44458.0,64563.419322430826
FL,GILCHRIST,2006,1812.0,4032.605950000007
FL,MANATEE,2006,93426.0,150205.64369562527
FL,COLUMBIA,2006,15559.0,27550.681708588032
FL,SAINT LUCIE,2006,47646.0,95970.4534293669
FL,SEMINOLE,2006,85310.0,134735.66849282285
FL,TAYLOR,2006,5160.0,5544.284807500053
FL,DUVAL,2006,196107.0,293452.9754727002
FL,OSCEOLA,2006,30491.0,50817.7219688153
FL,HIGHLANDS,2006,16275.0,22995.715222501018
FL,SUWANNEE,2006,7498.0,9345.596314950142
FL,CHARLOTTE,2006,42312.0,82123.59715794155
FL,BAY,2006,50655.0,61998.10247207856
FL,PINELLAS,2006,397454.0,607000.7514847196
FL,GULF,2006,1917.0,3543.3416160000033
FL,HILLSBOROUGH,2006,628041.0,1027723.7849867414
FL,PASCO,2006,139422.0,268426.05337068974
FL,HENDRY,2006,9276.0,16527.160282500317
FL,BAKER,2006,8450.0,11900.178637500152
FL,ORANGE,2006,149796.0,249616.1813477574
FL,LAFAYETTE,2006,765.0,1215.7013750000024
FL,BREVARD,2006,121039.0,201186.1534030964
FL,LEE,2006,143559.0,309886.7067442962
FL,FRANKLIN,2006,1346.0,2174.577223000009
FL,OKEECHOBEE,2006,12173.0,20628.537535312924
FL,COLLIER,2006,53223.0,107528.68073415474
FL,DE SOTO,2006,4940.0,7179.580011500067
FL,LIBERTY,2006,302.0,628.4498325000004
FL,POLK,2006,150467.0,178941.7804374425
FL,WASHINGTON,2006,5553.0,7659.031901000099
FL,LEVY,2006,15082.0,18659.653543000506
FL,MADISON,2006,2426.0,2315.6333313624987
FL,HERNANDO,2006,53912.0,78727.92757445497
FL,MIAMI-DADE,2006,159171.0,303039.7180859787
FL,GADSDEN,2006,5176.0,6021.017100225093
FL,WAKULLA,2006,4502.0,5464.2538940000395
FL,BROWARD,2006,453388.0,1222607.3896553789
FL,HARDEE,2006,2837.0,3682.5681049999953
FL,JEFFERSON,2006,1565.0,1465.4849204999978
FL,INDIAN RIVER,2007,31128.0,51702.13878888993
FL,HARDEE,2007,3019.0,3996.159572499998
FL,LEON,2007,37396.0,47083.40082031617
FL,VOLUSIA,2007,119160.0,195477.5530197753
FL,JACKSON,2007,8327.0,11355.73454750023
FL,ESCAMBIA,2007,74727.0,113832.92120254097
FL,HIGHLANDS,2007,16112.0,24466.187287941113
FL,HENDRY,2007,9806.0,19191.329012087892
FL,LIBERTY,2007,298.0,738.3230204999995
FL,DIXIE,2007,1580.0,3098.6997413625013
FL,GILCHRIST,2007,1798.0,4195.956289500011
FL,TAYLOR,2007,6562.0,6762.137541362609
FL,PUTNAM,2007,24160.0,39640.180580013555
FL,COLUMBIA,2007,17028.0,30011.436168013053
FL,LAFAYETTE,2007,861.0,1355.7724875000035
FL,SUWANNEE,2007,8375.0,11324.528017850196
FL,OSCEOLA,2007,36538.0,64095.23232799104
FL,BAKER,2007,11144.0,13793.788183225113
FL,SUMTER,2007,15059.0,16784.182853000446
FL,WALTON,2007,15418.0,24799.00105896552
FL,MADISON,2007,2673.0,2632.527374224996
FL,JEFFERSON,2007,1740.0,1732.0343369999987
FL,CITRUS,2007,38276.0,58420.50957311638
FL,GADSDEN,2007,5553.0,7138.511467500114
FL,HERNANDO,2007,64728.0,111241.43089612249
FL,NASSAU,2007,22100.0,30364.848846726178
FL,BRADFORD,2007,9861.0,15854.865475125225
FL,LEVY,2007,19208.0,22313.800503725663
FL,HOLMES,2007,3544.0,5388.6306392250335
FL,DE SOTO,2007,5333.0,7726.090771792575
FL,BAY,2007,46572.0,61255.85799926616
FL,HAMILTON,2007,1395.0,2249.3530935000053
FL,CALHOUN,2007,1622.0,2021.5322535000098
FL,SAINT JOHNS,2007,29895.0,49616.90935490194
FL,FRANKLIN,2007,1241.0,2099.0765175000056
FL,FLAGLER,2007,15080.0,24313.087587762962
FL,SAINT LUCIE,2007,52596.0,112422.71420493034
FL,MARION,2007,83895.0,140167.10838947791
FL,WAKULLA,2007,5662.0,7575.903873500098
FL,MARTIN,2007,34224.0,77097.86936731488
FL,GULF,2007,2261.0,3813.9477660000057
FL,UNION,2007,1913.0,2777.3403794000114
FL,MONROE,2007,28176.0,46281.92468422733
FL,,2007,,
FL,ALACHUA,2007,56118.0,95259.6279767931
FL,SEMINOLE,2007,96767.0,185430.98862422438
FL,MANATEE,2007,104070.0,172443.21415870427
FL,MIAMI-DADE,2007,173867.0,373495.88119888
FL,BROWARD,2007,593627.0,1720337.481720641
FL,DUVAL,2007,232966.0,344954.36544153484
FL,SARASOTA,2007,122394.0,242670.3861623037
FL,CHARLOTTE,2007,46668.0,103366.66686720558
FL,OKEECHOBEE,2007,13256.0,24923.11014090056
FL,LEE,2007,143259.0,295673.26356948045
FL,COLLIER,2007,59638.0,129910.31275693116
FL,LAKE,2007,52090.0,82180.0273315835
FL,BREVARD,2007,143028.0,246505.6839382635
FL,OKALOOSA,2007,32670.0,51948.68690433954
FL,PASCO,2007,153626.0,356094.0088700386
FL,ORANGE,2007,165158.0,305170.6164433013
FL,HILLSBOROUGH,2007,464509.0,1189548.966784732
FL,WASHINGTON,2007,6864.0,9660.023178300129
FL,PINELLAS,2007,322241.0,636336.2976673237
FL,POLK,2007,113435.0,170075.5240327064
FL,PALM BEACH,2007,358376.0,924515.0144843023
FL,CLAY,2007,52861.0,85815.94069483093
FL,SANTA ROSA,2007,31370.0,51318.023231731866
FL,CLAY,2008,59150.0,98532.92591602
FL,SUWANNEE,2008,8777.0,12980.800460675146
FL,WASHINGTON,2008,8172.0,11461.81200412512
FL,OKALOOSA,2008,34198.0,53881.856700314645
FL,HOLMES,2008,3711.0,5350.438789587534
FL,SARASOTA,2008,137567.0,324196.6680052038
FL,PALM BEACH,2008,465202.0,1334354.3831698054
FL,HENDRY,2008,10517.0,20998.036911000414
FL,BAKER,2008,11884.0,15651.32215422517
FL,HERNANDO,2008,85515.0,197158.77536772224
FL,OKEECHOBEE,2008,14533.0,29189.02021492556
FL,UNION,2008,2480.0,3458.164693350011
FL,MARTIN,2008,39259.0,99157.7796427273
FL,MANATEE,2008,106130.0,196741.84314976458
FL,OSCEOLA,2008,46200.0,93117.01540626754
FL,HARDEE,2008,3329.0,4647.926044500018
FL,DUVAL,2008,242406.0,408809.255086162
FL,ORANGE,2008,217640.0,483055.08753783966
FL,HAMILTON,2008,1773.0,3039.991791000008
FL,PASCO,2008,190140.0,494709.0844496416
FL,TAYLOR,2008,7916.0,8597.878620000138
FL,MARION,2008,91141.0,160020.95087337864
FL,COLLIER,2008,65763.0,147472.3473860064
FL,BRADFORD,2008,10934.0,17501.063683500106
FL,SUMTER,2008,15273.0,21509.17227172555
FL,WAKULLA,2008,6055.0,8114.9219535001175
FL,FRANKLIN,2008,1407.0,2152.9779473625103
FL,MADISON,2008,2711.0,2793.8812853624886
FL,CALHOUN,2008,1760.0,2225.156550000013
FL,ALACHUA,2008,64869.0,114675.2219217685
FL,CITRUS,2008,41632.0,71761.41768466689
FL,BAY,2008,49160.0,65665.01292126594
FL,SAINT JOHNS,2008,33280.0,56641.75821353928
FL,CHARLOTTE,2008,57171.0,142308.39840053048
FL,NASSAU,2008,25612.0,38339.252757001115
FL,LAKE,2008,60587.0,103711.04927071046
FL,JACKSON,2008,8860.0,12130.103321500199
FL,SAINT LUCIE,2008,60083.0,139178.02248923187
FL,DE SOTO,2008,5340.0,7953.604365000078
FL,BREVARD,2008,169937.0,317947.5992638272
FL,LEE,2008,159689.0,340668.9295273179
FL,LEVY,2008,20042.0,28379.512612900682
FL,PINELLAS,2008,383104.0,933646.569568357
FL,MONROE,2008,31686.0,53446.0962143649
FL,FLAGLER,2008,17543.0,30727.47041245048
FL,GADSDEN,2008,5676.0,6724.820623500107
FL,GILCHRIST,2008,2180.0,4955.8422
FL,WALTON,2008,14151.0,24625.185682337924
FL,MIAMI-DADE,2008,205617.0,519536.8065604283
FL,COLUMBIA,2008,20635.0,37731.01713781312
FL,ESCAMBIA,2008,75449.0,116136.84399340067
FL,JEFFERSON,2008,1791.0,2123.4259035000014
