BUYER_STATE,BUYER_COUNTY,year,quantity,mme
HI,HONOLULU,2006,78779.0,101637.96207870779
HI,MAUI,2006,30553.0,52555.9072896769
HI,HAWAII,2006,40619.0,54283.20396817868
HI,KAUAI,2006,17415.0,39818.054112488324
HI,HONOLULU,2007,85925.0,114572.14569375868
HI,HAWAII,2007,43769.0,56901.85429447868
HI,KAUAI,2007,16231.0,34169.488789463154
HI,MAUI,2007,35128.0,57968.522564889565
HI,HONOLULU,2008,93722.0,138076.23434082256
HI,HAWAII,2008,48991.0,63845.20955621691
HI,KAUAI,2008,17989.0,36725.04720172591
HI,MAUI,2008,39971.0,66057.52216065228
HI,KAUAI,2009,19492.0,44348.05801155105
HI,HAWAII,2009,49216.0,70120.24995146612
HI,MAUI,2009,45770.0,93640.83389812808
HI,HONOLULU,2009,94380.0,142647.38883934473
HI,HAWAII,2010,51795.0,76461.27395482904
HI,HONOLULU,2010,104369.0,158943.73819830565
HI,KAUAI,2010,19144.0,43956.53843062571
HI,MAUI,2010,48950.0,112261.55950972789
HI,MAUI,2011,50899.0,117257.30171868959
HI,KAUAI,2011,17326.0,38650.095461550445
HI,HAWAII,2011,53742.0,79306.20375757883
HI,HONOLULU,2011,116459.0,181761.10793126782
HI,MAUI,2012,50382.0,104895.05993051418
HI,HAWAII,2012,55102.0,83019.11252119024
HI,HONOLULU,2012,126674.0,201234.08286101682
HI,KAUAI,2012,16484.0,35080.9776919504
