BUYER_STATE,BUYER_COUNTY,year,quantity,mme
IA,,2006,,
IA,MONONA,2006,1136.0,1768.6152383624997
IA,MITCHELL,2006,559.0,490.284899999999
IA,DALLAS,2006,2511.0,5064.1396733625115
IA,CLAYTON,2006,1040.0,1193.2407375000043
IA,IDA,2006,620.0,1034.9163525000033
IA,OBRIEN,2006,627.0,1178.9795925000012
IA,WORTH,2006,213.0,250.0259940000001
IA,ALLAMAKEE,2006,631.0,911.9622270000028
IA,BUENA VISTA,2006,779.0,955.5377740875043
IA,CHICKASAW,2006,541.0,571.2109875000008
IA,WINNEBAGO,2006,1776.0,3051.748762499991
IA,EMMET,2006,561.0,608.9598285000002
IA,HOWARD,2006,687.0,1141.3201695000025
IA,WOODBURY,2006,6865.0,11176.681591362674
IA,HANCOCK,2006,349.0,455.2781444999992
IA,SHELBY,2006,986.0,1606.3888913625017
IA,CALHOUN,2006,1023.0,852.247073999999
IA,JACKSON,2006,1632.0,2335.479450000005
IA,PAGE,2006,2169.0,2319.618943725007
IA,MAHASKA,2006,2597.0,5053.037574500027
IA,ADAMS,2006,346.0,664.8217875000003
IA,OSCEOLA,2006,478.0,575.7572144999993
IA,CEDAR,2006,663.0,617.9601180000014
IA,ADAIR,2006,768.0,1129.8284250000013
IA,LEE,2006,5189.0,7548.455979862595
IA,PALO ALTO,2006,821.0,558.4902074999992
IA,SIOUX,2006,1499.0,1469.6504070000028
IA,BOONE,2006,3553.0,7234.63234650009
IA,BLACK HAWK,2006,11890.0,18140.579529175233
IA,FRANKLIN,2006,845.0,1662.153090000005
IA,DES MOINES,2006,5252.0,7381.2795788626445
IA,POLK,2006,59610.0,107570.57972926354
IA,JASPER,2006,4571.0,7062.460021537606
IA,WRIGHT,2006,1547.0,2246.00576300001
IA,MILLS,2006,993.0,1916.1927540000017
IA,FREMONT,2006,747.0,825.3628875000029
IA,CHEROKEE,2006,571.0,953.4996748125008
IA,WINNESHIEK,2006,1052.0,1431.8753370000086
IA,GUTHRIE,2006,821.0,1292.7706290000003
IA,HUMBOLDT,2006,879.0,1230.9318375000028
IA,UNION,2006,2041.0,2591.696883000003
IA,DUBUQUE,2006,7608.0,10079.295726000128
IA,CERRO GORDO,2006,6188.0,10901.474903000028
IA,WAPELLO,2006,3747.0,6929.407715487548
IA,JEFFERSON,2006,2598.0,3256.0038452249673
IA,CASS,2006,1491.0,1637.5002008625029
IA,JOHNSON,2006,5970.0,8019.904429500201
IA,HARDIN,2006,2176.0,2432.882325
IA,CLINTON,2006,4524.0,6835.324308500098
IA,BREMER,2006,2447.0,3028.275761999994
IA,CLAY,2006,1346.0,1507.9774875000057
IA,FAYETTE,2006,1827.0,2433.165710362511
IA,VAN BUREN,2006,389.0,633.6054570000001
IA,HENRY,2006,1504.0,2247.1396875000037
IA,TAMA,2006,915.0,966.6456795000038
IA,DECATUR,2006,692.0,963.5158125000006
IA,LOUISA,2006,455.0,410.0136374999991
IA,GREENE,2006,633.0,1139.9444625000024
IA,WAYNE,2006,777.0,1158.0147644999995
IA,SCOTT,2006,21757.0,26697.517188500915
IA,POWESHIEK,2006,2190.0,3245.7562874999976
IA,KEOKUK,2006,204.0,201.08452499999981
IA,DAVIS,2006,384.0,616.854637500001
IA,HARRISON,2006,2507.0,3586.6030823624988
IA,POCAHONTAS,2006,337.0,591.5650500000005
IA,WASHINGTON,2006,1519.0,2057.961117500004
IA,DELAWARE,2006,625.0,737.6944035000017
IA,IOWA,2006,780.0,774.5269245000029
IA,JONES,2006,1058.0,1267.2048690000056
IA,WARREN,2006,3494.0,5310.493588500037
IA,BUCHANAN,2006,908.0,910.5633000000047
IA,BUTLER,2006,573.0,878.6310188625023
IA,APPANOOSE,2006,2373.0,3061.0386604499977
IA,CRAWFORD,2006,1100.0,1010.1546375000065
IA,STORY,2006,5455.0,6926.561398087661
IA,DICKINSON,2006,1009.0,1565.5514250000053
IA,MUSCATINE,2006,2895.0,4563.789444000021
IA,MARION,2006,4502.0,8283.103465725166
IA,RINGGOLD,2006,355.0,780.084600000002
IA,MARSHALL,2006,4198.0,6616.570552500081
IA,LYON,2006,700.0,916.3220235000061
