BUYER_STATE,BUYER_COUNTY,year,quantity,mme
ID,GOODING,2006,1661.0,1769.2922160000037
ID,SHOSHONE,2006,2919.0,7807.199119125009
ID,KOOTENAI,2006,24870.0,38871.39269045236
ID,WASHINGTON,2006,1031.0,1816.8973350000065
ID,POWER,2006,593.0,1106.9635050000022
ID,JEROME,2006,2372.0,2918.1510500000104
ID,MINIDOKA,2006,1025.0,1357.3279410000034
ID,CASSIA,2006,5237.0,5475.199920000061
ID,CARIBOU,2006,1203.0,1819.4025359999996
ID,TWIN FALLS,2006,12591.0,19766.564360362972
ID,TETON,2006,516.0,1078.277145000002
ID,ADA,2006,79124.0,86952.63407245773
ID,BEAR LAKE,2006,1396.0,2507.815269000004
ID,MADISON,2006,2486.0,3178.8564119999974
ID,JEFFERSON,2006,725.0,1762.9571625000044
ID,BANNOCK,2006,10948.0,15054.316384000258
ID,BINGHAM,2006,3928.0,4270.638478862496
ID,GEM,2006,3371.0,3677.9061375000033
ID,CANYON,2006,21556.0,25937.084822588517
ID,PAYETTE,2006,2685.0,3206.258319000004
ID,VALLEY,2006,1824.0,2053.2088845000058
ID,BONNEVILLE,2006,16237.0,21481.84532372586
ID,FRANKLIN,2006,1082.0,2234.6649395000013
ID,BLAINE,2006,2073.0,2381.1861615000053
ID,LEWIS,2006,858.0,1364.353728000005
ID,LINCOLN,2006,10.0,1.195665
ID,ELMORE,2006,2857.0,3493.1305500000003
ID,ONEIDA,2006,1531.0,1841.3555788625017
ID,BUTTE,2006,373.0,777.5427750000005
ID,OWYHEE,2006,301.0,423.05414999999937
ID,CLEARWATER,2006,1233.0,2765.5323981750116
ID,LATAH,2006,4917.0,6823.889751000088
ID,BONNER,2006,6456.0,11265.890163675098
ID,BENEWAH,2006,1352.0,1966.0409505000127
ID,FREMONT,2006,476.0,692.5785875000006
ID,IDAHO,2006,1299.0,2123.993802000015
ID,LEMHI,2006,1546.0,2563.2051000000056
ID,BOUNDARY,2006,2197.0,4020.9298190000104
ID,CUSTER,2006,162.0,501.88259999999957
ID,ADAMS,2006,28.0,8.7783
ID,NEZ PERCE,2006,11845.0,16863.772453500344
ID,BENEWAH,2007,1729.0,2574.843208500014
ID,PAYETTE,2007,1616.0,2733.4532689500006
ID,JEFFERSON,2007,802.0,1996.6551000000063
ID,FRANKLIN,2007,1072.0,2225.4587000000047
ID,ADAMS,2007,19.0,5.7513000000000005
ID,GEM,2007,1652.0,3202.5465000000067
ID,BOUNDARY,2007,2065.0,4222.7382375000225
ID,OWYHEE,2007,415.0,570.3140999999997
ID,BINGHAM,2007,4375.0,5126.548516587547
ID,BLAINE,2007,1791.0,2136.5436900000072
ID,BUTTE,2007,443.0,941.5401300000001
ID,VALLEY,2007,2298.0,2593.6623750000117
ID,FREMONT,2007,592.0,814.9621425000007
ID,LINCOLN,2007,2.0,0.2951325
ID,SHOSHONE,2007,3710.0,8278.424265000052
ID,BONNER,2007,7788.0,12837.461351562622
ID,KOOTENAI,2007,28050.0,42116.20294585267
ID,WASHINGTON,2007,1022.0,1627.0641750000068
ID,CUSTER,2007,218.0,648.1825875000001
ID,GOODING,2007,1682.0,1878.9422250000084
ID,ELMORE,2007,2816.0,3539.5172625000087
ID,POWER,2007,602.0,1063.4387250000034
ID,JEROME,2007,2849.0,3284.7029400000215
ID,MINIDOKA,2007,1313.0,1428.1680375000028
ID,LEMHI,2007,1694.0,2671.394812500006
ID,CASSIA,2007,6577.0,6343.461046350074
ID,CARIBOU,2007,1278.0,1781.7776663625011
ID,ONEIDA,2007,1407.0,1479.7491525000007
ID,BEAR LAKE,2007,1757.0,2906.4464088499994
ID,MADISON,2007,2883.0,4459.748943499999
ID,TWIN FALLS,2007,15105.0,22717.13271993806
ID,TETON,2007,652.0,1558.6431450000046
ID,LEWIS,2007,960.0,1580.4714750000035
ID,IDAHO,2007,1579.0,2624.5465650000247
ID,ADA,2007,78505.0,97835.63190340558
ID,NEZ PERCE,2007,12196.0,16539.237598362903
ID,CANYON,2007,25710.0,30049.076458726275
ID,LATAH,2007,5954.0,7503.93084000011
ID,BONNEVILLE,2007,18739.0,24631.144986176063
ID,BANNOCK,2007,12030.0,16506.620108862884
ID,CLEARWATER,2007,1540.0,3256.3373965875185
ID,BLAINE,2008,1793.0,2186.0471250000105
ID,OWYHEE,2008,542.0,878.8655625000011
ID,JEFFERSON,2008,911.0,2045.5873500000077
ID,ADA,2008,80191.0,114736.10491306653
ID,MADISON,2008,3238.0,4993.69674450003
ID,KOOTENAI,2008,31441.0,44322.40384900255
ID,WASHINGTON,2008,1242.0,2028.546124087507
ID,BEAR LAKE,2008,1442.0,2455.369012500004
ID,BUTTE,2008,411.0,727.4238899999998
ID,BONNER,2008,8609.0,13980.40234087516
ID,GOODING,2008,1821.0,2248.912387500016
ID,FREMONT,2008,610.0,914.7211575000014
ID,CLEARWATER,2008,1746.0,3690.09203850002
ID,TETON,2008,994.0,2009.551087500006
ID,NEZ PERCE,2008,13214.0,17800.905062362872
ID,ONEIDA,2008,1161.0,1052.5686000000032
ID,BINGHAM,2008,5020.0,5918.932230000069
ID,SHOSHONE,2008,4767.0,8174.320803862577
ID,TWIN FALLS,2008,17496.0,25337.682390300626
ID,POWER,2008,615.0,975.1054500000037
ID,CASSIA,2008,8055.0,6863.601135675094
ID,LEMHI,2008,1662.0,2626.241550000001
ID,LATAH,2008,6393.0,7087.049655037624
ID,MINIDOKA,2008,1455.0,1555.217400000001
ID,JEROME,2008,3218.0,3814.068888862526
ID,CUSTER,2008,243.0,689.9634000000001
ID,LEWIS,2008,1151.0,1747.4661865875019
ID,CARIBOU,2008,1225.0,1411.578045225001
ID,ELMORE,2008,3336.0,4126.530787499996
ID,BONNEVILLE,2008,20534.0,29331.274987813882
ID,PAYETTE,2008,1496.0,2377.9761077249996
ID,VALLEY,2008,2302.0,2641.249125000008
ID,BENEWAH,2008,1979.0,2955.7788750000204
ID,CANYON,2008,27316.0,34519.7279700011
