BUYER_STATE,BUYER_COUNTY,year,quantity,mme
IL,COOK,2006,378058.0,410469.149804509
IL,ADAMS,2006,8492.0,11998.617980000114
IL,BOONE,2006,3745.0,5000.149117500045
IL,UNION,2006,3356.0,4803.900907500022
IL,PULASKI,2006,476.0,747.6806225000007
IL,CLAY,2006,1019.0,1477.2714675000054
IL,CHAMPAIGN,2006,14540.0,18152.77908000049
IL,SANGAMON,2006,19470.0,32268.432129938952
IL,PEORIA,2006,24094.0,29757.758799314062
IL,SCOTT,2006,109.0,72.63060000000004
IL,CASS,2006,766.0,1438.2210300000036
IL,GREENE,2006,1528.0,3502.209600000016
IL,SHELBY,2006,811.0,1112.3499300000058
IL,RANDOLPH,2006,4668.0,5966.226268500059
IL,CLINTON,2006,1766.0,2346.4195635000024
IL,CUMBERLAND,2006,544.0,910.1982000000014
IL,ROCK ISLAND,2006,9188.0,13784.432860499843
IL,HAMILTON,2006,694.0,656.2827600000005
IL,OGLE,2006,3643.0,4862.201037500043
IL,KANE,2006,27482.0,35701.02839286556
IL,WOODFORD,2006,2322.0,3847.88980199999
IL,WABASH,2006,1291.0,2236.8214465000046
IL,JASPER,2006,1323.0,1697.502825000003
IL,IROQUOIS,2006,2703.0,3949.0426859999825
IL,LAWRENCE,2006,2409.0,2501.344009500006
IL,MARSHALL,2006,818.0,1580.3646225000007
IL,MCLEAN,2006,9898.0,11193.522677950317
IL,WAYNE,2006,1745.0,2597.588712499994
IL,WHITE,2006,2912.0,2857.2891974999866
IL,BOND,2006,928.0,1150.6120485000054
IL,MCHENRY,2006,28096.0,35460.042033002945
IL,MCDONOUGH,2006,2812.0,4122.770474999973
IL,STEPHENSON,2006,4078.0,5696.2918898625585
IL,LEE,2006,2420.0,3430.4066849999926
IL,FULTON,2006,3146.0,5852.448900450012
IL,DEKALB,2006,6387.0,9739.672837500199
IL,FORD,2006,1417.0,2042.1576915000041
IL,MONROE,2006,3552.0,4384.505541500004
IL,FRANKLIN,2006,10523.0,15279.605361000433
IL,WILLIAMSON,2006,20438.0,30470.4459709513
IL,MACON,2006,20029.0,17964.925368000473
IL,CARROLL,2006,595.0,801.9947250000018
IL,LOGAN,2006,2426.0,3854.5495109999956
IL,SAINT CLAIR,2006,28845.0,34480.985683402425
IL,MASSAC,2006,1840.0,3883.171038500011
IL,WHITESIDE,2006,3705.0,4812.012598500049
IL,JEFFERSON,2006,5981.0,6630.633349500096
IL,MACOUPIN,2006,4105.0,6267.899377500063
IL,TAZEWELL,2006,12022.0,19457.28636236306
IL,DOUGLAS,2006,1031.0,1422.5694300000064
IL,EFFINGHAM,2006,4320.0,7429.6321059500615
IL,VERMILION,2006,13364.0,17095.586442000305
IL,FAYETTE,2006,2106.0,2873.747124000002
IL,MARION,2006,4652.0,6658.366281500065
IL,PIATT,2006,1073.0,1243.9738725000034
IL,PUTNAM,2006,283.0,582.6881219999998
IL,HARDIN,2006,641.0,2265.5830500000034
IL,MENARD,2006,388.0,1020.1929360000019
IL,DEWITT,2006,1210.0,1220.4552000000026
IL,JACKSON,2006,9928.0,11999.984314500307
IL,MONTGOMERY,2006,3154.0,4422.502233000017
IL,CHRISTIAN,2006,3845.0,6128.553114000074
IL,EDGAR,2006,1792.0,2147.7623125000036
IL,CLARK,2006,2193.0,3028.193164537496
IL,MOULTRIE,2006,640.0,1139.2136805000043
IL,CRAWFORD,2006,2727.0,4379.660385675016
IL,PERRY,2006,3080.0,4000.9112288624915
IL,SCHUYLER,2006,733.0,1907.4035895000022
IL,RICHLAND,2006,2821.0,3765.7831094999956
IL,MERCER,2006,899.0,814.8617625000044
IL,WASHINGTON,2006,634.0,1097.819140500003
IL,MADISON,2006,35935.0,51649.38289481799
IL,MASON,2006,1085.0,1846.6988565000026
IL,COLES,2006,6755.0,7830.381404500083
IL,HENRY,2006,2617.0,3383.4439674999926
IL,SALINE,2006,8578.0,11725.88699772519
IL,KANKAKEE,2006,12034.0,18212.024991000566
IL,LA SALLE,2006,12876.0,21033.9226513633
IL,BUREAU,2006,2255.0,3118.19197049998
IL,JO DAVIESS,2006,1237.0,1587.4796470000072
