BUYER_STATE,BUYER_COUNTY,year,quantity,mme
IN,WARREN,2006,1.0,0.3027
IN,HENDRICKS,2006,21509.0,25304.72844057652
IN,HANCOCK,2006,10302.0,14323.666079500263
IN,SHELBY,2006,6724.0,7896.504471000149
IN,VERMILLION,2006,2535.0,3103.0153499999983
IN,BENTON,2006,437.0,587.2719225000002
IN,JOHNSON,2006,30003.0,44348.32942212804
IN,DAVIESS,2006,5769.0,9589.886132500049
IN,HUNTINGTON,2006,3603.0,5758.749419000024
IN,ELKHART,2006,19717.0,26928.13537400139
IN,ADAMS,2006,2188.0,3290.647777499995
IN,ORANGE,2006,3157.0,3696.447511999997
IN,JAY,2006,4370.0,5842.564047037541
IN,ALLEN,2006,31838.0,48037.84991659134
IN,HOWARD,2006,24211.0,39247.7831773642
IN,PUTNAM,2006,5169.0,6574.231009000087
IN,LA PORTE,2006,16320.0,23474.253498001
IN,DE KALB,2006,3550.0,5930.318139000073
IN,GIBSON,2006,4968.0,6156.878519000057
IN,JEFFERSON,2006,6677.0,8556.70756750011
IN,MADISON,2006,33276.0,50387.19777500305
IN,GREENE,2006,6026.0,7659.796478000105
IN,LAWRENCE,2006,11989.0,20149.75223000041
IN,ST JOSEPH,2006,30792.0,43822.25764254092
IN,WELLS,2006,3590.0,6687.754140000045
IN,DECATUR,2006,5469.0,8128.5512790000985
IN,SWITZERLAND,2006,1273.0,1678.999255500002
IN,JENNINGS,2006,7220.0,10709.050684225103
IN,OWEN,2006,2677.0,4334.777689999992
IN,CRAWFORD,2006,1425.0,1846.2151020000013
IN,HARRISON,2006,8801.0,10870.347314500132
IN,HENRY,2006,12714.0,18063.532571675612
IN,RANDOLPH,2006,4094.0,5559.658517000047
IN,BARTHOLOMEW,2006,22484.0,32109.75190822624
IN,RUSH,2006,2998.0,4057.7261459999863
IN,BLACKFORD,2006,4375.0,5285.686666500009
IN,FAYETTE,2006,10434.0,15396.400500500124
IN,CLAY,2006,4167.0,6088.775954362521
IN,CASS,2006,3629.0,4879.362639500025
IN,CLINTON,2006,5236.0,5536.333168000031
IN,MONROE,2006,22831.0,33753.16608372713
IN,WHITE,2006,3749.0,3754.11340248748
IN,HAMILTON,2006,29838.0,37667.970191403154
IN,PORTER,2006,23874.0,29683.74600712679
IN,MARION,2006,200375.0,245901.22101652066
IN,JACKSON,2006,10833.0,14408.921568725154
IN,BOONE,2006,7183.0,10059.567466000186
IN,BROWN,2006,2123.0,3596.821793499999
IN,NEWTON,2006,1104.0,944.4572970000028
IN,STARKE,2006,5217.0,8708.44826250003
IN,GRANT,2006,12901.0,21033.024110587958
IN,MIAMI,2006,3142.0,4071.613146500004
IN,RIPLEY,2006,6943.0,12516.769859000071
IN,PULASKI,2006,1588.0,2273.682255
IN,FULTON,2006,3848.0,4874.988350000044
IN,WASHINGTON,2006,3966.0,4869.523846000021
IN,DELAWARE,2006,30368.0,47442.61865666564
IN,MARTIN,2006,1793.0,2724.1548775000056
IN,WABASH,2006,7064.0,8876.933044500156
IN,JASPER,2006,6942.0,8247.856072500152
IN,KNOX,2006,9442.0,14528.77364545026
IN,,2006,,
IN,SPENCER,2006,1599.0,3558.953930000016
IN,CLARK,2006,26212.0,40367.76438958935
IN,OHIO,2006,1408.0,1771.5048225000005
IN,DUBOIS,2006,9107.0,11550.580532500177
IN,DEARBORN,2006,12486.0,19545.5830798505
IN,WARRICK,2006,8022.0,10283.653243500174
IN,LAKE,2006,61790.0,88087.92493446694
IN,VANDERBURGH,2006,41444.0,68510.71325850335
IN,FRANKLIN,2006,1668.0,2881.4245785000057
IN,UNION,2006,883.0,1202.4660057000024
IN,WHITLEY,2006,3605.0,7171.025645675064
IN,VIGO,2006,21234.0,32296.712179614093
IN,MARSHALL,2006,6096.0,8960.844883950149
IN,NOBLE,2006,3594.0,5710.29714200006
IN,KOSCIUSKO,2006,8080.0,13597.111535500211
IN,FOUNTAIN,2006,3423.0,4630.246172225012
IN,LAGRANGE,2006,1185.0,1890.8821800000019
IN,TIPPECANOE,2006,20271.0,26143.838602226315
