BUYER_STATE,BUYER_COUNTY,year,quantity,mme
MD,CALVERT,2006,19071.0,27466.673385363727
MD,BALTIMORE,2006,165355.0,264986.25437906786
MD,MONTGOMERY,2006,86190.0,146858.6638027061
MD,ALLEGANY,2006,19776.0,32397.404136038702
MD,WORCESTER,2006,14190.0,20858.65970308832
MD,FREDERICK,2006,38454.0,59153.730631964376
MD,CARROLL,2006,28906.0,47272.608823401424
MD,KENT,2006,5968.0,10551.40296858765
MD,WICOMICO,2006,23242.0,35663.53499790155
MD,SAINT MARYS,2006,18585.0,23934.571650225877
MD,HOWARD,2006,43041.0,60214.551116113704
MD,CAROLINE,2006,5086.0,8460.642751725038
MD,SOMERSET,2006,2497.0,3320.2899900000075
MD,HARFORD,2006,54636.0,92906.06214285383
MD,CECIL,2006,29164.0,55442.78907225143
MD,TALBOT,2006,5647.0,9135.3017655001
MD,DORCHESTER,2006,5207.0,8448.972382500127
MD,QUEEN ANNES,2006,7418.0,13279.633473862563
MD,BALTIMORE CITY,2006,119008.0,213281.6927768568
MD,PRINCE GEORGES,2006,84301.0,121705.34385764418
MD,CHARLES,2006,29493.0,40350.27866862734
MD,WASHINGTON,2006,30795.0,43037.24035390168
MD,GARRETT,2006,4438.0,5290.194190087549
MD,ANNE ARUNDEL,2006,111951.0,168318.12466685617
MD,WASHINGTON,2007,33362.0,48696.228907713565
MD,CALVERT,2007,24950.0,34776.344171901364
MD,HARFORD,2007,63772.0,110392.31495447943
MD,HOWARD,2007,47380.0,63990.227582938525
MD,BALTIMORE CITY,2007,120939.0,195076.73722479283
MD,QUEEN ANNES,2007,9048.0,16281.203620500106
MD,TALBOT,2007,6143.0,10000.98203450013
MD,CAROLINE,2007,5727.0,9503.610661725093
MD,ALLEGANY,2007,22828.0,35543.91955986411
MD,PRINCE GEORGES,2007,96048.0,138509.87127635584
MD,MONTGOMERY,2007,104266.0,176105.7921845675
MD,CHARLES,2007,36086.0,51539.258138664896
MD,GARRETT,2007,5499.0,6854.6070750001
MD,KENT,2007,6328.0,11443.047219525122
MD,CARROLL,2007,35014.0,57926.02650881395
MD,CECIL,2007,31343.0,64474.29024015137
MD,BALTIMORE,2007,193775.0,309555.0973197335
MD,FREDERICK,2007,44947.0,72045.59339186482
MD,WICOMICO,2007,24678.0,40920.89383373905
MD,DORCHESTER,2007,5523.0,8815.131023362617
MD,ANNE ARUNDEL,2007,126690.0,186962.29203129286
MD,WORCESTER,2007,16120.0,23857.03392472591
MD,SOMERSET,2007,2862.0,3992.0907975000096
MD,SAINT MARYS,2007,24933.0,34587.12004400156
MD,HOWARD,2008,51262.0,69869.02159426382
MD,ANNE ARUNDEL,2008,136437.0,198711.36755674132
MD,TALBOT,2008,6755.0,10907.841903000108
MD,ALLEGANY,2008,25370.0,37476.06939622666
MD,FREDERICK,2008,48252.0,79023.19871801428
MD,CARROLL,2008,38703.0,65503.3477731891
MD,QUEEN ANNES,2008,9394.0,16215.309830000124
MD,WICOMICO,2008,29468.0,53182.18705316368
MD,WORCESTER,2008,18055.0,28053.01245517625
MD,SAINT MARYS,2008,29008.0,41048.798763864
MD,SOMERSET,2008,3719.0,5383.575522750008
MD,BALTIMORE,2008,211757.0,337151.4235587389
MD,CECIL,2008,38477.0,84832.30407442644
MD,KENT,2008,7342.0,13148.29603811267
MD,HARFORD,2008,75021.0,138097.9322930553
MD,BALTIMORE CITY,2008,131794.0,208717.29415666746
MD,CALVERT,2008,27351.0,40849.45554045148
MD,DORCHESTER,2008,5970.0,9152.669473725122
MD,GARRETT,2008,5793.0,7110.87165150013
MD,WASHINGTON,2008,36060.0,53612.534888888425
MD,CHARLES,2008,36927.0,57302.64352312678
MD,MONTGOMERY,2008,105694.0,187271.57536441772
MD,CAROLINE,2008,5537.0,9960.151329000106
MD,PRINCE GEORGES,2008,100070.0,145430.70914801917
MD,ANNE ARUNDEL,2009,148764.0,225722.99647868302
MD,CECIL,2009,44210.0,108600.78086917636
MD,HOWARD,2009,59194.0,81994.21403445092
MD,QUEEN ANNES,2009,11123.0,18930.475320000132
MD,SOMERSET,2009,4212.0,6675.697012500016
MD,HARFORD,2009,92018.0,176708.50723362004
MD,CARROLL,2009,42648.0,74609.9328176479
MD,CHARLES,2009,41020.0,69485.77822972706
MD,SAINT MARYS,2009,27307.0,41168.483917725935
MD,CALVERT,2009,32355.0,51900.779178151475
MD,CAROLINE,2009,5596.0,9848.777820225108
MD,WICOMICO,2009,34486.0,62868.58268771322
MD,DORCHESTER,2009,6228.0,9465.356775000124
MD,ALLEGANY,2009,28740.0,43920.88201567637
MD,GARRETT,2009,6684.0,8280.20904045017
MD,BALTIMORE CITY,2009,141562.0,227130.88749443737
MD,TALBOT,2009,7747.0,12481.857300000174
MD,PRINCE GEORGES,2009,108642.0,172472.8637393677
MD,WORCESTER,2009,18100.0,29131.79827725085
MD,BALTIMORE,2009,245886.0,422900.76502050913
MD,KENT,2009,7758.0,14626.701836587608
MD,WASHINGTON,2009,44016.0,69778.22172270052
MD,FREDERICK,2009,54896.0,95273.46130747629
MD,MONTGOMERY,2009,120828.0,245821.24519688034
MD,MONTGOMERY,2010,134304.0,278557.65675566293
MD,CALVERT,2010,36343.0,62708.04301110108
MD,HARFORD,2010,99512.0,197344.5629856777
MD,PRINCE GEORGES,2010,122603.0,198808.2446691793
MD,HOWARD,2010,65350.0,85797.36021487505
MD,CHARLES,2010,46883.0,87325.13513636336
MD,WASHINGTON,2010,55606.0,103807.53851883765
MD,CAROLINE,2010,5888.0,10026.791580225105
MD,BALTIMORE,2010,279502.0,492376.8880705064
MD,CARROLL,2010,47460.0,83046.46389701236
MD,SAINT MARYS,2010,29911.0,46581.58116750076
MD,SOMERSET,2010,5357.0,9447.444127500059
MD,DORCHESTER,2010,6450.0,9482.616022725146
MD,GARRETT,2010,7247.0,9365.432752500197
MD,ALLEGANY,2010,31086.0,46555.96088793873
MD,ANNE ARUNDEL,2010,160497.0,248927.77460734293
MD,BALTIMORE CITY,2010,157501.0,246072.47669399646
MD,TALBOT,2010,9074.0,14070.669667725275
MD,CECIL,2010,59666.0,158134.10693951236
MD,FREDERICK,2010,58842.0,99034.90877520009
MD,QUEEN ANNES,2010,11400.0,18808.225005000182
MD,KENT,2010,8607.0,16192.438518862686
MD,WICOMICO,2010,45261.0,91230.73201679943
MD,WORCESTER,2010,19548.0,33604.34034225089
MD,BALTIMORE,2011,309303.0,532668.9406750113
MD,DORCHESTER,2011,6688.0,10372.942072500142
MD,CALVERT,2011,37008.0,64869.52434862586
MD,QUEEN ANNES,2011,12201.0,19940.446204312797
MD,CHARLES,2011,46992.0,83675.50004703828
MD,KENT,2011,9743.0,17090.078258625268
MD,BALTIMORE CITY,2011,165563.0,258682.55633849878
MD,FREDERICK,2011,64064.0,107995.86714791333
MD,CAROLINE,2011,6532.0,10155.33408750011
MD,ANNE ARUNDEL,2011,171881.0,267783.3547063185
MD,WORCESTER,2011,20918.0,34788.975054300776
MD,WICOMICO,2011,52039.0,107442.63326771118
MD,CECIL,2011,60915.0,161644.6997289363
MD,HOWARD,2011,77647.0,95876.20037362416
MD,WASHINGTON,2011,57716.0,79285.12544339916
MD,SOMERSET,2011,6209.0,11253.376237500052
MD,ALLEGANY,2011,31849.0,49111.029454313466
MD,SAINT MARYS,2011,30606.0,48033.59182931297
MD,GARRETT,2011,8190.0,10336.932390000211
MD,TALBOT,2011,10553.0,16283.903805000247
MD,PRINCE GEORGES,2011,133222.0,217193.734058137
MD,CARROLL,2011,48819.0,80948.63259990064
MD,MONTGOMERY,2011,132752.0,237953.3016823873
MD,HARFORD,2011,102570.0,198601.14126862914
MD,DORCHESTER,2012,5883.0,9267.96399000013
MD,CECIL,2012,31852.0,73406.31269609969
MD,QUEEN ANNES,2012,11682.0,19767.078957900285
MD,FREDERICK,2012,67601.0,119993.42542424955
MD,KENT,2012,9531.0,16252.47992703761
MD,BALTIMORE CITY,2012,178909.0,273115.53899921104
MD,WICOMICO,2012,37874.0,65868.57668816201
MD,HOWARD,2012,80364.0,103034.03279291083
