BUYER_STATE,BUYER_COUNTY,year,quantity,mme
MI,CHEBOYGAN,2006,7127.0,11576.242800000187
MI,KALAMAZOO,2006,30191.0,54571.84199300599
MI,LUCE,2006,1663.0,2838.4397760000047
MI,CHIPPEWA,2006,7160.0,10538.232799087622
MI,HURON,2006,4919.0,6046.10993250002
MI,HILLSDALE,2006,5002.0,8129.189595000056
MI,INGHAM,2006,32195.0,50576.31311900649
MI,GRATIOT,2006,3700.0,4893.940148174999
MI,NEWAYGO,2006,9430.0,11889.300487500195
MI,OTSEGO,2006,6397.0,9405.720852225148
MI,BAY,2006,19165.0,30781.19362886435
MI,OSCEOLA,2006,2758.0,4039.145374087502
MI,ALCONA,2006,1511.0,1409.5992375000067
MI,BENZIE,2006,2076.0,3173.6154750000105
MI,OTTAWA,2006,20844.0,30341.725784676695
MI,TUSCOLA,2006,5051.0,6857.167667812546
MI,BARRY,2006,4314.0,7600.386011587542
MI,KENT,2006,69381.0,92860.61199151404
MI,OCEANA,2006,3118.0,5527.997157937517
MI,CASS,2006,2601.0,3712.5146249999925
MI,CRAWFORD,2006,4712.0,9639.55440386254
MI,LIVINGSTON,2006,20794.0,29653.250140714754
MI,KALKASKA,2006,2687.0,5521.195162500011
MI,VAN BUREN,2006,11947.0,24342.102052725855
MI,CHARLEVOIX,2006,4542.0,7857.485787000041
MI,CLARE,2006,7120.0,15086.095087500078
MI,EATON,2006,14600.0,20878.57799840091
MI,ISABELLA,2006,7557.0,10262.357350225135
MI,MIDLAND,2006,13944.0,23544.908727588114
MI,SHIAWASSEE,2006,13062.0,23981.398841588267
MI,LAPEER,2006,11021.0,15527.298462500192
MI,BERRIEN,2006,21098.0,39918.246371364265
MI,WEXFORD,2006,7821.0,14015.012400225194
MI,SAINT JOSEPH,2006,9296.0,16875.926683762747
MI,SAGINAW,2006,24968.0,47100.0466300792
MI,MASON,2006,5364.0,6560.076270225077
MI,ALLEGAN,2006,8197.0,16963.749678862503
MI,BRANCH,2006,4853.0,7653.541612500075
MI,GRAND TRAVERSE,2006,16446.0,31316.064165001262
MI,CALHOUN,2006,28143.0,46647.684749503234
MI,MONTCALM,2006,6670.0,11187.858353125039
MI,MECOSTA,2006,5914.0,9108.623550000102
MI,IONIA,2006,5460.0,8366.958457725084
MI,JACKSON,2006,22058.0,42681.874102991285
MI,MANISTEE,2006,3838.0,6934.552912500044
MI,IOSCO,2006,7346.0,10579.836078862692
MI,WASHTENAW,2006,35418.0,67043.48187623061
MI,ALPENA,2006,6613.0,8739.156862500175
MI,CLINTON,2006,7573.0,15610.247887500023
MI,MACKINAC,2006,1126.0,2308.2982425000077
MI,ANTRIM,2006,2706.0,7661.394390000029
MI,GLADWIN,2006,5598.0,10246.447141950044
MI,SAINT CLAIR,2006,26176.0,35670.43056479063
MI,MENOMINEE,2006,3095.0,3511.232623500012
MI,HOUGHTON,2006,4378.0,6162.682771762575
MI,LAKE,2006,837.0,1348.7023725000035
MI,ONTONAGON,2006,522.0,1559.869125000002
MI,OGEMAW,2006,22575.0,15020.573602950113
MI,MONTMORENCY,2006,2979.0,3605.012924999988
MI,PRESQUE ISLE,2006,1587.0,3281.569852500003
MI,OSCODA,2006,1545.0,2909.963066362497
MI,OAKLAND,2006,155125.0,299841.80335793935
MI,ROSCOMMON,2006,7318.0,10457.802000000094
MI,ARENAC,2006,2633.0,2970.966183000003
MI,MUSKEGON,2006,25738.0,46450.38077261557
MI,GENESEE,2006,64331.0,109022.4170375841
MI,SANILAC,2006,3370.0,4458.275688450006
MI,ALGER,2006,1035.0,2201.780175000004
MI,DICKINSON,2006,5652.0,7578.86136750007
MI,LENAWEE,2006,13049.0,22005.796188725795
MI,DELTA,2006,8305.0,8008.6858575000915
MI,LEELANAU,2006,1199.0,2337.558433499997
MI,IRON,2006,1944.0,3678.016312500006
MI,BARAGA,2006,1207.0,1850.35978500001
MI,GOGEBIC,2006,2278.0,2801.7905250000117
MI,MISSAUKEE,2006,1115.0,2196.853344000008
MI,SCHOOLCRAFT,2006,1433.0,3595.1915250000175
MI,WAYNE,2006,250747.0,413864.650093162
MI,EMMET,2006,8365.0,21665.96474700029
MI,MACOMB,2006,126451.0,220978.27989912513
MI,MONROE,2006,24538.0,36466.738306765685
MI,MARQUETTE,2006,10466.0,12819.532199000434
MI,MONTCALM,2007,7969.0,12207.53621123762
MI,GLADWIN,2007,6120.0,10127.163336800077
MI,HOUGHTON,2007,4842.0,6921.9167608875605
MI,IONIA,2007,6194.0,8633.325158625072
MI,MANISTEE,2007,5585.0,7435.603026000076
MI,IOSCO,2007,8024.0,11106.06332906271
MI,MECOSTA,2007,6942.0,9822.788406000142
MI,ALGER,2007,1123.0,2369.4357000000064
MI,ALLEGAN,2007,9634.0,19264.511761162725
MI,BRANCH,2007,5441.0,8402.552130862594
MI,MONTMORENCY,2007,3136.0,3806.4627450000035
MI,ONTONAGON,2007,387.0,1180.0608749999997
MI,MASON,2007,6475.0,7662.704409000119
MI,SAINT JOSEPH,2007,10368.0,17645.236999762932
MI,OSCODA,2007,1717.0,2954.177565675009
MI,WEXFORD,2007,8985.0,15808.98707508769
MI,LAPEER,2007,12480.0,17003.561659012772
MI,SCHOOLCRAFT,2007,1327.0,2943.430050000016
MI,BARAGA,2007,1310.0,2018.904637500015
MI,SHIAWASSEE,2007,14252.0,25331.533228163295
MI,IRON,2007,2114.0,3535.2603000000154
MI,MIDLAND,2007,17405.0,27702.51724403842
MI,ISABELLA,2007,9097.0,11571.36524550022
MI,ARENAC,2007,3035.0,3484.6526250000024
MI,CLINTON,2007,9238.0,18715.541920350235
MI,CLARE,2007,7568.0,14430.881486812554
MI,ALPENA,2007,6612.0,9409.443270000163
MI,ROSCOMMON,2007,8888.0,11605.912167862689
MI,SAINT CLAIR,2007,32863.0,42283.71735570415
MI,SANILAC,2007,4077.0,5440.395591712538
MI,TUSCOLA,2007,5847.0,8139.0697665750595
MI,BARRY,2007,4941.0,7724.056392037568
MI,LEELANAU,2007,1114.0,2273.0071470000016
MI,VAN BUREN,2007,13761.0,27630.405230813376
MI,OCEANA,2007,3522.0,6101.782726312529
MI,MISSAUKEE,2007,1114.0,2281.542204000008
MI,CRAWFORD,2007,4994.0,10762.335341362494
MI,EMMET,2007,8139.0,18376.875525750198
MI,KALKASKA,2007,3471.0,7149.212109262495
MI,ANTRIM,2007,3038.0,9030.251052500042
MI,CHIPPEWA,2007,7400.0,10885.463589500216
MI,CASS,2007,2942.0,4085.0649128624946
MI,LAKE,2007,744.0,1224.8269500000022
MI,ALCONA,2007,1315.0,1625.5473038625018
MI,OTSEGO,2007,7305.0,10059.015013125203
MI,GOGEBIC,2007,2521.0,3420.6905925000133
MI,MACKINAC,2007,1217.0,2415.9966375000095
MI,OGEMAW,2007,11628.0,15627.865307362781
MI,DICKINSON,2007,7341.0,8451.333112500102
MI,HILLSDALE,2007,5830.0,9037.6907780001
MI,CHARLEVOIX,2007,4803.0,7642.705627725097
MI,PRESQUE ISLE,2007,1853.0,3403.8095663625036
MI,DELTA,2007,7697.0,8223.353889000091
MI,MENOMINEE,2007,2350.0,2596.878189000015
MI,CHEBOYGAN,2007,8104.0,12158.346520500261
MI,MARQUETTE,2007,12684.0,14226.195110400551
MI,HURON,2007,5689.0,6930.704232000086
MI,GRATIOT,2007,4882.0,5752.323067575043
MI,NEWAYGO,2007,12443.0,13391.81290950027
MI,OSCEOLA,2007,3076.0,4318.486459087513
MI,BENZIE,2007,2185.0,3724.7146031625152
MI,MACOMB,2007,160401.0,287432.09338927513
MI,LUCE,2007,1954.0,3346.5385500000098
MI,JACKSON,2007,25851.0,48156.8653985664
MI,WASHTENAW,2007,42434.0,77483.90008981945
MI,MONROE,2007,29691.0,43205.85720387938
MI,WAYNE,2007,261023.0,563497.3401511015
MI,GRAND TRAVERSE,2007,18920.0,31302.274181501372
