BUYER_STATE,BUYER_COUNTY,year,quantity,mme
MS,HARRISON,2006,39030.0,61738.28895057914
MS,WAYNE,2006,3802.0,8082.648220000099
MS,GRENADA,2006,3282.0,6539.109442500027
MS,TIPPAH,2006,2993.0,4854.163967500003
MS,QUITMAN,2006,616.0,838.421540000003
MS,CLARKE,2006,1744.0,4028.267904500019
MS,PERRY,2006,1218.0,2716.2325099875043
MS,FRANKLIN,2006,987.0,1841.0458875000024
MS,LAMAR,2006,2974.0,6869.084677725056
MS,LAWRENCE,2006,1367.0,2896.5879125000133
MS,PONTOTOC,2006,3858.0,4549.784095225011
MS,PANOLA,2006,5385.0,7027.199482950151
MS,AMITE,2006,1434.0,1807.1819327250014
MS,ITAWAMBA,2006,7002.0,9662.866696362733
MS,COAHOMA,2006,4446.0,5220.456365225066
MS,LAUDERDALE,2006,17365.0,25348.489825725792
MS,SMITH,2006,543.0,868.2201750000019
MS,GREENE,2006,538.0,1002.6572149999985
MS,MONTGOMERY,2006,1226.0,1349.786690000001
MS,YAZOO,2006,2754.0,3320.430750000013
MS,PRENTISS,2006,2638.0,3722.3469888624945
MS,HUMPHREYS,2006,467.0,337.01981249999926
MS,GEORGE,2006,4170.0,6867.351315675082
MS,ALCORN,2006,8054.0,17529.29112981286
MS,CLAY,2006,2137.0,3272.5770432250138
MS,PEARL RIVER,2006,12285.0,17112.425401813114
MS,SIMPSON,2006,6491.0,7619.985705450139
MS,RANKIN,2006,22213.0,27163.57641821429
MS,TALLAHATCHIE,2006,1171.0,913.2652345875048
MS,BOLIVAR,2006,3538.0,3991.060422724968
MS,NESHOBA,2006,7518.0,11143.365620225037
MS,COPIAH,2006,2488.0,4241.038529362505
MS,LOWNDES,2006,6738.0,9596.055212000194
MS,WARREN,2006,7569.0,10282.369854587676
MS,CALHOUN,2006,2828.0,2408.113237499988
MS,WINSTON,2006,2230.0,2393.971002500003
MS,JEFFERSON DAVIS,2006,1770.0,2735.518599999998
MS,TISHOMINGO,2006,5176.0,9379.385823500086
MS,NOXUBEE,2006,598.0,877.6271625000023
MS,HANCOCK,2006,6529.0,8033.5572647626195
MS,LEE,2006,14793.0,20925.597606401032
MS,WASHINGTON,2006,6072.0,7133.021258862597
MS,PIKE,2006,7604.0,13026.283519087634
MS,YALOBUSHA,2006,990.0,1316.9603624999997
MS,OKTIBBEHA,2006,3570.0,4875.48668650002
MS,NEWTON,2006,2018.0,2326.117895000001
MS,CLAIBORNE,2006,862.0,1086.633825000003
MS,UNION,2006,6119.0,7703.556005000117
MS,LINCOLN,2006,6125.0,8868.169845000122
MS,MARSHALL,2006,1740.0,1967.9247500000001
MS,ATTALA,2006,2713.0,4141.779516000003
MS,TATE,2006,3648.0,4981.461126362545
MS,LEFLORE,2006,3632.0,4472.964797262491
MS,SCOTT,2006,3868.0,4318.293060000005
MS,CARROLL,2006,198.0,171.89670000000018
MS,MARION,2006,10882.0,15204.778180450348
MS,FORREST,2006,25214.0,38122.63781362645
MS,HINDS,2006,26488.0,28276.179505227257
MS,SUNFLOWER,2006,1648.0,2373.9027000000065
MS,SHARKEY,2006,521.0,374.92223999999845
MS,CHOCTAW,2006,814.0,736.4688000000007
MS,JASPER,2006,711.0,908.7729875000008
MS,KEMPER,2006,2078.0,1242.574312500001
MS,WILKINSON,2006,2611.0,2523.967762499985
MS,JEFFERSON,2006,255.0,393.5690999999994
MS,MADISON,2006,16551.0,15132.22490507565
MS,WALTHALL,2006,3116.0,3348.864011362519
MS,CHICKASAW,2006,3955.0,3736.4281163624764
MS,JONES,2006,12940.0,19361.968129087963
MS,MONROE,2006,4744.0,5486.888865000047
MS,ADAMS,2006,10378.0,11331.859917537608
MS,LAFAYETTE,2006,3916.0,5112.910894000067
