BUYER_STATE,BUYER_COUNTY,year,quantity,mme
ND,BENSON,2006,55.0,48.22957500000002
ND,RAMSEY,2006,2114.0,4820.878893000018
ND,MERCER,2006,675.0,711.0086100000001
ND,TRAILL,2006,461.0,419.0132039999994
ND,SARGENT,2006,193.0,262.06037699999945
ND,DUNN,2006,220.0,309.9616034999999
ND,CASS,2006,10640.0,15377.467808175606
ND,KIDDER,2006,141.0,254.45043300000003
ND,NELSON,2006,181.0,352.84207199999963
ND,PEMBINA,2006,352.0,700.0998405000001
ND,BARNES,2006,954.0,1792.0892895000015
ND,RENVILLE,2006,36.0,29.269610999999998
ND,GOLDEN VALLEY,2006,158.0,89.29728300000015
ND,BOWMAN,2006,247.0,259.9970820000001
ND,MCHENRY,2006,149.0,173.92472999999995
ND,ADAMS,2006,639.0,834.7503749999993
ND,GRANT,2006,130.0,344.3692499999998
ND,HETTINGER,2006,285.0,293.0932529999999
ND,PIERCE,2006,445.0,696.2462535
ND,WALSH,2006,1069.0,2046.9554039999982
ND,MCINTOSH,2006,401.0,520.9529429999993
ND,BOTTINEAU,2006,252.0,348.28527599999984
ND,GRIGGS,2006,240.0,151.92096600000008
ND,MOUNTRAIL,2006,382.0,821.3441160000009
ND,RANSOM,2006,416.0,527.1067604999993
ND,TOWNER,2006,81.0,62.58851999999998
ND,BURLEIGH,2006,11310.0,16965.63629943792
ND,MCLEAN,2006,416.0,548.6336339999995
ND,EMMONS,2006,259.0,545.9522369999992
ND,STARK,2006,3082.0,4691.393131500006
ND,DICKEY,2006,279.0,397.5206099999997
ND,WILLIAMS,2006,1690.0,2346.2241795
ND,STUTSMAN,2006,1885.0,2548.3373684999924
ND,DIVIDE,2006,114.0,154.55508299999997
ND,FOSTER,2006,417.0,487.21996499999966
ND,LAMOURE,2006,168.0,110.18748600000015
ND,WARD,2006,4069.0,4842.440650725008
ND,MCKENZIE,2006,265.0,326.3569289999996
ND,LOGAN,2006,98.0,137.819655
ND,MORTON,2006,2187.0,4129.002133499995
ND,WELLS,2006,259.0,317.80435499999976
ND,ROLETTE,2006,1156.0,1760.2097234999974
ND,CAVALIER,2006,136.0,233.37888750000005
ND,GRAND FORKS,2006,6060.0,9489.795321000212
ND,RICHLAND,2006,699.0,1162.4494815000037
ND,EDDY,2006,184.0,97.64137200000013
ND,DUNN,2007,207.0,235.1827049999999
ND,WARD,2007,5470.0,5853.622738762585
ND,MCINTOSH,2007,461.0,622.6543140000007
ND,DICKEY,2007,429.0,523.0693889999993
ND,MERCER,2007,750.0,823.4453115000017
ND,LOGAN,2007,114.0,178.21401599999993
ND,GRANT,2007,105.0,323.0709374999998
ND,STUTSMAN,2007,2183.0,3052.3065014999906
ND,MCHENRY,2007,144.0,227.41799550000002
ND,RAMSEY,2007,3149.0,6033.80683800005
ND,PEMBINA,2007,430.0,740.5210214999998
ND,GOLDEN VALLEY,2007,158.0,139.52890200000013
ND,MORTON,2007,2400.0,4568.154658500011
ND,TOWNER,2007,95.0,82.704732
ND,WELLS,2007,227.0,298.33707299999986
ND,BARNES,2007,1084.0,2306.140486500008
ND,RICHLAND,2007,901.0,1322.9640075000048
ND,SARGENT,2007,286.0,306.81181049999975
