BUYER_STATE,BUYER_COUNTY,year,quantity,mme
NE,WAYNE,2006,554.0,525.8934689999986
NE,YORK,2006,2117.0,2841.781649999999
NE,DAKOTA,2006,1174.0,1481.7060000000065
NE,KEITH,2006,1072.0,1370.3335470000025
NE,DAWSON,2006,1573.0,1605.4217130000134
NE,FURNAS,2006,539.0,788.8933500000012
NE,CUSTER,2006,1049.0,2424.912700500004
NE,MORRILL,2006,319.0,531.2858624999996
NE,RED WILLOW,2006,1315.0,1884.2880615000051
NE,CHEYENNE,2006,1631.0,2485.055756812495
NE,NEMAHA,2006,1255.0,1416.1254044999998
NE,SALINE,2006,1580.0,2204.7193875
NE,HOLT,2006,1190.0,1107.7889160000002
NE,PIERCE,2006,318.0,336.5585250000001
NE,BOONE,2006,792.0,937.8649125000017
NE,DIXON,2006,91.0,69.07470000000005
NE,HOWARD,2006,347.0,536.4848924999999
NE,FILLMORE,2006,615.0,1514.0961375000009
NE,CUMING,2006,660.0,411.18370199999896
NE,LANCASTER,2006,33021.0,47585.152547229205
NE,FRANKLIN,2006,315.0,233.04881249999988
NE,BOX BUTTE,2006,1223.0,1945.2959250000042
NE,DODGE,2006,7578.0,12507.250913000269
NE,MADISON,2006,3084.0,4147.288689725005
NE,KIMBALL,2006,1997.0,4786.911712500005
NE,COLFAX,2006,237.0,454.8278999999997
NE,SEWARD,2006,1760.0,2524.778819999999
NE,JEFFERSON,2006,854.0,807.6506625000011
NE,LINCOLN,2006,4493.0,6757.6116022251
NE,BUFFALO,2006,7522.0,4137.605540225016
NE,WEBSTER,2006,387.0,418.400775
NE,SAUNDERS,2006,994.0,1550.4918075000028
NE,PAWNEE,2006,204.0,336.77489999999983
NE,BUTLER,2006,270.0,319.97537999999963
NE,WASHINGTON,2006,7319.0,1509.1431740000032
NE,PHELPS,2006,1123.0,1647.5644913624935
NE,OTOE,2006,1789.0,2622.135971999999
NE,THURSTON,2006,540.0,339.1405124999995
NE,CHERRY,2006,1303.0,2174.899627500003
NE,PLATTE,2006,2670.0,3177.040162500012
NE,CEDAR,2006,232.0,336.74696249999977
NE,GAGE,2006,2896.0,3940.7350448624993
NE,THAYER,2006,459.0,551.4381375000003
NE,ADAMS,2006,2997.0,3921.1637424999867
NE,DAWES,2006,1117.0,1615.875409087501
NE,DUNDY,2006,136.0,242.8136999999998
NE,SARPY,2006,15573.0,21826.17302845086
NE,RICHARDSON,2006,1260.0,2134.105237500011
NE,GARFIELD,2006,176.0,271.61752499999983
NE,CASS,2006,1140.0,1615.0459725000005
NE,KNOX,2006,870.0,1234.5619875000014
NE,HARLAN,2006,192.0,266.7243749999998
NE,PERKINS,2006,52.0,132.74939999999998
NE,JOHNSON,2006,688.0,668.2547850000011
NE,CHASE,2006,535.0,640.3275900000007
NE,POLK,2006,281.0,287.50424999999944
NE,MERRICK,2006,436.0,746.5373324999991
NE,HAMILTON,2006,318.0,381.94233449999973
NE,NANCE,2006,140.0,235.49849999999967
NE,BROWN,2006,225.0,285.9816359999999
NE,KEARNEY,2006,197.0,341.44859999999966
NE,SHERIDAN,2006,230.0,304.1453999999999
NE,GREELEY,2006,78.0,53.339550000000045
NE,GARDEN,2006,152.0,217.54612499999985
NE,DEUEL,2006,193.0,424.31171249999994
NE,BOYD,2006,133.0,212.75823749999975
NE,SHERMAN,2006,119.0,126.44038799999997
NE,BURT,2006,508.0,527.1427874999991
NE,HALL,2006,6297.0,8680.612693000121
NE,ANTELOPE,2006,151.0,203.35237499999974
NE,VALLEY,2006,1154.0,1264.4809545000005
NE,SCOTTS BLUFF,2006,5264.0,7324.668193500113
NE,NUCKOLLS,2006,911.0,1920.996828862505
NE,DOUGLAS,2006,79028.0,110588.01511781198
NE,BROWN,2007,224.0,322.9828649999996
NE,DAWSON,2007,1758.0,1684.1330295000091
NE,NUCKOLLS,2007,922.0,1604.9010761250024
NE,HAMILTON,2007,366.0,487.279424999999
NE,FURNAS,2007,595.0,898.3411275000003
NE,FILLMORE,2007,624.0,1107.3805499999987
NE,NANCE,2007,177.0,262.3839749999995
NE,CEDAR,2007,252.0,289.1418599999996
NE,WAYNE,2007,733.0,695.0367750000003
NE,MERRICK,2007,469.0,836.1929850000007
NE,CUMING,2007,898.0,596.3699250000002
NE,RICHARDSON,2007,1433.0,2560.461225000013
NE,HALL,2007,7300.0,9246.11656100017
NE,THAYER,2007,434.0,547.5349124999997
NE,KEARNEY,2007,203.0,339.16192499999977
