BUYER_STATE,BUYER_COUNTY,year,quantity,mme
NH,CHESHIRE,2006,10452.0,15831.656627362829
NH,SULLIVAN,2006,6837.0,10364.022951225159
NH,HILLSBOROUGH,2006,54498.0,82766.08475152611
NH,COOS,2006,6681.0,9518.23511745011
NH,ROCKINGHAM,2006,54575.0,85232.05115525148
NH,MERRIMACK,2006,29815.0,54904.00622072565
NH,STRAFFORD,2006,23030.0,43554.97641140078
NH,BELKNAP,2006,10472.0,19516.66460572536
NH,CARROLL,2006,8026.0,13531.707033400291
NH,GRAFTON,2006,18793.0,29038.97783522591
NH,HILLSBOROUGH,2007,61291.0,93956.21250347761
NH,SULLIVAN,2007,7606.0,11162.784036000168
NH,CARROLL,2007,9767.0,17599.476614587886
NH,ROCKINGHAM,2007,57339.0,98347.43150335125
NH,MERRIMACK,2007,33912.0,61838.71882635042
NH,CHESHIRE,2007,12487.0,18540.58323750053
NH,STRAFFORD,2007,28471.0,56409.41133367613
NH,COOS,2007,8109.0,12308.897096812621
NH,BELKNAP,2007,13897.0,26492.42389121307
NH,GRAFTON,2007,22166.0,32519.09653250115
NH,GRAFTON,2008,23891.0,35161.60219972589
NH,CHESHIRE,2008,14330.0,21191.31234450043
NH,COOS,2008,8855.0,14207.46424908765
NH,BELKNAP,2008,15704.0,31904.91775957542
NH,ROCKINGHAM,2008,59486.0,109813.28171430157
NH,SULLIVAN,2008,8043.0,11543.120335500158
NH,MERRIMACK,2008,38803.0,71991.11190997533
NH,HILLSBOROUGH,2008,65029.0,104199.91952523914
NH,STRAFFORD,2008,31244.0,61785.90896786346
NH,CARROLL,2008,10286.0,18762.64813800034
NH,MERRIMACK,2009,40973.0,79016.3195340756
NH,HILLSBOROUGH,2009,71723.0,120405.62036085369
NH,CARROLL,2009,11412.0,21836.110035000303
NH,BELKNAP,2009,15469.0,29535.37763452528
NH,SULLIVAN,2009,7307.0,11573.85594750017
NH,GRAFTON,2009,26429.0,39549.770898863186
NH,CHESHIRE,2009,15443.0,24454.578007500306
NH,STRAFFORD,2009,33330.0,68803.9253213634
NH,ROCKINGHAM,2009,67348.0,126879.97200180187
NH,COOS,2009,10051.0,18062.59891158771
NH,GRAFTON,2010,28993.0,43513.310107725556
NH,STRAFFORD,2010,36697.0,74060.07103500006
NH,CHESHIRE,2010,16390.0,24623.46272250041
NH,COOS,2010,10983.0,20453.613690000206
NH,SULLIVAN,2010,8341.0,12811.749338175247
NH,CARROLL,2010,12826.0,24301.454055000395
NH,BELKNAP,2010,16834.0,30299.44965135051
NH,HILLSBOROUGH,2010,76330.0,125106.34921380044
NH,ROCKINGHAM,2010,73883.0,132887.17339590055
NH,MERRIMACK,2010,43062.0,78253.11977021204
NH,SULLIVAN,2011,8983.0,14351.996742262738
NH,GRAFTON,2011,33442.0,44123.09365136325
NH,COOS,2011,11564.0,20953.816200000158
NH,MERRIMACK,2011,43248.0,75489.5823662614
NH,HILLSBOROUGH,2011,81004.0,127423.06572495031
NH,CHESHIRE,2011,16966.0,23705.86325295056
NH,STRAFFORD,2011,39123.0,71368.9045463624
NH,ROCKINGHAM,2011,79154.0,137660.80836134986
NH,CARROLL,2011,14180.0,26751.625181363015
NH,BELKNAP,2011,16267.0,26979.96478158796
NH,HILLSBOROUGH,2012,82169.0,128031.56587946218
NH,GRAFTON,2012,31525.0,46512.96494407536
NH,STRAFFORD,2012,40795.0,74047.86337522492
NH,MERRIMACK,2012,43977.0,74438.76469574858
NH,CARROLL,2012,15818.0,30205.741722487986
NH,COOS,2012,11995.0,21935.48851500021
NH,ROCKINGHAM,2012,81774.0,139803.57629246198
NH,SULLIVAN,2012,9128.0,15152.855578387656
NH,CHESHIRE,2012,17539.0,24071.6298329256
NH,BELKNAP,2012,16360.0,24677.324130900448
