BUYER_STATE,BUYER_COUNTY,year,quantity,mme
NY,OSWEGO,2006,16954.0,23529.956121000992
NY,ROCKLAND,2006,31188.0,52485.499968003205
NY,RICHMOND,2006,74377.0,142375.43371454676
NY,NASSAU,2006,180376.0,299267.3183035876
NY,KINGS,2006,114899.0,214266.58415521233
NY,QUEENS,2006,100562.0,162577.26328281127
NY,NEW YORK,2006,144082.0,327401.9394150424
NY,SUFFOLK,2006,241202.0,397852.8547630632
NY,BRONX,2006,69362.0,182567.1783558278
NY,ULSTER,2006,29357.0,45110.11905675278
NY,SCHOHARIE,2006,6037.0,7632.828126000067
NY,ALBANY,2006,32705.0,37447.688935865684
NY,WARREN,2006,11039.0,15631.934972612775
NY,WASHINGTON,2006,7238.0,10893.303372000113
NY,GREENE,2006,8784.0,14443.023525500146
NY,SCHENECTADY,2006,15271.0,18534.581822075503
NY,ONTARIO,2006,17652.0,23791.82381643825
NY,WAYNE,2006,12677.0,17154.112170000248
NY,SENECA,2006,4740.0,6401.799625537541
NY,CAYUGA,2006,9366.0,12972.800660500237
NY,OTSEGO,2006,13125.0,15822.549624225356
NY,MADISON,2006,10254.0,14683.128355000194
NY,ONONDAGA,2006,94262.0,104306.93033459992
NY,ESSEX,2006,3976.0,5402.440654500056
NY,WESTCHESTER,2006,81227.0,129036.77783590203
NY,HERKIMER,2006,9015.0,11864.556527000226
NY,SARATOGA,2006,35648.0,29540.916659226157
NY,PUTNAM,2006,12276.0,17220.47619898796
NY,HAMILTON,2006,14.0,4.38915
NY,SULLIVAN,2006,19498.0,31767.662986525924
NY,ALLEGANY,2006,8189.0,12597.838994000178
NY,TIOGA,2006,4234.0,7806.294012000066
NY,STEUBEN,2006,16474.0,19025.861213500855
NY,LIVINGSTON,2006,6695.0,10000.959007500145
NY,CHEMUNG,2006,12034.0,17347.623511500315
NY,RENSSELAER,2006,17724.0,19763.423913900588
NY,ORLEANS,2006,7779.0,9680.482199000124
NY,CATTARAUGUS,2006,16617.0,19354.00123200041
NY,DUTCHESS,2006,39439.0,59806.00798026707
NY,COLUMBIA,2006,9850.0,12952.34380350015
NY,MONROE,2006,120271.0,186276.82272414022
NY,DELAWARE,2006,7920.0,11228.819733000082
NY,NIAGARA,2006,59566.0,70731.19309700753
NY,BROOME,2006,34489.0,45725.7106845041
NY,CHENANGO,2006,6804.0,10040.403847500056
NY,SCHUYLER,2006,3860.0,4827.570207000037
NY,YATES,2006,2544.0,3788.894059499993
NY,FULTON,2006,7649.0,7227.676780500104
NY,GENESEE,2006,9617.0,13939.044219000212
NY,ERIE,2006,248827.0,284817.07011588645
