BUYER_STATE,BUYER_COUNTY,year,quantity,mme
OR,DESCHUTES,2006,28297.0,36775.3266804022
OR,GRANT,2006,841.0,1565.240544000004
OR,CROOK,2006,2997.0,4789.057471500017
OR,KLAMATH,2006,17064.0,19683.05367150023
OR,LINN,2006,26874.0,37771.904380214764
OR,COOS,2006,21037.0,23885.975509176205
OR,MORROW,2006,790.0,810.1584075000019
OR,COLUMBIA,2006,9401.0,10924.138642725242
OR,CURRY,2006,7423.0,13703.839972500156
OR,WALLOWA,2006,1397.0,2082.384822862505
OR,JEFFERSON,2006,2128.0,3002.582362500017
OR,HARNEY,2006,1968.0,2018.0610555000012
OR,TILLAMOOK,2006,9792.0,15910.316554587616
OR,BAKER,2006,4868.0,6465.996549000053
OR,JACKSON,2006,59213.0,87235.55406109618
OR,YAMHILL,2006,17648.0,23524.469377950605
OR,LAKE,2006,1518.0,2759.992414500002
OR,CLATSOP,2006,13853.0,20443.779024087835
OR,LINCOLN,2006,18264.0,23774.671424175573
OR,HOOD RIVER,2006,4592.0,5162.920557500033
OR,POLK,2006,7543.0,9791.04596808752
OR,BENTON,2006,11874.0,14335.3550578628
OR,WASCO,2006,7741.0,10574.963878087576
OR,JOSEPHINE,2006,24519.0,34131.306866000974
OR,UNION,2006,6330.0,9226.361836800157
OR,MALHEUR,2006,5742.0,7645.423350000146
OR,UMATILLA,2006,13084.0,15292.895828000313
OR,WASHINGTON,2006,100873.0,133816.63771341144
OR,MULTNOMAH,2006,214371.0,253054.94035633633
OR,DOUGLAS,2006,31685.0,48273.24036172726
OR,MARION,2006,56802.0,77907.16880895621
OR,GILLIAM,2006,141.0,182.37997499999977
OR,LANE,2006,84577.0,119812.64972399994
OR,CLACKAMAS,2006,99824.0,132420.55699671106
OR,CURRY,2007,8720.0,16356.011407725251
OR,HARNEY,2007,2065.0,1863.2412375000029
OR,BAKER,2007,4835.0,6810.527583000065
OR,BENTON,2007,14445.0,17032.19372450042
OR,TILLAMOOK,2007,7812.0,15483.499417437668
OR,DOUGLAS,2007,36167.0,53458.97093322704
OR,WASCO,2007,9236.0,11838.02561298763
OR,JACKSON,2007,74827.0,103488.15212917156
OR,GILLIAM,2007,163.0,223.82268749999966
OR,YAMHILL,2007,21360.0,28431.40804058835
OR,UMATILLA,2007,16323.0,17913.362386250585
OR,LAKE,2007,1697.0,3511.3098749999995
OR,CLATSOP,2007,13348.0,19073.167993725263
OR,MULTNOMAH,2007,234198.0,311734.5270628883
OR,JOSEPHINE,2007,28545.0,40056.17380650135
OR,CLACKAMAS,2007,117153.0,161728.73357053733
OR,HOOD RIVER,2007,5130.0,6668.703687500072
OR,LANE,2007,92157.0,131836.9238582375
OR,COLUMBIA,2007,11941.0,14588.228772225157
OR,WALLOWA,2007,1328.0,1781.0696625000076
OR,MORROW,2007,763.0,806.7890325000025
OR,MARION,2007,66612.0,94786.7302358205
OR,JEFFERSON,2007,2870.0,3903.9446342250317
OR,UNION,2007,7326.0,10464.490733437693
OR,GRANT,2007,1048.0,1698.8283900000056
OR,CROOK,2007,3796.0,5676.510235500031
OR,KLAMATH,2007,18801.0,21758.483895000427
OR,MALHEUR,2007,7849.0,9070.049433000182
OR,LINN,2007,34125.0,45312.55464681531
OR,POLK,2007,9496.0,13902.693489000027
OR,DESCHUTES,2007,35032.0,42354.66167802752
OR,COOS,2007,26227.0,29563.13401235137
OR,WASHINGTON,2007,118760.0,169962.52574841044
OR,LINCOLN,2007,20250.0,26345.147052938126
OR,TILLAMOOK,2008,8753.0,17247.763257937637
OR,WALLOWA,2008,1288.0,1674.8393365875054
OR,WASCO,2008,10932.0,13477.203064350153
OR,UNION,2008,8359.0,11179.03346362515
