BUYER_STATE,BUYER_COUNTY,year,quantity,mme
PA,NORTHUMBERLAND,2006,16710.0,24653.33532000101
PA,WARREN,2006,4397.0,6984.940666500112
PA,MONTOUR,2006,2409.0,3180.8552295000068
PA,SNYDER,2006,4049.0,5769.546315000034
PA,POTTER,2006,2813.0,3566.6146860000013
PA,SOMERSET,2006,10064.0,14847.440247525512
PA,WYOMING,2006,4023.0,6655.239038362529
PA,JEFFERSON,2006,5376.0,9191.184811725177
PA,COLUMBIA,2006,9200.0,13060.930177762666
PA,LEBANON,2006,13460.0,22652.231524475996
PA,BERKS,2006,40755.0,58418.71197812931
PA,FRANKLIN,2006,16879.0,26548.18970703837
PA,WASHINGTON,2006,30150.0,53491.02944357833
PA,WESTMORELAND,2006,63283.0,111515.75838785908
PA,ADAMS,2006,10603.0,22081.284725863043
PA,UNION,2006,3258.0,3684.448745999998
PA,SULLIVAN,2006,440.0,798.0234765000012
PA,ERIE,2006,49895.0,62385.955790269974
PA,PIKE,2006,9281.0,15445.271626500255
PA,MONROE,2006,30242.0,43566.2045276647
PA,CLINTON,2006,7501.0,9940.107934725209
PA,MCKEAN,2006,7134.0,11305.53310886271
PA,MERCER,2006,30664.0,52833.20553251597
PA,LAWRENCE,2006,32294.0,89908.72024250324
PA,MIFFLIN,2006,7055.0,8895.40336050017
PA,CARBON,2006,13362.0,22239.59074436309
PA,TIOGA,2006,5275.0,7233.264747862591
PA,ARMSTRONG,2006,12309.0,19099.78112100067
PA,CAMBRIA,2006,40223.0,89626.39716000379
PA,LYCOMING,2006,20938.0,21689.37301250122
PA,VENANGO,2006,9003.0,12965.676647362921
PA,BUTLER,2006,24639.0,37518.56453771537
PA,BEAVER,2006,28623.0,49329.14225644086
PA,ELK,2006,5573.0,9634.444726500133
PA,CRAWFORD,2006,16375.0,23781.933301863664
PA,FOREST,2006,869.0,1035.1390800000006
PA,LEHIGH,2006,31063.0,50535.264650589736
PA,BEDFORD,2006,6864.0,11283.026570362814
PA,SCHUYLKILL,2006,22861.0,40469.118400239284
PA,INDIANA,2006,13081.0,24324.10538408849
PA,WAYNE,2006,9803.0,13941.970023450247
PA,CENTRE,2006,18068.0,24015.641851951063
PA,BLAIR,2006,34536.0,46104.71368230355
PA,ALLEGHENY,2006,237851.0,406285.8355159659
PA,FULTON,2006,1150.0,2204.711452575
PA,BRADFORD,2006,11332.0,16074.567315225391
PA,GREENE,2006,4504.0,7135.553919500051
PA,BUCKS,2006,121290.0,216731.31512985655
PA,NORTHAMPTON,2006,35333.0,57989.70047036533
PA,CHESTER,2006,57066.0,95742.34347501742
PA,DELAWARE,2006,120421.0,253704.26137348745
PA,LANCASTER,2006,57236.0,99961.46001598341
PA,LACKAWANNA,2006,51549.0,78669.20707913207
PA,PHILADELPHIA,2006,254686.0,493408.2506825521
PA,SUSQUEHANNA,2006,4137.0,7065.450046087525
PA,DAUPHIN,2006,36651.0,59370.01882995331
PA,HUNTINGDON,2006,4429.0,6485.918045000082
PA,CLEARFIELD,2006,14527.0,21927.383741038477
PA,PERRY,2006,6200.0,10773.418188862672
PA,CLARION,2006,5039.0,7246.457261850128
PA,MONTGOMERY,2006,159007.0,302403.81142466015
PA,CAMERON,2006,1144.0,2376.5079959999994
PA,FAYETTE,2006,30048.0,59336.4874750288
PA,LUZERNE,2006,54339.0,94619.08544138464
PA,YORK,2006,58190.0,94094.59620034229
PA,JUNIATA,2006,2704.0,5777.526507000031
PA,CUMBERLAND,2006,34760.0,55492.054846764826
PA,DAUPHIN,2007,42452.0,68038.26237367901
PA,GREENE,2007,5474.0,7834.927564500052
PA,JUNIATA,2007,3242.0,6110.984136862542
PA,ADAMS,2007,11200.0,22324.726344000417
PA,CARBON,2007,15007.0,25604.55288967569
PA,JEFFERSON,2007,6246.0,10497.417796362763
PA,LEHIGH,2007,41091.0,69320.27117028982
PA,LEBANON,2007,16164.0,26570.290285926294
PA,CRAWFORD,2007,18157.0,25591.202904726495
PA,CLINTON,2007,8459.0,10081.393494937774
PA,YORK,2007,67957.0,103993.41410853021
PA,WYOMING,2007,5038.0,8116.344259500037
PA,HUNTINGDON,2007,5082.0,6963.117055500108
PA,ERIE,2007,56787.0,68426.05571868397
PA,FRANKLIN,2007,20438.0,31719.4959003512
PA,CLEARFIELD,2007,14580.0,21098.30429897586
PA,CHESTER,2007,63848.0,108809.4098588811
PA,INDIANA,2007,15635.0,28907.181913888675
PA,BERKS,2007,49710.0,69215.03805580523
PA,POTTER,2007,3049.0,4548.823898362507
PA,BLAIR,2007,43916.0,54546.195179866365
PA,WARREN,2007,5354.0,7482.784515862621
PA,BEDFORD,2007,7873.0,12686.37491872537
PA,SOMERSET,2007,11596.0,17816.352277238107
PA,CLARION,2007,5253.0,7774.204903800114
PA,CENTRE,2007,17294.0,22402.193948451022
PA,FOREST,2007,807.0,979.2037238625016
PA,MONROE,2007,39137.0,57269.241272377745
PA,FULTON,2007,1074.0,1975.4124813374992
PA,ELK,2007,6727.0,11579.260355362625
PA,PIKE,2007,10681.0,16411.35653650026
PA,CUMBERLAND,2007,41685.0,71198.30126302838
PA,TIOGA,2007,6052.0,8138.403466500127
PA,MERCER,2007,31019.0,52700.39098860365
PA,LACKAWANNA,2007,58179.0,88710.43720335841
PA,CAMERON,2007,1593.0,3098.3889314999915
PA,WASHINGTON,2007,36653.0,64838.802814804294
PA,LUZERNE,2007,63942.0,107728.08074407458
PA,ARMSTRONG,2007,13832.0,21320.608023863144
PA,CAMBRIA,2007,50782.0,115856.87757122888
PA,SNYDER,2007,4735.0,6729.021849000087
PA,LAWRENCE,2007,34478.0,99916.33844475294
PA,SULLIVAN,2007,629.0,1137.844740225001
PA,PHILADELPHIA,2007,297689.0,551742.8999160031
PA,WESTMORELAND,2007,74530.0,134364.13709474864
PA,COLUMBIA,2007,11872.0,16915.767355162767
PA,BEAVER,2007,32082.0,56609.7967716787
PA,UNION,2007,4294.0,4702.113157500026
PA,MONTOUR,2007,3057.0,4370.038200000002
PA,SUSQUEHANNA,2007,4911.0,8274.67999998753
PA,BUTLER,2007,27426.0,43258.552724365654
PA,WAYNE,2007,11323.0,16092.001679812767
PA,VENANGO,2007,9765.0,13817.606779725413
PA,SCHUYLKILL,2007,30171.0,52415.2410042147
