BUYER_STATE,BUYER_COUNTY,year,quantity,mme
RI,NEWPORT,2006,11349.0,21249.75910500038
RI,WASHINGTON,2006,19777.0,35603.35283917597
RI,PROVIDENCE,2006,88653.0,181430.97615512344
RI,KENT,2006,39469.0,67638.00340236498
RI,BRISTOL,2006,5630.0,12210.605851537628
RI,WASHINGTON,2007,24149.0,39029.489646976304
RI,BRISTOL,2007,6135.0,13231.927939537649
RI,NEWPORT,2007,13663.0,24533.876434725567
RI,PROVIDENCE,2007,102648.0,208175.91107461168
RI,KENT,2007,40396.0,77107.62536595388
RI,WASHINGTON,2008,27119.0,40962.82437716412
RI,PROVIDENCE,2008,109129.0,216224.5377965506
RI,KENT,2008,42227.0,77024.27882445423
RI,NEWPORT,2008,14592.0,26399.7651428631
RI,BRISTOL,2008,5950.0,11812.524183000165
RI,KENT,2009,51876.0,83193.19749135381
RI,WASHINGTON,2009,29557.0,45870.54014156421
RI,NEWPORT,2009,13854.0,27088.33204136302
RI,PROVIDENCE,2009,111759.0,223120.16350700436
RI,BRISTOL,2009,6543.0,13138.055891362625
RI,NEWPORT,2010,14572.0,26661.631076363024
RI,PROVIDENCE,2010,121810.0,236270.30454886323
RI,KENT,2010,59821.0,86746.85866886629
RI,BRISTOL,2010,6803.0,12614.31880136263
RI,WASHINGTON,2010,29980.0,45187.66669338918
RI,BRISTOL,2011,7718.0,13607.39160408757
RI,WASHINGTON,2011,30870.0,44652.029563163975
RI,NEWPORT,2011,16607.0,28517.12953158802
RI,PROVIDENCE,2011,141270.0,256752.27759953836
RI,KENT,2011,64413.0,92973.2478838535
RI,NEWPORT,2012,17582.0,29566.7979929257
RI,PROVIDENCE,2012,146500.0,268447.07073144027
RI,BRISTOL,2012,8167.0,14218.983314962674
RI,WASHINGTON,2012,30163.0,44723.697118126074
RI,KENT,2012,66769.0,93958.19634562916
