BUYER_STATE,BUYER_COUNTY,year,quantity,mme
SD,BROOKINGS,2006,1777.0,2694.800057362494
SD,TURNER,2006,432.0,369.5828249999992
SD,BEADLE,2006,1038.0,1064.526375000003
SD,JERAULD,2006,95.0,227.07258600000003
SD,UNION,2006,664.0,1034.249400000002
SD,MEADE,2006,1188.0,1490.2973250000023
SD,EDMUNDS,2006,178.0,243.02666249999962
SD,CHARLES MIX,2006,437.0,851.9906565000005
SD,BROWN,2006,3545.0,4626.402337500051
SD,HUTCHINSON,2006,464.0,694.3615500000004
SD,BON HOMME,2006,248.0,304.2574874999998
SD,MINER,2006,72.0,64.52606250000002
SD,POTTER,2006,251.0,445.2536999999997
SD,KINGSBURY,2006,507.0,506.87818799999957
SD,DAY,2006,268.0,457.3784249999995
SD,MARSHALL,2006,299.0,523.9460249999995
SD,HAND,2006,191.0,362.3224499999996
SD,MCCOOK,2006,220.0,197.3453249999997
SD,PENNINGTON,2006,13440.0,25846.89293576338
SD,DOUGLAS,2006,167.0,168.9616499999999
SD,SPINK,2006,458.0,597.470437499999
SD,HAAKON,2006,153.0,162.2730749999999
SD,DAVISON,2006,2180.0,2314.299078862497
SD,BRULE,2006,317.0,318.9220523624995
SD,WALWORTH,2006,515.0,1075.2652125
SD,PERKINS,2006,110.0,209.34367499999988
SD,BENNETT,2006,177.0,274.8010499999998
SD,GRANT,2006,506.0,638.997074999999
SD,MELLETTE,2006,151.0,129.60944999999987
SD,GREGORY,2006,381.0,479.7049409999997
SD,TRIPP,2006,826.0,802.6588499999998
SD,YANKTON,2006,2296.0,3717.373556362504
SD,LINCOLN,2006,1124.0,1945.2632235000044
SD,DEUEL,2006,181.0,416.3917499999994
SD,FALL RIVER,2006,1186.0,2789.936849999997
SD,MINNEHAHA,2006,18577.0,26549.304456176156
SD,CLAY,2006,764.0,1340.426057999998
SD,LAKE,2006,726.0,717.9742874999995
SD,STANLEY,2006,104.0,112.68416099999999
SD,MOODY,2006,174.0,151.85325386250005
SD,LAWRENCE,2006,3125.0,5919.411042862559
SD,CUSTER,2006,861.0,1558.915492500002
SD,FAULK,2006,132.0,339.4531499999997
SD,ROBERTS,2006,373.0,442.7144729999999
SD,MCPHERSON,2006,61.0,67.36192500000003
SD,CLARK,2006,46.0,53.51467500000002
SD,HUGHES,2006,1931.0,2782.7938500000037
SD,CODINGTON,2006,3112.0,3202.491886499986
SD,BUTTE,2006,578.0,544.7367788625
SD,FALL RIVER,2007,1258.0,2597.6420999999964
SD,HUGHES,2007,2149.0,3089.1976095000027
SD,DAVISON,2007,2115.0,2091.8274885000073
SD,YANKTON,2007,2773.0,4814.415130500045
SD,BRULE,2007,375.0,436.5733163624991
SD,LAWRENCE,2007,3691.0,5987.813092725104
SD,LAKE,2007,938.0,969.7002375000006
SD,LINCOLN,2007,1622.0,2956.0032629999964
SD,MCCOOK,2007,254.0,238.6950749999996
SD,GREGORY,2007,517.0,598.6703624999997
SD,MELLETTE,2007,234.0,248.11454999999984
SD,MOODY,2007,229.0,194.65911449999987
SD,TRIPP,2007,996.0,903.3459375000008
SD,STANLEY,2007,152.0,154.38982499999995
SD,UNION,2007,1008.0,1595.5925400000024
SD,BEADLE,2007,1225.0,1357.3680825000015
SD,BUTTE,2007,647.0,631.3854
SD,FAULK,2007,141.0,255.73064999999968
SD,PENNINGTON,2007,14487.0,26778.081024075946
SD,DEUEL,2007,155.0,302.01487499999985
SD,MARSHALL,2007,374.0,483.1835999999995
SD,SPINK,2007,360.0,558.6624749999996
SD,BON HOMME,2007,334.0,417.96371249999925
SD,CHARLES MIX,2007,420.0,887.2318680000003
SD,HAAKON,2007,242.0,213.14384999999984
SD,JERAULD,2007,97.0,227.11184399999993
SD,TURNER,2007,544.0,543.8172
SD,MINER,2007,104.0,82.56652500000001
SD,CLARK,2007,101.0,78.904575
SD,ROBERTS,2007,466.0,500.4689099999999
SD,EDMUNDS,2007,194.0,247.94628749999964
SD,CUSTER,2007,1213.0,1939.3208250000002
SD,BENNETT,2007,225.0,297.8621699999997
SD,CLAY,2007,1037.0,1784.401087500002
SD,MINNEHAHA,2007,25682.0,37437.51236540163
SD,BROWN,2007,3740.0,5346.8695240875995
SD,CODINGTON,2007,3679.0,3810.6156959999767
SD,KINGSBURY,2007,510.0,491.1751289999996
SD,DOUGLAS,2007,164.0,143.72662499999998
SD,HUTCHINSON,2007,428.0,646.2423750000004
SD,HAND,2007,305.0,484.6362149999999
SD,GRANT,2007,436.0,660.649725
SD,MEADE,2007,1273.0,1577.8617375000001
SD,PERKINS,2007,80.0,191.06347499999995
SD,MCPHERSON,2007,94.0,107.61315000000005
SD,WALWORTH,2007,525.0,1103.3509500000002
SD,BROOKINGS,2007,2085.0,3255.5156738624983
SD,DAY,2007,273.0,449.6500499999995
SD,POTTER,2007,265.0,396.84007499999996
SD,MOODY,2008,128.0,105.77521650000007
SD,BROOKINGS,2008,2506.0,3044.445341362494
SD,GRANT,2008,406.0,495.1663499999987
SD,HAAKON,2008,250.0,246.5495249999995
SD,KINGSBURY,2008,692.0,541.2972014999988
SD,MINER,2008,117.0,70.15155000000006
SD,DAVISON,2008,2428.0,2389.038952499991
SD,POTTER,2008,356.0,484.25695499999983
SD,UNION,2008,1174.0,1981.9920059999988
SD,MCPHERSON,2008,190.0,260.3259749999997
SD,CLARK,2008,117.0,105.33074999999998
SD,BENNETT,2008,213.0,260.46944999999954
SD,TRIPP,2008,1120.0,1073.8287750000018
SD,PERKINS,2008,95.0,176.37824999999987
SD,DAY,2008,254.0,484.4244374999996
SD,DEUEL,2008,198.0,300.4005749999998
SD,BROWN,2008,4421.0,5797.878862725147
SD,HAND,2008,377.0,528.6014249999998
SD,FALL RIVER,2008,1490.0,2295.736199999999
SD,MEADE,2008,1555.0,1982.4234749999966
SD,DOUGLAS,2008,215.0,250.6488749999999
SD,HUTCHINSON,2008,534.0,817.7332643625008
