BUYER_STATE,BUYER_COUNTY,year,quantity,mme
VA,TAZEWELL,2006,18312.0,28533.205489175925
VA,RICHMOND CITY,2006,17925.0,23625.868833950786
VA,GLOUCESTER,2006,7570.0,10551.485596087743
VA,LOUDOUN,2006,27914.0,45829.291775176855
VA,RICHMOND,2006,977.0,823.9196925000017
VA,CHARLOTTE,2006,1251.0,1849.4083245000043
VA,CAROLINE,2006,1542.0,1688.333850000003
VA,MANASSAS CITY,2006,8321.0,12820.056288225143
VA,WESTMORELAND,2006,1722.0,1786.6810500000045
VA,STAFFORD,2006,15175.0,18326.44956758818
VA,AMELIA,2006,1113.0,1132.7297625
VA,FAUQUIER,2006,11812.0,19117.785109725428
VA,ACCOMACK,2006,2693.0,4073.8513760000014
VA,SHENANDOAH,2006,5581.0,6296.888482500065
VA,AMHERST,2006,3131.0,3134.723689087496
VA,HARRISONBURG CITY,2006,15135.0,14338.744264087882
VA,PULASKI,2006,14176.0,20274.507008000324
VA,WARREN,2006,7712.0,11408.713426725162
VA,WAYNESBORO CITY,2006,12174.0,11482.112791500136
VA,WINCHESTER CITY,2006,12940.0,15624.610845500318
VA,NORTON CITY,2006,6236.0,5997.534586000039
VA,HAMPTON CITY,2006,15928.0,24786.092456363207
VA,CARROLL,2006,2038.0,3028.882156862496
VA,FALLS CHURCH CITY,2006,3184.0,5274.887443500024
VA,BEDFORD,2006,5308.0,6823.81276386255
VA,ARLINGTON,2006,9888.0,12511.216189537801
VA,GREENSVILLE,2006,2242.0,2326.5146555000038
VA,LYNCHBURG CITY,2006,16558.0,18976.12461322552
VA,RADFORD,2006,4812.0,5850.998286500028
VA,FAIRFAX,2006,85330.0,131977.17951475742
VA,ALEXANDRIA CITY,2006,9599.0,12284.409201787746
VA,MARTINSVILLE CITY,2006,14323.0,19647.253304363
VA,NORTHUMBERLAND,2006,1262.0,1408.028373500003
VA,HENRY,2006,7243.0,10724.428105500087
VA,WASHINGTON,2006,13649.0,18779.092419000193
VA,ISLE OF WIGHT,2006,3844.0,6650.400484500044
VA,COVINGTON CITY,2006,3672.0,3151.117665499992
VA,BUCHANAN,2006,7708.0,15160.483014999982
VA,ESSEX,2006,2340.0,3129.757487362491
VA,HOPEWELL CITY,2006,4962.0,6387.593585000048
VA,PAGE,2006,4409.0,4920.767254500024
VA,GILES,2006,9211.0,12356.621627037632
VA,VIRGINIA BEACH CITY,2006,53084.0,65444.402354316815
VA,FREDERICKSBURG CITY,2006,13654.0,18215.223105000372
VA,KING WILLIAM,2006,1983.0,2863.1742524999945
VA,WISE,2006,20323.0,29850.064155362797
VA,SMYTH,2006,8746.0,11549.768085350182
VA,NORTHAMPTON,2006,2576.0,3633.5765550000015
VA,STAUNTON CITY,2006,10809.0,10678.166928000128
VA,RUSSELL,2006,10288.0,17481.177343725438
VA,MONTGOMERY,2006,17063.0,27231.143722226036
VA,FREDERICK,2006,9330.0,10349.594957000187
VA,LEE,2006,7214.0,10729.7022815876
VA,ROANOKE CITY,2006,27747.0,37162.107265038845
VA,CHESAPEAKE CITY,2006,28224.0,38819.199491739666
VA,DICKENSON,2006,9571.0,15256.947677725058
VA,BOTETOURT,2006,2378.0,3952.280629225012
VA,GALAX CITY,2006,4240.0,4910.051499000036
VA,JAMES CITY,2006,10004.0,14343.267214587711
VA,LANCASTER,2006,2423.0,3387.2062380000034
VA,BRUNSWICK,2006,808.0,895.1202585000012
VA,PRINCE EDWARD,2006,3468.0,3160.7059934999916
VA,PETERSBURG CITY,2006,5819.0,7612.113032862612
VA,NEWPORT NEWS CITY,2006,18536.0,30530.30532072611
VA,ALBEMARLE,2006,14975.0,15666.940975500293
VA,GOOCHLAND,2006,1069.0,2082.177600000003
VA,CULPEPER,2006,7768.0,9738.551082225138
