BUYER_STATE,BUYER_COUNTY,year,quantity,mme
VT,LAMOILLE,2006,2963.0,4814.741316000014
VT,GRAND ISLE,2006,280.0,275.95147499999973
VT,RUTLAND,2006,9424.0,13100.403477862632
VT,WINDSOR,2006,7668.0,11045.371911675184
VT,BENNINGTON,2006,6705.0,9059.957733000152
VT,CALEDONIA,2006,5080.0,6794.531655000042
VT,WINDHAM,2006,9269.0,18114.59166622512
VT,ORLEANS,2006,3673.0,5185.952952000026
VT,ORANGE,2006,2613.0,3378.4429478625084
VT,ADDISON,2006,4914.0,7938.453741225102
VT,WASHINGTON,2006,9366.0,14705.715854362774
VT,CHITTENDEN,2006,24378.0,38239.27615200137
VT,ESSEX,2006,181.0,79.78836
VT,FRANKLIN,2006,8692.0,11201.165640000158
VT,CALEDONIA,2007,5562.0,7455.153439500043
VT,BENNINGTON,2007,7986.0,10934.252595450187
VT,RUTLAND,2007,11037.0,15684.709506000221
VT,ESSEX,2007,129.0,50.714808000000005
VT,ORLEANS,2007,3578.0,5221.078803000023
VT,WINDSOR,2007,9286.0,14214.2751627003
VT,ORANGE,2007,2899.0,3321.4204770000183
VT,FRANKLIN,2007,11023.0,14519.080365000196
VT,ADDISON,2007,5252.0,8170.459020037608
VT,LAMOILLE,2007,3651.0,5740.958160000025
VT,WINDHAM,2007,11085.0,21807.896188500246
VT,WASHINGTON,2007,10126.0,14554.314423000273
VT,CHITTENDEN,2007,27791.0,42088.100367863735
VT,GRAND ISLE,2007,372.0,355.08127499999966
VT,RUTLAND,2008,11341.0,16080.92710822529
VT,ESSEX,2008,104.0,51.862776000000004
VT,BENNINGTON,2008,8825.0,12136.024653000302
VT,CALEDONIA,2008,5666.0,7623.644400000058
VT,CHITTENDEN,2008,31920.0,46492.286127001025
VT,ORLEANS,2008,3902.0,5424.170863500023
VT,WASHINGTON,2008,11605.0,15811.321571587812
VT,WINDSOR,2008,9649.0,14324.371439550263
VT,ORANGE,2008,2821.0,3268.982700000013
VT,FRANKLIN,2008,11348.0,15000.529125000232
VT,LAMOILLE,2008,5014.0,6995.89758600006
VT,GRAND ISLE,2008,429.0,438.4206150000001
VT,ADDISON,2008,5572.0,8238.451666125125
VT,WINDHAM,2008,12193.0,24694.67113136282
VT,WINDHAM,2009,11312.0,22198.564534987785
VT,FRANKLIN,2009,11911.0,16110.39912000037
VT,RUTLAND,2009,11613.0,17596.44796522522
VT,GRAND ISLE,2009,493.0,581.6617424999994
VT,BENNINGTON,2009,9949.0,14296.75291908792
VT,CALEDONIA,2009,5653.0,7474.18973250007
VT,WINDSOR,2009,9513.0,15715.080793162735
VT,LAMOILLE,2009,5500.0,6858.935378175053
VT,ORLEANS,2009,4045.0,5310.191287500019
VT,ADDISON,2009,6072.0,9551.953302037666
VT,CHITTENDEN,2009,41248.0,61425.72077250132
VT,ESSEX,2009,67.0,20.280899999999995
VT,ORANGE,2009,3217.0,3681.248362500007
VT,WASHINGTON,2009,11987.0,17322.425074087776
VT,WINDSOR,2010,9655.0,16489.215261562706
VT,ESSEX,2010,72.0,21.7944
VT,GRAND ISLE,2010,538.0,515.9534924999992
VT,WINDHAM,2010,11910.0,22481.05639545034
VT,BENNINGTON,2010,10285.0,14562.722370000422
VT,RUTLAND,2010,12852.0,19226.285445675294
VT,LAMOILLE,2010,5529.0,6388.025632500041
VT,WASHINGTON,2010,13071.0,17620.86170272532
VT,ADDISON,2010,6054.0,9197.623246125155
VT,CHITTENDEN,2010,36657.0,55734.98417550079
VT,CALEDONIA,2010,6506.0,8290.549830000087
VT,FRANKLIN,2010,12380.0,17823.610635000397
VT,ORANGE,2010,3592.0,4175.923020000027
VT,ORLEANS,2010,4184.0,5491.651170000026
VT,FRANKLIN,2011,11563.0,16935.464403862803
VT,GRAND ISLE,2011,619.0,449.8871024999991
VT,WINDSOR,2011,10722.0,17240.964885187776
VT,ADDISON,2011,5695.0,8679.139147950116
VT,ORANGE,2011,3605.0,4048.700392500023
VT,WASHINGTON,2011,12760.0,17765.575991362843
VT,CHITTENDEN,2011,37132.0,57607.80057000022
VT,BENNINGTON,2011,9549.0,13981.57262250026
VT,ESSEX,2011,69.0,20.886300000000002
VT,CALEDONIA,2011,7171.0,9100.661242500093
VT,LAMOILLE,2011,5460.0,6426.429397500041
VT,RUTLAND,2011,12445.0,16219.582703400403
VT,WINDHAM,2011,12016.0,20734.77134362531
VT,ORLEANS,2011,4452.0,5518.230787500041
VT,GRAND ISLE,2012,626.0,687.5030399999996
VT,ESSEX,2012,80.0,34.566900000000004
VT,CHITTENDEN,2012,37827.0,57335.84865000045
VT,ADDISON,2012,5244.0,7903.701523162651
VT,ORANGE,2012,3658.0,4559.244165225029
VT,WINDSOR,2012,11018.0,17648.699597700288
VT,FRANKLIN,2012,11582.0,17122.8510000004
VT,ORLEANS,2012,5245.0,6496.512727500074
VT,BENNINGTON,2012,8037.0,10785.972667500193
VT,CALEDONIA,2012,7209.0,8843.762355000132
VT,WINDHAM,2012,11543.0,20030.835927712807
VT,RUTLAND,2012,12007.0,15362.435329537831
VT,WASHINGTON,2012,12566.0,17346.90401636295
VT,LAMOILLE,2012,5772.0,6598.736951587544
