BUYER_COUNTY,BUYER_STATE,mme,quantity,year
PETERSBURG,AK,1059.2782890000024,,2006
PRINCE OF WALES HYDER,AK,439.74010500000014,,2006
ALEUTIANS WEST,AK,87.30892500000002,,2006
KETCHIKAN GATEWAY,AK,4684.9165200000125,,2006
WRANGELL,AK,255.119475,,2006
KODIAK ISLAND,AK,1642.5328499999982,,2006
SOUTHEAST FAIRBANKS,AK,705.1916249999998,,2006
SITKA,AK,1864.520148225004,,2006
JUNEAU,AK,6480.949287500046,,2006
VALDEZ CORDOVA,AK,1320.8106570000007,,2006
NORTH SLOPE,AK,6.035830000000001,,2006
SKAGWAY,AK,2.54268,,2006
DENALI,AK,11.35125,,2006
NORTHWEST ARCTIC,AK,5.81184,,2006
MATANUSKA SUSITNA,AK,23808.876922175998,,2006
KENAI PENINSULA,AK,15774.88421750032,,2006
FAIRBANKS NORTH STAR,AK,15116.213977800358,,2006
HAINES,AK,306.41448899999995,,2006
ALEUTIANS EAST,AK,0.9081,,2006
ANCHORAGE,AK,88940.84348034291,,2006
BETHEL,AK,0.3027,,2006
VALDEZ CORDOVA,AK,1399.9238925000036,,2007
NORTHWEST ARCTIC,AK,0.72648,,2007
SITKA,AK,1869.902324999998,,2007
DENALI,AK,15.891750000000002,,2007
NORTH SLOPE,AK,6.81075,,2007
ANCHORAGE,AK,93219.89992216896,,2007
SOUTHEAST FAIRBANKS,AK,665.4120000000001,,2007
PETERSBURG,AK,1072.0856880000033,,2007
HAINES,AK,292.8370109999999,,2007
WRANGELL,AK,239.8388999999999,,2007
JUNEAU,AK,7165.115467950062,,2007
KETCHIKAN GATEWAY,AK,4129.682713500003,,2007
KODIAK ISLAND,AK,1720.8682874999945,,2007
ALEUTIANS EAST,AK,0.3027,,2007
FAIRBANKS NORTH STAR,AK,14857.549203075416,,2007
PRINCE OF WALES HYDER,AK,700.1029740000017,,2007
MATANUSKA SUSITNA,AK,27586.089293176406,,2007
ALEUTIANS WEST,AK,105.18824999999998,,2007
KENAI PENINSULA,AK,20264.50551150042,,2007
NORTHWEST ARCTIC,AK,0.72648,,2008
MATANUSKA SUSITNA,AK,28720.19213340128,,2008
ANCHORAGE,AK,102829.84221540604,,2008
SITKA,AK,2637.9610875000035,,2008
PETERSBURG,AK,908.2429980000007,,2008
PRINCE OF WALES HYDER,AK,654.4770750000002,,2008
BETHEL,AK,3.832182,,2008
VALDEZ CORDOVA,AK,2012.0640375000007,,2008
HAINES,AK,295.2243659999998,,2008
KETCHIKAN GATEWAY,AK,4240.5254774999985,,2008
ALEUTIANS WEST,AK,92.0208,,2008
SOUTHEAST FAIRBANKS,AK,959.3051250000008,,2008
KENAI PENINSULA,AK,23132.85084236288,,2008
WRANGELL,AK,258.87945,,2008
JUNEAU,AK,7540.591718400081,,2008
FAIRBANKS NORTH STAR,AK,16788.327677512934,,2008
KODIAK ISLAND,AK,1930.759124999994,,2008
BETHEL,AK,12.059568,,2009
SITKA,AK,2800.832962500001,,2009
KETCHIKAN GATEWAY,AK,4724.056425000019,,2009
PETERSBURG,AK,922.1721000000017,,2009
ALEUTIANS WEST,AK,92.3061,,2009
HAINES,AK,273.4717499999997,,2009
ANCHORAGE,AK,109170.76065735496,,2009
PRINCE OF WALES HYDER,AK,571.6995750000007,,2009
FAIRBANKS NORTH STAR,AK,20041.217613600587,,2009
MATANUSKA SUSITNA,AK,32298.168113401094,,2009
JUNEAU,AK,7690.342797262574,,2009
KENAI PENINSULA,AK,25944.95080158774,,2009
NORTH SLOPE,AK,2.8756500000000003,,2009
WRANGELL,AK,295.7617125,,2009
KODIAK ISLAND,AK,2119.3888875,,2009
NOME,AK,1.8162000000000005,,2009
VALDEZ CORDOVA,AK,2270.167725,,2009
SOUTHEAST FAIRBANKS,AK,876.4942499999997,,2009
WRANGELL,AK,355.62618749999984,,2010
NORTH SLOPE,AK,5.145899999999998,,2010
ALEUTIANS WEST,AK,81.64462500000002,,2010
NOME,AK,2.1189,,2010
PRINCE OF WALES HYDER,AK,641.0333250000018,,2010
SITKA,AK,2430.5241375000032,,2010
BETHEL,AK,12.628643999999998,,2010
ANCHORAGE,AK,110497.97956249073,,2010
KODIAK ISLAND,AK,2027.7804000000024,,2010
VALDEZ CORDOVA,AK,2313.9911999999995,,2010
KENAI PENINSULA,AK,27671.46706590056,,2010
KETCHIKAN GATEWAY,AK,4413.288225000016,,2010
JUNEAU,AK,7291.978887262574,,2010
FAIRBANKS NORTH STAR,AK,23611.998773138217,,2010
HAINES,AK,274.6851749999998,,2010
MATANUSKA SUSITNA,AK,37204.30263431375,,2010
PETERSBURG,AK,889.6840875000007,,2010
SOUTHEAST FAIRBANKS,AK,1022.4485625,,2010
VALDEZ CORDOVA,AK,2162.7278250000027,,2011
KODIAK ISLAND,AK,2143.341899999999,,2011
FAIRBANKS NORTH STAR,AK,28311.334262700773,,2011
NORTH SLOPE,AK,4.461798,,2011
JUNEAU,AK,7125.05683226259,,2011
WRANGELL,AK,287.23882886249993,,2011
MATANUSKA SUSITNA,AK,45949.79632316365,,2011
PETERSBURG,AK,500.4741750000002,,2011
SITKA,AK,1894.6444202250009,,2011
KETCHIKAN GATEWAY,AK,4322.568577500013,,2011
HAINES,AK,199.24424999999985,,2011
PRINCE OF WALES HYDER,AK,596.5026000000003,,2011
BETHEL,AK,14.983649999999995,,2011
ALEUTIANS WEST,AK,93.83699999999996,,2011
ANCHORAGE,AK,112689.91296131627,,2011
KENAI PENINSULA,AK,27490.531572937667,,2011
SOUTHEAST FAIRBANKS,AK,1525.2130125000022,,2011
KODIAK ISLAND,AK,2254.1057288625057,,2012
KENAI PENINSULA,AK,27860.21979453788,,2012
MATANUSKA SUSITNA,AK,50748.799961325596,,2012
NORTH SLOPE,AK,2.57295,,2012
SITKA,AK,1992.1769481750025,,2012
JUNEAU,AK,7281.733273612613,,2012
SOUTHEAST FAIRBANKS,AK,1424.2448250000011,,2012
VALDEZ CORDOVA,AK,2515.4663250000062,,2012
FAIRBANKS NORTH STAR,AK,28170.02041248815,,2012
BETHEL,AK,44.58771000000001,,2012
ALEUTIANS WEST,AK,60.00157500000001,,2012
WRANGELL,AK,317.49516749999987,,2012
PETERSBURG,AK,522.449475,,2012
PRINCE OF WALES HYDER,AK,651.418324087501,,2012
KETCHIKAN GATEWAY,AK,4539.904336500018,,2012
HAINES,AK,188.52856499999993,,2012
ANCHORAGE,AK,117945.86340544037,,2012
DENALI,AK,3.0269999999999997,,2012
COVINGTON,AL,11899.53358086268,,2006
PIKE,AL,5029.7978307250405,,2006
