BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,AL,COVINGTON,9193,6.0539999999999985,1000.0,1.0,10.0,2006,6296.0,6.0539999999999985
RETAIL PHARMACY,AL,COVINGTON,9193,1.36215,300.0,1.0,7.5,2006,6296.0,1.36215
RETAIL PHARMACY,AL,COVINGTON,9193,2.27025,500.0,1.0,7.5,2006,6296.0,2.27025
RETAIL PHARMACY,AL,COVINGTON,9193,0.136215,30.0,1.0,7.5,2006,6296.0,0.136215
RETAIL PHARMACY,AL,WALKER,9193,27.243,6000.0,1.0,7.5,2007,20164.0,27.243
RETAIL PHARMACY,AL,COLBERT,9193,4.5405,1000.0,1.0,7.5,2006,11180.0,4.5405
RETAIL PHARMACY,AL,JEFFERSON,9193,0.6054,200.0,1.0,5.0,2012,154255.0,0.6054
RETAIL PHARMACY,AL,JEFFERSON,9193,4.5405,1000.0,1.0,7.5,2012,154255.0,4.5405
RETAIL PHARMACY,AL,JEFFERSON,9193,6.0539999999999985,1000.0,1.0,10.0,2012,154255.0,6.0539999999999985
RETAIL PHARMACY,AL,MACON,9193,3.027,500.0,1.0,10.0,2008,1798.0,3.027
RETAIL PHARMACY,AL,MACON,9193,3.027,500.0,1.0,10.0,2009,1301.0,3.027
RETAIL PHARMACY,AL,COVINGTON,9193,12.108,2000.0,1.0,10.0,2008,7726.0,12.108
RETAIL PHARMACY,AL,COVINGTON,9193,18.162,4000.0,1.0,7.5,2009,8632.0,18.162
RETAIL PHARMACY,AL,COVINGTON,9193,3.027,500.0,1.0,10.0,2010,10302.0,3.027
RETAIL PHARMACY,AL,COVINGTON,9193,18.162,4000.0,1.0,7.5,2010,10302.0,18.162
RETAIL PHARMACY,AL,COVINGTON,9193,24.216,4000.0,1.0,10.0,2011,10042.0,24.216
RETAIL PHARMACY,AL,COVINGTON,9193,9.081,1500.0,1.0,10.0,2011,10042.0,9.081
RETAIL PHARMACY,AL,RUSSELL,9193,6.0539999999999985,1000.0,1.0,10.0,2011,11514.0,6.0539999999999985
RETAIL PHARMACY,AL,JEFFERSON,9193,2.27025,500.0,1.0,7.5,2012,154255.0,2.27025
RETAIL PHARMACY,AL,GENEVA,9193,2.27025,500.0,1.0,7.5,2006,2811.0,2.27025
RETAIL PHARMACY,AL,GENEVA,9193,3.027,1000.0,1.0,5.0,2007,2629.0,3.027
RETAIL PHARMACY,AL,GENEVA,9193,0.54486,120.0,1.0,7.5,2007,2629.0,0.54486
RETAIL PHARMACY,AL,GENEVA,9193,4.5405,1000.0,1.0,7.5,2007,2629.0,4.5405
RETAIL PHARMACY,AL,GENEVA,9193,0.408645,90.0,1.0,7.5,2007,2629.0,0.408645
RETAIL PHARMACY,AL,GENEVA,9193,2.27025,500.0,1.0,7.5,2008,2860.0,2.27025
RETAIL PHARMACY,AL,SHELBY,9193,0.136215,30.0,1.0,7.5,2008,26543.0,0.136215
RETAIL PHARMACY,AL,SHELBY,9193,6.0539999999999985,1000.0,1.0,10.0,2011,30162.0,6.0539999999999985
RETAIL PHARMACY,AL,SHELBY,9193,3.027,500.0,1.0,10.0,2012,32758.0,3.027
RETAIL PHARMACY,AL,ETOWAH,9193,9.081,1500.0,1.0,10.0,2010,20542.0,9.081
RETAIL PHARMACY,AL,ETOWAH,9193,15.135,2500.0,1.0,10.0,2010,20542.0,15.135
RETAIL PHARMACY,AL,ETOWAH,9193,18.162,3000.0,1.0,10.0,2011,26812.0,18.162
RETAIL PHARMACY,AL,HOUSTON,9193,3.027,500.0,1.0,10.0,2007,18129.0,3.027
RETAIL PHARMACY,AL,HOUSTON,9193,0.136215,30.0,1.0,7.5,2007,18129.0,0.136215
RETAIL PHARMACY,AL,JEFFERSON,9193,3.027,1000.0,1.0,5.0,2012,154255.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,0.15135,100.0,1.0,2.5,2008,3646.0,0.15135
PRACTITIONER-DW/100,AL,COVINGTON,9193,3.027,500.0,1.0,10.0,2011,10042.0,3.027
PRACTITIONER-DW/100,AL,COVINGTON,9193,6.0539999999999985,1000.0,1.0,10.0,2011,10042.0,6.0539999999999985
PRACTITIONER-DW/100,AL,COVINGTON,9193,6.0539999999999985,1000.0,1.0,10.0,2012,10027.0,6.0539999999999985
RETAIL PHARMACY,AL,HENRY,9193,6.0539999999999985,1000.0,1.0,10.0,2008,1304.0,6.0539999999999985
RETAIL PHARMACY,AL,DALE,9193,4.5405,1000.0,1.0,7.5,2011,6945.0,4.5405
RETAIL PHARMACY,AL,COFFEE,9193,6.81075,1500.0,1.0,7.5,2008,6804.0,6.81075
RETAIL PHARMACY,AL,BARBOUR,9193,9.081,1500.0,1.0,10.0,2006,3290.0,9.081
RETAIL PHARMACY,AL,BARBOUR,9193,2.27025,500.0,1.0,7.5,2006,3290.0,2.27025
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,500.0,1.0,10.0,2007,3540.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,2.27025,500.0,1.0,7.5,2008,3646.0,2.27025
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,500.0,1.0,10.0,2008,3646.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,0.6054,100.0,1.0,10.0,2008,3646.0,0.6054
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,1000.0,1.0,5.0,2009,4297.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,1.5135,500.0,1.0,5.0,2010,5156.0,1.5135
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,500.0,1.0,10.0,2011,5176.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,1.5135,500.0,1.0,5.0,2011,5176.0,1.5135
RETAIL PHARMACY,AL,BARBOUR,9193,6.0539999999999985,1000.0,1.0,10.0,2011,5176.0,6.0539999999999985
RETAIL PHARMACY,AL,BARBOUR,9193,1.5135,500.0,1.0,5.0,2012,5885.0,1.5135
RETAIL PHARMACY,AL,BARBOUR,9193,1.5135,500.0,1.0,5.0,2009,4297.0,1.5135
RETAIL PHARMACY,AL,BARBOUR,9193,0.6054,100.0,1.0,10.0,2010,5156.0,0.6054
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,500.0,1.0,10.0,2010,5156.0,3.027
RETAIL PHARMACY,AL,BARBOUR,9193,2.27025,500.0,1.0,7.5,2010,5156.0,2.27025
RETAIL PHARMACY,AL,BARBOUR,9193,1.2108,200.0,1.0,10.0,2011,5176.0,1.2108
RETAIL PHARMACY,AL,BARBOUR,9193,0.3027,100.0,1.0,5.0,2011,5176.0,0.3027
RETAIL PHARMACY,AL,BARBOUR,9193,3.027,500.0,1.0,10.0,2012,5885.0,3.027
RETAIL PHARMACY,AL,MOBILE,9193,3.027,500.0,1.0,10.0,2012,122398.0,3.027
RETAIL PHARMACY,AL,MOBILE,9193,6.0539999999999985,1000.0,1.0,10.0,2012,122398.0,6.0539999999999985
RETAIL PHARMACY,AL,RUSSELL,9193,18.162,3000.0,1.0,10.0,2006,8403.0,18.162
RETAIL PHARMACY,AL,RUSSELL,9193,4.5405,1500.0,1.0,5.0,2006,8403.0,4.5405
RETAIL PHARMACY,AL,RUSSELL,9193,3.027,500.0,1.0,10.0,2006,8403.0,3.027
RETAIL PHARMACY,AL,RUSSELL,9193,2.27025,500.0,1.0,7.5,2006,8403.0,2.27025
RETAIL PHARMACY,AL,RUSSELL,9193,1.5135,500.0,1.0,5.0,2006,8403.0,1.5135
RETAIL PHARMACY,AL,RUSSELL,9193,3.027,500.0,1.0,10.0,2007,9414.0,3.027
RETAIL PHARMACY,AL,RUSSELL,9193,0.45405,100.0,1.0,7.5,2008,10199.0,0.45405
RETAIL PHARMACY,AL,RUSSELL,9193,6.0539999999999985,1000.0,1.0,10.0,2008,10199.0,6.0539999999999985
RETAIL PHARMACY,AL,RUSSELL,9193,0.9081,200.0,1.0,7.5,2009,10320.0,0.9081
RETAIL PHARMACY,AL,RUSSELL,9193,3.027,500.0,1.0,10.0,2009,10320.0,3.027
RETAIL PHARMACY,AL,CALHOUN,9193,2.27025,500.0,1.0,7.5,2011,39664.0,2.27025
RETAIL PHARMACY,AL,DALE,9193,6.0539999999999985,1000.0,1.0,10.0,2009,6187.0,6.0539999999999985
RETAIL PHARMACY,AL,DALE,9193,4.5405,1000.0,1.0,7.5,2009,6187.0,4.5405
RETAIL PHARMACY,AL,DALE,9193,9.081,1500.0,1.0,10.0,2009,6187.0,9.081
RETAIL PHARMACY,AL,DALE,9193,0.136215,30.0,1.0,7.5,2010,6720.0,0.136215
RETAIL PHARMACY,AL,DALE,9193,6.0539999999999985,1000.0,1.0,10.0,2010,6720.0,6.0539999999999985
RETAIL PHARMACY,AL,DALE,9193,6.81075,1500.0,1.0,7.5,2011,6945.0,6.81075
RETAIL PHARMACY,AL,DALE,9193,2.27025,500.0,1.0,7.5,2011,6945.0,2.27025
RETAIL PHARMACY,AL,DALE,9193,1.5135,500.0,1.0,5.0,2011,6945.0,1.5135
RETAIL PHARMACY,AL,DALE,9193,6.0539999999999985,1000.0,1.0,10.0,2011,6945.0,6.0539999999999985
