BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,AR,SEBASTIAN,9143,43.032,600.0,1.5,80.0,2006,18719.0,64.548
RETAIL PHARMACY,AR,CLARK,9193,0.9081,200.0,1.0,7.5,2007,3241.0,0.9081
RETAIL PHARMACY,AR,IZARD,9143,14.344,200.0,1.5,80.0,2006,1688.0,21.516
PRACTITIONER,AR,CRAWFORD,9193,0.45405,100.0,1.0,7.5,2008,13845.0,0.45405
PRACTITIONER,AR,CRAWFORD,9193,0.45405,100.0,1.0,7.5,2009,15804.0,0.45405
RETAIL PHARMACY,AR,WASHINGTON,9193,1.5135,500.0,1.0,5.0,2012,27154.0,1.5135
RETAIL PHARMACY,AR,WASHINGTON,9143,0.8965,100.0,1.5,10.0,2012,33156.0,1.34475
RETAIL PHARMACY,AR,WASHINGTON,9143,3.5860000000000003,200.0,1.5,20.0,2012,33156.0,5.3790000000000004
RETAIL PHARMACY,AR,WASHINGTON,9143,1.793,100.0,1.5,20.0,2012,33156.0,2.6895
RETAIL PHARMACY,AR,WASHINGTON,9193,3.027,500.0,1.0,10.0,2012,27154.0,3.027
RETAIL PHARMACY,AR,WASHINGTON,9193,2.27025,500.0,1.0,7.5,2012,27154.0,2.27025
RETAIL PHARMACY,AR,WASHINGTON,9193,0.3027,100.0,1.0,5.0,2012,27154.0,0.3027
RETAIL PHARMACY,AR,WASHINGTON,9193,0.45405,100.0,1.0,7.5,2012,27154.0,0.45405
RETAIL PHARMACY,AR,WASHINGTON,9143,2.6895,200.0,1.5,15.0,2012,33156.0,4.03425
RETAIL PHARMACY,AR,WASHINGTON,9143,4.4825,500.0,1.5,10.0,2012,33156.0,6.72375
RETAIL PHARMACY,AR,WASHINGTON,9143,10.758,400.0,1.5,30.0,2012,33156.0,16.137
RETAIL PHARMACY,AR,WASHINGTON,9143,5.379,200.0,1.5,30.0,2012,33156.0,8.0685
RETAIL PHARMACY,AR,WASHINGTON,9193,0.15135,100.0,1.0,2.5,2012,27154.0,0.15135
RETAIL PHARMACY,AR,WASHINGTON,9193,0.6054,200.0,1.0,5.0,2012,27154.0,0.6054
RETAIL PHARMACY,AR,WASHINGTON,9193,0.9081,300.0,1.0,5.0,2012,27154.0,0.9081
RETAIL PHARMACY,AR,WASHINGTON,9193,1.2108,400.0,1.0,5.0,2012,27154.0,1.2108
RETAIL PHARMACY,AR,GREENE,9193,1.8162,400.0,1.0,7.5,2006,5547.0,1.8162
RETAIL PHARMACY,AR,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,2006,5547.0,6.0539999999999985
RETAIL PHARMACY,AR,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,2007,8045.0,6.0539999999999985
RETAIL PHARMACY,AR,GREENE,9193,3.027,500.0,1.0,10.0,2007,8045.0,3.027
RETAIL PHARMACY,AR,GREENE,9193,1.5135,500.0,1.0,5.0,2007,8045.0,1.5135
RETAIL PHARMACY,AR,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,2008,9678.0,6.0539999999999985
RETAIL PHARMACY,AR,CARROLL,9193,3.027,500.0,1.0,10.0,2010,4774.0,3.027
RETAIL PHARMACY,AR,CARROLL,9193,6.0539999999999985,1000.0,1.0,10.0,2011,4969.0,6.0539999999999985
RETAIL PHARMACY,AR,CARROLL,9143,5.379,400.0,1.5,15.0,2011,7034.0,8.0685
RETAIL PHARMACY,AR,CARROLL,9143,8.0685,300.0,1.5,30.0,2011,7034.0,12.10275
RETAIL PHARMACY,AR,CARROLL,9143,1.34475,200.0,1.5,7.5,2012,7590.0,2.017125
RETAIL PHARMACY,AR,CARROLL,9143,1.793,400.0,1.5,5.0,2012,7590.0,2.6895
RETAIL PHARMACY,AR,CARROLL,9143,7.1720000000000015,800.0,1.5,10.0,2012,7590.0,10.758000000000003
RETAIL PHARMACY,AR,CARROLL,9193,0.45405,100.0,1.0,7.5,2011,4969.0,0.45405
RETAIL PHARMACY,AR,CARROLL,9143,0.8965,200.0,1.5,5.0,2011,7034.0,1.34475
RETAIL PHARMACY,AR,CARROLL,9193,3.027,500.0,1.0,10.0,2011,4969.0,3.027
