BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,AZ,MARICOPA,9193,0.12108,40.0,1.0,5.0,2009,315046.0,0.12108
PRACTITIONER,AZ,MARICOPA,9193,3.6324,1200.0,1.0,5.0,2008,288832.0,3.6324
PRACTITIONER,AZ,MARICOPA,9193,2.7243,600.0,1.0,7.5,2009,315046.0,2.7243
PRACTITIONER,AZ,MARICOPA,9193,0.9081,300.0,1.0,5.0,2009,315046.0,0.9081
PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,2010,329271.0,1.8162
PRACTITIONER,AZ,MARICOPA,9193,0.227025,75.0,1.0,5.0,2007,257736.0,0.227025
PRACTITIONER,AZ,MARICOPA,9193,0.45405,150.0,1.0,5.0,2008,288832.0,0.45405
PRACTITIONER,AZ,MARICOPA,9193,0.45405,150.0,1.0,5.0,2012,374959.0,0.45405
PRACTITIONER-DW/275,AZ,MARICOPA,9193,0.6054,200.0,1.0,5.0,2012,374959.0,0.6054
PRACTITIONER,AZ,MARICOPA,9193,1.36215,300.0,1.0,7.5,2008,288832.0,1.36215
PRACTITIONER,AZ,MARICOPA,9193,3.6324,1200.0,1.0,5.0,2007,257736.0,3.6324
PRACTITIONER,AZ,MARICOPA,9193,1.8162,600.0,1.0,5.0,2008,288832.0,1.8162
PRACTITIONER,AZ,MARICOPA,9193,1.36215,300.0,1.0,7.5,2012,374959.0,1.36215
PRACTITIONER-DW/275,AZ,MARICOPA,9193,0.6054,200.0,1.0,5.0,2011,370563.0,0.6054
RETAIL PHARMACY,AZ,MARICOPA,9193,0.072648,24.0,1.0,5.0,2009,315046.0,0.072648
RETAIL PHARMACY,AZ,MARICOPA,9193,0.054486,18.0,1.0,5.0,2010,329271.0,0.054486
RETAIL PHARMACY,AZ,MARICOPA,9193,0.408645,90.0,1.0,7.5,2010,329271.0,0.408645
