BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
PRACTITIONER,CO,PUEBLO,9193,0.45405,150.0,1.0,5.0,2009,36042.0,0.45405
RETAIL PHARMACY,CO,EL PASO,9193,0.9081,200.0,1.0,7.5,2006,37462.0,0.9081
RETAIL PHARMACY,CO,EL PASO,9193,0.6054,200.0,1.0,5.0,2006,37462.0,0.6054
PRACTITIONER,CO,JEFFERSON,9193,0.6054,200.0,1.0,5.0,2007,37366.0,0.6054
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,1.5,5.0,2006,40572.0,2.017125
CHAIN PHARMACY,CO,ARAPAHOE,9143,4.03425,300.0,1.5,15.0,2006,40572.0,6.051375
CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,300.0,1.5,10.0,2006,40572.0,4.03425
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,200.0,1.5,10.0,2007,48337.0,2.6895
CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,600.0,1.5,5.0,2007,48337.0,4.03425
CHAIN PHARMACY,CO,ARAPAHOE,9143,7.1720000000000015,200.0,1.5,40.0,2007,48337.0,10.758000000000003
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,1.5,5.0,2007,48337.0,2.017125
CHAIN PHARMACY,CO,ARAPAHOE,9143,0.8965,200.0,1.5,5.0,2008,55837.0,1.34475
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,100.0,1.5,20.0,2008,55837.0,2.6895
CHAIN PHARMACY,CO,ARAPAHOE,9193,0.6054,100.0,1.0,10.0,2008,35861.0,0.6054
CHAIN PHARMACY,CO,ARAPAHOE,9143,7.1720000000000015,200.0,1.5,40.0,2008,55837.0,10.758000000000003
CHAIN PHARMACY,CO,ARAPAHOE,9193,0.45405,100.0,1.0,7.5,2008,35861.0,0.45405
CHAIN PHARMACY,CO,ARAPAHOE,9193,2.27025,500.0,1.0,7.5,2008,35861.0,2.27025
CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,600.0,1.5,5.0,2008,55837.0,4.03425
CHAIN PHARMACY,CO,ARAPAHOE,9193,0.3027,100.0,1.0,5.0,2008,35861.0,0.3027
CHAIN PHARMACY,CO,ARAPAHOE,9143,5.379,400.0,1.5,15.0,2008,55837.0,8.0685
CHAIN PHARMACY,CO,ARAPAHOE,9143,3.5860000000000003,100.0,1.5,40.0,2008,55837.0,5.3790000000000004
CHAIN PHARMACY,CO,ARAPAHOE,9193,3.027,500.0,1.0,10.0,2008,35861.0,3.027
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,100.0,1.5,15.0,2008,55837.0,2.017125
CHAIN PHARMACY,CO,ARAPAHOE,9193,0.45405,100.0,1.0,7.5,2009,38389.0,0.45405
CHAIN PHARMACY,CO,ARAPAHOE,9143,2.24125,500.0,1.5,5.0,2009,61142.0,3.361875
CHAIN PHARMACY,CO,ARAPAHOE,9143,2.6895,200.0,1.5,15.0,2009,61142.0,4.03425
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.34475,300.0,1.5,5.0,2009,61142.0,2.017125
CHAIN PHARMACY,CO,ARAPAHOE,9143,1.793,200.0,1.5,10.0,2009,61142.0,2.6895
CHAIN PHARMACY,CO,ARAPAHOE,9193,1.2108,200.0,1.0,10.0,2009,38389.0,1.2108
CHAIN PHARMACY,CO,ARAPAHOE,9193,1.5135,500.0,1.0,5.0,2009,38389.0,1.5135
CHAIN PHARMACY,CO,ARAPAHOE,9193,0.6054,100.0,1.0,10.0,2009,38389.0,0.6054
