BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,CT,FAIRFIELD,9193,0.6054,100.0,1.0,10.0,2008,28471.0,0.6054
RETAIL PHARMACY,CT,FAIRFIELD,9143,18.8265,700.0,1.5,30.0,2010,124500.0,28.23975
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,300.0,1.5,5.0,2010,124500.0,2.017125
RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,500.0,1.5,30.0,2011,139689.0,20.17125
RETAIL PHARMACY,CT,FAIRFIELD,9143,8.0685,300.0,1.5,30.0,2011,139689.0,12.10275
RETAIL PHARMACY,CT,FAIRFIELD,9143,2.24125,500.0,1.5,5.0,2012,145206.0,3.361875
RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,500.0,1.5,30.0,2012,145206.0,20.17125
RETAIL PHARMACY,CT,HARTFORD,9193,0.45405,100.0,1.0,7.5,2009,38285.0,0.45405
RETAIL PHARMACY,CT,HARTFORD,9193,1.5135,500.0,1.0,5.0,2009,38285.0,1.5135
RETAIL PHARMACY,CT,HARTFORD,9193,0.9081,200.0,1.0,7.5,2010,35945.0,0.9081
RETAIL PHARMACY,CT,HARTFORD,9193,0.45405,100.0,1.0,7.5,2012,40573.0,0.45405
RETAIL PHARMACY,CT,FAIRFIELD,9143,3.5860000000000003,100.0,1.5,40.0,2008,103667.0,5.3790000000000004
RETAIL PHARMACY,CT,FAIRFIELD,9143,2.6895,300.0,1.5,10.0,2008,103667.0,4.03425
RETAIL PHARMACY,CT,FAIRFIELD,9143,0.8965,100.0,1.5,10.0,2009,111518.0,1.34475
RETAIL PHARMACY,CT,LITCHFIELD,9193,0.9081,300.0,1.0,5.0,2008,13067.0,0.9081
RETAIL PHARMACY,CT,LITCHFIELD,9143,1.793,200.0,1.5,10.0,2012,34092.0,2.6895
RETAIL PHARMACY,CT,FAIRFIELD,9143,14.344,200.0,1.5,80.0,2007,107057.0,21.516
RETAIL PHARMACY,CT,FAIRFIELD,9193,3.027,500.0,1.0,10.0,2008,28471.0,3.027
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,200.0,1.5,10.0,2008,103667.0,2.6895
RETAIL PHARMACY,CT,FAIRFIELD,9143,21.516,300.0,1.5,80.0,2008,103667.0,32.274
RETAIL PHARMACY,CT,FAIRFIELD,9143,4.4825,500.0,1.5,10.0,2008,103667.0,6.72375
RETAIL PHARMACY,CT,FAIRFIELD,9143,8.0685,300.0,1.5,30.0,2009,111518.0,12.10275
RETAIL PHARMACY,CT,FAIRFIELD,9143,21.516,300.0,1.5,80.0,2009,111518.0,32.274
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,100.0,1.5,20.0,2009,111518.0,2.6895
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.34475,200.0,1.5,7.5,2009,111518.0,2.017125
RETAIL PHARMACY,CT,FAIRFIELD,9143,5.379,100.0,1.5,60.0,2009,111518.0,8.0685
RETAIL PHARMACY,CT,FAIRFIELD,9143,14.344,200.0,1.5,80.0,2009,111518.0,21.516
RETAIL PHARMACY,CT,FAIRFIELD,9143,10.758,1200.0,1.5,10.0,2010,124500.0,16.137
RETAIL PHARMACY,CT,FAIRFIELD,9143,16.137,1200.0,1.5,15.0,2010,124500.0,24.2055
RETAIL PHARMACY,CT,FAIRFIELD,9143,5.379,100.0,1.5,60.0,2010,124500.0,8.0685
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,200.0,1.5,10.0,2010,124500.0,2.6895
RETAIL PHARMACY,CT,FAIRFIELD,9143,13.4475,1000.0,1.5,15.0,2010,124500.0,20.17125
RETAIL PHARMACY,CT,FAIRFIELD,9143,26.895,1000.0,1.5,30.0,2010,124500.0,40.3425
RETAIL PHARMACY,CT,FAIRFIELD,9143,10.758,1200.0,1.5,10.0,2011,139689.0,16.137
RETAIL PHARMACY,CT,FAIRFIELD,9143,4.03425,300.0,1.5,15.0,2011,139689.0,6.051375
RETAIL PHARMACY,CT,FAIRFIELD,9143,1.793,100.0,1.5,20.0,2011,139689.0,2.6895
RETAIL PHARMACY,CT,FAIRFIELD,9143,71.72,1000.0,1.5,80.0,2011,139689.0,107.58
RETAIL PHARMACY,CT,FAIRFIELD,9143,8.965,1000.0,1.5,10.0,2011,139689.0,13.4475
RETAIL PHARMACY,CT,FAIRFIELD,9143,43.032,600.0,1.5,80.0,2011,139689.0,64.548
RETAIL PHARMACY,CT,FAIRFIELD,9143,3.5860000000000003,100.0,1.5,40.0,2011,139689.0,5.3790000000000004
RETAIL PHARMACY,CT,FAIRFIELD,9143,2.24125,500.0,1.5,5.0,2011,139689.0,3.361875
RETAIL PHARMACY,CT,FAIRFIELD,9143,2.6895,100.0,1.5,30.0,2011,139689.0,4.03425
RETAIL PHARMACY,CT,FAIRFIELD,9143,5.379,100.0,1.5,60.0,2011,139689.0,8.0685
RETAIL PHARMACY,CT,FAIRFIELD,9143,20.17125,1500.0,1.5,15.0,2011,139689.0,30.256875
