BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,DE,SUSSEX,9143,4.03425,300.0,1.5,15.0,2006,47232.0,6.051375
RETAIL PHARMACY,DE,NEW CASTLE,9193,0.6054,100.0,1.0,10.0,2006,25049.0,0.6054
RETAIL PHARMACY,DE,NEW CASTLE,9143,5.379,200.0,1.5,30.0,2006,90061.0,8.0685
RETAIL PHARMACY,DE,NEW CASTLE,9143,2.6895,300.0,1.5,10.0,2006,90061.0,4.03425
RETAIL PHARMACY,DE,NEW CASTLE,9143,8.964,2000.0,1.5,5.0,2006,90061.0,13.446000000000002
RETAIL PHARMACY,DE,NEW CASTLE,9143,10.758,1200.0,1.5,10.0,2006,90061.0,16.137
RETAIL PHARMACY,DE,NEW CASTLE,9143,0.672375,100.0,1.5,7.5,2006,90061.0,1.0085625
RETAIL PHARMACY,DE,NEW CASTLE,9143,4.482,1000.0,1.5,5.0,2006,90061.0,6.723000000000001
RETAIL PHARMACY,DE,NEW CASTLE,9143,8.0685,1200.0,1.5,7.5,2006,90061.0,12.10275
RETAIL PHARMACY,DE,NEW CASTLE,9143,6.72375,1000.0,1.5,7.5,2007,106134.0,10.085625
RETAIL PHARMACY,DE,NEW CASTLE,9143,2.6895,200.0,1.5,15.0,2007,106134.0,4.03425
RETAIL PHARMACY,DE,NEW CASTLE,9143,1.793,200.0,1.5,10.0,2008,132729.0,2.6895
RETAIL PHARMACY,DE,NEW CASTLE,9193,0.45405,100.0,1.0,7.5,2008,25259.0,0.45405
RETAIL PHARMACY,DE,NEW CASTLE,9193,0.6054,200.0,1.0,5.0,2008,25259.0,0.6054
RETAIL PHARMACY,DE,NEW CASTLE,9143,2.6895,600.0,1.5,5.0,2008,132729.0,4.03425
RETAIL PHARMACY,DE,NEW CASTLE,9143,3.5860000000000003,400.0,1.5,10.0,2008,132729.0,5.3790000000000004
RETAIL PHARMACY,DE,NEW CASTLE,9193,0.136215,30.0,1.0,7.5,2008,25259.0,0.136215
RETAIL PHARMACY,DE,NEW CASTLE,9143,0.8965,100.0,1.5,10.0,2008,132729.0,1.34475
RETAIL PHARMACY,DE,NEW CASTLE,9143,5.379,600.0,1.5,10.0,2008,132729.0,8.0685
RETAIL PHARMACY,DE,KENT,9143,5.379,1200.0,1.5,5.0,2008,36916.0,8.0685
RETAIL PHARMACY,DE,KENT,9143,3.5860000000000003,200.0,1.5,20.0,2008,36916.0,5.3790000000000004
CHAIN PHARMACY,DE,NEW CASTLE,9143,2.24125,500.0,1.5,5.0,2008,132729.0,3.361875
CHAIN PHARMACY,DE,NEW CASTLE,9143,4.4825,1000.0,1.5,5.0,2008,132729.0,6.72375
CHAIN PHARMACY,DE,NEW CASTLE,9143,7.1720000000000015,100.0,1.5,80.0,2008,132729.0,10.758000000000003
CHAIN PHARMACY,DE,SUSSEX,9143,4.03425,300.0,1.5,15.0,2008,76033.0,6.051375
CHAIN PHARMACY,DE,SUSSEX,9143,0.8965,100.0,1.5,10.0,2008,76033.0,1.34475
CHAIN PHARMACY,DE,NEW CASTLE,9193,0.9081,200.0,1.0,7.5,2008,25259.0,0.9081
CHAIN PHARMACY,DE,NEW CASTLE,9143,0.44825,100.0,1.5,5.0,2008,132729.0,0.672375
CHAIN PHARMACY,DE,NEW CASTLE,9143,10.758,600.0,1.5,20.0,2008,132729.0,16.137
CHAIN PHARMACY,DE,NEW CASTLE,9143,0.224125,100.0,1.5,2.5,2008,132729.0,0.3361875
CHAIN PHARMACY,DE,NEW CASTLE,9143,0.672375,100.0,1.5,7.5,2008,132729.0,1.0085625
CHAIN PHARMACY,DE,SUSSEX,9143,0.44825,100.0,1.5,5.0,2008,76033.0,0.672375
CHAIN PHARMACY,DE,SUSSEX,9143,1.793,200.0,1.5,10.0,2008,76033.0,2.6895
CHAIN PHARMACY,DE,KENT,9143,0.672375,100.0,1.5,7.5,2008,36916.0,1.0085625
CHAIN PHARMACY,DE,SUSSEX,9143,21.516,300.0,1.5,80.0,2008,76033.0,32.274
CHAIN PHARMACY,DE,SUSSEX,9143,8.965,500.0,1.5,20.0,2008,76033.0,13.4475
CHAIN PHARMACY,DE,SUSSEX,9143,0.8964,100.0,1.5,10.0,2008,76033.0,1.3446
CHAIN PHARMACY,DE,SUSSEX,9143,16.137,300.0,1.5,60.0,2008,76033.0,24.2055
CHAIN PHARMACY,DE,SUSSEX,9143,14.344,400.0,1.5,40.0,2008,76033.0,21.516
CHAIN PHARMACY,DE,SUSSEX,9143,5.82725,1300.0,1.5,5.0,2008,76033.0,8.740875
CHAIN PHARMACY,DE,KENT,9143,0.8965,100.0,1.5,10.0,2008,36916.0,1.34475
CHAIN PHARMACY,DE,KENT,9143,1.34475,200.0,1.5,7.5,2008,36916.0,2.017125
CHAIN PHARMACY,DE,SUSSEX,9143,7.1720000000000015,100.0,1.5,80.0,2007,60471.0,10.758000000000003
CHAIN PHARMACY,DE,SUSSEX,9193,1.2108,200.0,1.0,10.0,2008,11547.0,1.2108
CHAIN PHARMACY,DE,NEW CASTLE,9143,1.34475,100.0,1.5,15.0,2008,132729.0,2.017125
CHAIN PHARMACY,DE,NEW CASTLE,9143,14.344,200.0,1.5,80.0,2008,132729.0,21.516
CHAIN PHARMACY,DE,NEW CASTLE,9143,40.3425,1500.0,1.5,30.0,2008,132729.0,60.51375
CHAIN PHARMACY,DE,KENT,9143,2.6895,300.0,1.5,10.0,2008,36916.0,4.03425
CHAIN PHARMACY,DE,KENT,9143,1.793,200.0,1.5,10.0,2008,36916.0,2.6895
CHAIN PHARMACY,DE,NEW CASTLE,9143,0.2241,100.0,1.5,2.5,2008,132729.0,0.33615
CHAIN PHARMACY,DE,NEW CASTLE,9143,0.8964,100.0,1.5,10.0,2008,132729.0,1.3446
CHAIN PHARMACY,DE,NEW CASTLE,9143,5.379,600.0,1.5,10.0,2007,106134.0,8.0685
CHAIN PHARMACY,DE,NEW CASTLE,9193,2.27025,500.0,1.0,7.5,2008,25259.0,2.27025
CHAIN PHARMACY,DE,NEW CASTLE,9143,8.965,500.0,1.5,20.0,2008,132729.0,13.4475
CHAIN PHARMACY,DE,SUSSEX,9143,12.10275,900.0,1.5,15.0,2008,76033.0,18.154125
CHAIN PHARMACY,DE,SUSSEX,9143,8.0685,300.0,1.5,30.0,2008,76033.0,12.10275
CHAIN PHARMACY,DE,SUSSEX,9193,0.45405,100.0,1.0,7.5,2008,11547.0,0.45405
CHAIN PHARMACY,DE,SUSSEX,9143,5.379,200.0,1.5,30.0,2008,76033.0,8.0685
CHAIN PHARMACY,DE,NEW CASTLE,9143,3.361875,500.0,1.5,7.5,2008,132729.0,5.0428125
RETAIL PHARMACY,DE,SUSSEX,9143,2.24125,500.0,1.5,5.0,2008,76033.0,3.361875
RETAIL PHARMACY,DE,SUSSEX,9143,1.34475,200.0,1.5,7.5,2008,76033.0,2.017125
RETAIL PHARMACY,DE,SUSSEX,9143,2.6895,300.0,1.5,10.0,2008,76033.0,4.03425
RETAIL PHARMACY,DE,KENT,9193,3.027,500.0,1.0,10.0,2008,7490.0,3.027
CHAIN PHARMACY,DE,SUSSEX,9143,0.672375,100.0,1.5,7.5,2008,76033.0,1.0085625
CHAIN PHARMACY,DE,SUSSEX,9143,3.5860000000000003,100.0,1.5,40.0,2008,76033.0,5.3790000000000004
CHAIN PHARMACY,DE,SUSSEX,9143,28.688,400.0,1.5,80.0,2008,76033.0,43.032
CHAIN PHARMACY,DE,SUSSEX,9143,7.1720000000000015,100.0,1.5,80.0,2008,76033.0,10.758000000000003
CHAIN PHARMACY,DE,SUSSEX,9143,32.274,1200.0,1.5,30.0,2008,76033.0,48.411
CHAIN PHARMACY,DE,NEW CASTLE,9143,13.4475,500.0,1.5,30.0,2008,132729.0,20.17125
CHAIN PHARMACY,DE,NEW CASTLE,9143,16.137,600.0,1.5,30.0,2008,132729.0,24.2055
RETAIL PHARMACY,DE,NEW CASTLE,9143,4.03425,300.0,1.5,15.0,2008,132729.0,6.051375
RETAIL PHARMACY,DE,SUSSEX,9193,2.27025,500.0,1.0,7.5,2008,11547.0,2.27025
RETAIL PHARMACY,DE,SUSSEX,9193,0.9081,200.0,1.0,7.5,2008,11547.0,0.9081
RETAIL PHARMACY,DE,SUSSEX,9193,0.6054,100.0,1.0,10.0,2008,11547.0,0.6054
CHAIN PHARMACY,DE,KENT,9143,0.44825,100.0,1.5,5.0,2008,36916.0,0.672375
RETAIL PHARMACY,DE,SUSSEX,9143,0.44825,100.0,1.5,5.0,2009,85590.0,0.672375
RETAIL PHARMACY,DE,SUSSEX,9143,1.793,200.0,1.5,10.0,2009,85590.0,2.6895
RETAIL PHARMACY,DE,SUSSEX,9143,3.5860000000000003,100.0,1.5,40.0,2009,85590.0,5.3790000000000004
RETAIL PHARMACY,DE,SUSSEX,9143,13.4475,500.0,1.5,30.0,2009,85590.0,20.17125
RETAIL PHARMACY,DE,SUSSEX,9193,1.5135,500.0,1.0,5.0,2009,12231.0,1.5135
RETAIL PHARMACY,DE,SUSSEX,9143,26.895,1000.0,1.5,30.0,2010,102652.0,40.3425
RETAIL PHARMACY,DE,SUSSEX,9143,7.1720000000000015,200.0,1.5,40.0,2010,102652.0,10.758000000000003
RETAIL PHARMACY,DE,SUSSEX,9143,2.24125,500.0,1.5,5.0,2010,102652.0,3.361875
RETAIL PHARMACY,DE,SUSSEX,9143,13.4475,1000.0,1.5,15.0,2010,102652.0,20.17125
RETAIL PHARMACY,DE,SUSSEX,9143,3.5860000000000003,100.0,1.5,40.0,2010,102652.0,5.3790000000000004
RETAIL PHARMACY,DE,SUSSEX,9143,2.6895,100.0,1.5,30.0,2010,102652.0,4.03425
RETAIL PHARMACY,DE,SUSSEX,9143,16.137,600.0,1.5,30.0,2010,102652.0,24.2055
RETAIL PHARMACY,DE,SUSSEX,9143,6.72375,1000.0,1.5,7.5,2011,114814.0,10.085625
RETAIL PHARMACY,DE,SUSSEX,9143,5.379,600.0,1.5,10.0,2011,114814.0,8.0685
RETAIL PHARMACY,DE,SUSSEX,9143,2.6895,300.0,1.5,10.0,2006,47232.0,4.03425
RETAIL PHARMACY,DE,SUSSEX,9143,7.1720000000000015,200.0,1.5,40.0,2006,47232.0,10.758000000000003
RETAIL PHARMACY,DE,SUSSEX,9143,3.5860000000000003,100.0,1.5,40.0,2006,47232.0,5.3790000000000004
RETAIL PHARMACY,DE,SUSSEX,9143,0.8965,200.0,1.5,5.0,2007,60471.0,1.34475
RETAIL PHARMACY,DE,SUSSEX,9143,2.6895,300.0,1.5,10.0,2007,60471.0,4.03425
RETAIL PHARMACY,DE,SUSSEX,9143,0.672375,100.0,1.5,7.5,2007,60471.0,1.0085625
CHAIN PHARMACY,DE,SUSSEX,9143,2.6895,300.0,1.5,10.0,2009,85590.0,4.03425
CHAIN PHARMACY,DE,SUSSEX,9143,4.4825,1000.0,1.5,5.0,2010,102652.0,6.72375
CHAIN PHARMACY,DE,SUSSEX,9143,1.793,400.0,1.5,5.0,2010,102652.0,2.6895
CHAIN PHARMACY,DE,SUSSEX,9143,2.24125,500.0,1.5,5.0,2011,114814.0,3.361875
CHAIN PHARMACY,DE,SUSSEX,9143,10.758,400.0,1.5,30.0,2011,114814.0,16.137
CHAIN PHARMACY,DE,SUSSEX,9193,1.2108,200.0,1.0,10.0,2011,14105.0,1.2108
CHAIN PHARMACY,DE,SUSSEX,9193,0.6054,100.0,1.0,10.0,2012,13459.0,0.6054
CHAIN PHARMACY,DE,SUSSEX,9143,6.72375,1000.0,1.5,7.5,2010,102652.0,10.085625
CHAIN PHARMACY,DE,SUSSEX,9143,7.1720000000000015,200.0,1.5,40.0,2011,114814.0,10.758000000000003
CHAIN PHARMACY,DE,SUSSEX,9143,14.344,200.0,1.5,80.0,2011,114814.0,21.516
