BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,HI,HONOLULU,9193,0.6054,100.0,1.0,10.0,2006,36984.0,0.6054
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2006,36984.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,1.0,10.0,2006,36984.0,1.2108
RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,1.0,7.5,2006,36984.0,0.45405
RETAIL PHARMACY,HI,HONOLULU,9143,10.758,600.0,1.5,20.0,2006,41795.0,16.137
RETAIL PHARMACY,HI,HONOLULU,9143,5.379,600.0,1.5,10.0,2006,41795.0,8.0685
PRACTITIONER,HI,MAUI,9143,0.8965,200.0,1.5,5.0,2006,19208.0,1.34475
RETAIL PHARMACY,HI,HONOLULU,9143,2.6895,200.0,1.5,15.0,2006,41795.0,4.03425
RETAIL PHARMACY,HI,HONOLULU,9143,0.4482,100.0,1.5,5.0,2006,41795.0,0.6723
RETAIL PHARMACY,HI,HONOLULU,9143,7.1720000000000015,100.0,1.5,80.0,2006,41795.0,10.758000000000003
RETAIL PHARMACY,HI,HONOLULU,9143,0.672375,100.0,1.5,7.5,2006,41795.0,1.0085625
RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,1.5,5.0,2006,41795.0,1.34475
RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,1.0,7.5,2007,39404.0,0.45405
RETAIL PHARMACY,HI,HONOLULU,9143,1.793,200.0,1.5,10.0,2007,46521.0,2.6895
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2007,39404.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9193,0.6054,100.0,1.0,10.0,2007,39404.0,0.6054
RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,1.5,5.0,2008,51849.0,1.34475
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2008,41873.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,1.0,7.5,2008,41873.0,0.45405
RETAIL PHARMACY,HI,HONOLULU,9143,0.44825,100.0,1.5,5.0,2008,51849.0,0.672375
RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,200.0,1.5,20.0,2006,19433.0,5.3790000000000004
RETAIL PHARMACY,HI,HAWAII,9193,4.5405,1000.0,1.0,7.5,2006,21186.0,4.5405
RETAIL PHARMACY,HI,HAWAII,9143,28.688,400.0,1.5,80.0,2006,19433.0,43.032
RETAIL PHARMACY,HI,HAWAII,9193,24.216,4000.0,1.0,10.0,2006,21186.0,24.216
RETAIL PHARMACY,HI,HAWAII,9143,2.42055,600.0,1.5,,2006,19433.0,3.6308249999999997
RETAIL PHARMACY,HI,HAWAII,9143,3.5860000000000003,400.0,1.5,10.0,2007,21263.0,5.3790000000000004
RETAIL PHARMACY,HI,HAWAII,9193,6.0539999999999985,1000.0,1.0,10.0,2007,22506.0,6.0539999999999985
RETAIL PHARMACY,HI,HAWAII,9143,14.344,400.0,1.5,40.0,2007,21263.0,21.516
RETAIL PHARMACY,HI,HAWAII,9143,1.34475,100.0,1.5,15.0,2007,21263.0,2.017125
RETAIL PHARMACY,HI,HAWAII,9143,25.102,700.0,1.5,40.0,2008,24567.0,37.653
RETAIL PHARMACY,HI,HAWAII,9193,9.081,2000.0,1.0,7.5,2008,24424.0,9.081
RETAIL PHARMACY,HI,HAWAII,9193,3.027,1000.0,1.0,5.0,2008,24424.0,3.027
RETAIL PHARMACY,HI,HAWAII,9193,0.9081,200.0,1.0,7.5,2008,24424.0,0.9081
RETAIL PHARMACY,HI,HONOLULU,9143,1.793,200.0,1.5,10.0,2006,41795.0,2.6895
RETAIL PHARMACY,HI,HONOLULU,9193,3.027,1000.0,1.0,5.0,2006,36984.0,3.027
RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,1.0,7.5,2006,36984.0,2.27025
RETAIL PHARMACY,HI,HONOLULU,9143,3.5860000000000003,100.0,1.5,40.0,2006,41795.0,5.3790000000000004
RETAIL PHARMACY,HI,HONOLULU,9193,1.2108,200.0,1.0,10.0,2007,39404.0,1.2108
RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,1.0,7.5,2007,39404.0,2.27025
RETAIL PHARMACY,HI,HONOLULU,9193,2.4216,400.0,1.0,10.0,2007,39404.0,2.4216
RETAIL PHARMACY,HI,HONOLULU,9193,1.8162,400.0,1.0,7.5,2008,41873.0,1.8162
RETAIL PHARMACY,HI,HONOLULU,9143,3.5860000000000003,800.0,1.5,5.0,2008,51849.0,5.3790000000000004
RETAIL PHARMACY,HI,HONOLULU,9143,2.24125,500.0,1.5,5.0,2009,53836.0,3.361875
RETAIL PHARMACY,HI,HONOLULU,9143,2.6895,400.0,1.5,7.5,2009,53836.0,4.03425
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2010,39088.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9143,2.24125,500.0,1.5,5.0,2010,65281.0,3.361875
RETAIL PHARMACY,HI,HONOLULU,9143,4.4825,1000.0,1.5,5.0,2010,65281.0,6.72375
RETAIL PHARMACY,HI,HONOLULU,9143,3.5860000000000003,400.0,1.5,10.0,2010,65281.0,5.3790000000000004
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2011,41404.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9143,1.793,200.0,1.5,10.0,2011,75055.0,2.6895
RETAIL PHARMACY,HI,HONOLULU,9193,4.5405,1000.0,1.0,7.5,2012,44827.0,4.5405
RETAIL PHARMACY,HI,HONOLULU,9193,0.45405,100.0,1.0,7.5,2012,44827.0,0.45405
RETAIL PHARMACY,HI,HONOLULU,9193,3.027,1000.0,1.0,5.0,2012,44827.0,3.027
RETAIL PHARMACY,HI,HONOLULU,9143,5.379,300.0,1.5,20.0,2012,81847.0,8.0685
RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,1.0,7.5,2008,41873.0,2.27025
RETAIL PHARMACY,HI,HONOLULU,9193,1.5135,500.0,1.0,5.0,2009,40544.0,1.5135
RETAIL PHARMACY,HI,HONOLULU,9143,0.8965,200.0,1.5,5.0,2009,53836.0,1.34475
RETAIL PHARMACY,HI,HONOLULU,9143,1.34475,300.0,1.5,5.0,2011,75055.0,2.017125
RETAIL PHARMACY,HI,HONOLULU,9193,2.27025,500.0,1.0,7.5,2011,41404.0,2.27025
RETAIL PHARMACY,HI,MAUI,9193,0.45405,100.0,1.0,7.5,2006,11345.0,0.45405
RETAIL PHARMACY,HI,MAUI,9193,0.9081,200.0,1.0,7.5,2006,11345.0,0.9081
RETAIL PHARMACY,HI,MAUI,9193,0.3027,100.0,1.0,5.0,2006,11345.0,0.3027
RETAIL PHARMACY,HI,MAUI,9193,1.5135,500.0,1.0,5.0,2006,11345.0,1.5135
RETAIL PHARMACY,HI,MAUI,9143,0.44825,100.0,1.5,5.0,2006,19208.0,0.672375
RETAIL PHARMACY,HI,MAUI,9193,3.027,1000.0,1.0,5.0,2006,11345.0,3.027
RETAIL PHARMACY,HI,MAUI,9193,0.6054,100.0,1.0,10.0,2006,11345.0,0.6054
