BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,IA,CARROLL,9193,4.5405,1500.0,1.0,5.0,2012,2493.0,4.5405
RETAIL PHARMACY,IA,CHICKASAW,9143,1.34475,300.0,1.5,5.0,2007,163.0,2.017125
RETAIL PHARMACY,IA,CHICKASAW,9193,0.3027,100.0,1.0,5.0,2007,354.0,0.3027
RETAIL PHARMACY,IA,CHICKASAW,9143,0.8965,200.0,1.5,5.0,2008,161.0,1.34475
RETAIL PHARMACY,IA,CHICKASAW,9193,0.3027,100.0,1.0,5.0,2009,558.0,0.3027
RETAIL PHARMACY,IA,CHICKASAW,9193,0.45405,100.0,1.0,7.5,2009,558.0,0.45405
RETAIL PHARMACY,IA,WRIGHT,9193,0.45405,100.0,1.0,7.5,2007,702.0,0.45405
RETAIL PHARMACY,IA,WRIGHT,9193,0.6054,100.0,1.0,10.0,2008,948.0,0.6054
RETAIL PHARMACY,IA,WRIGHT,9193,0.3027,100.0,1.0,5.0,2011,1040.0,0.3027
RETAIL PHARMACY,IA,BUTLER,9193,0.3027,100.0,1.0,5.0,2006,324.0,0.3027
RETAIL PHARMACY,IA,BUTLER,9193,0.6054,100.0,1.0,10.0,2006,324.0,0.6054
RETAIL PHARMACY,IA,BUTLER,9193,1.5135,500.0,1.0,5.0,2007,453.0,1.5135
RETAIL PHARMACY,IA,BUTLER,9193,1.5135,500.0,1.0,5.0,2008,531.0,1.5135
RETAIL PHARMACY,IA,BUTLER,9193,0.3027,100.0,1.0,5.0,2008,531.0,0.3027
RETAIL PHARMACY,IA,BUTLER,9143,2.6895,100.0,1.5,30.0,2008,303.0,4.03425
RETAIL PHARMACY,IA,BUTLER,9143,2.6895,200.0,1.5,15.0,2009,337.0,4.03425
RETAIL PHARMACY,IA,BUTLER,9143,0.8965,200.0,1.5,5.0,2011,471.0,1.34475
RETAIL PHARMACY,IA,BUTLER,9143,1.34475,200.0,1.5,7.5,2011,471.0,2.017125
RETAIL PHARMACY,IA,DELAWARE,9193,0.6054,400.0,1.0,2.5,2006,361.0,0.6054
RETAIL PHARMACY,IA,BUTLER,9193,1.2108,200.0,1.0,10.0,2007,453.0,1.2108
