BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,ID,TWIN FALLS,9193,18.162,3000.0,1.0,10.0,2007,10511.0,18.162
RETAIL PHARMACY,ID,TWIN FALLS,9193,4.5405,1000.0,1.0,7.5,2011,14929.0,4.5405
RETAIL PHARMACY,ID,TWIN FALLS,9193,6.0539999999999985,1000.0,1.0,10.0,2012,14186.0,6.0539999999999985
PRACTITIONER,ID,BONNEVILLE,9193,1.2108,200.0,1.0,10.0,2008,13451.0,1.2108
PRACTITIONER,ID,ADA,9193,0.3027,100.0,1.0,5.0,2012,82454.0,0.3027
RETAIL PHARMACY,ID,IDAHO,9143,0.8965,100.0,1.5,10.0,2006,445.0,1.34475
RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,2006,854.0,2.27025
RETAIL PHARMACY,ID,IDAHO,9143,3.5860000000000003,200.0,1.5,20.0,2006,445.0,5.3790000000000004
RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,2006,854.0,3.027
RETAIL PHARMACY,ID,IDAHO,9193,1.5135,500.0,1.0,5.0,2007,1067.0,1.5135
RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,2007,1067.0,2.27025
RETAIL PHARMACY,ID,IDAHO,9193,0.3027,100.0,1.0,5.0,2007,1067.0,0.3027
RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,2007,1067.0,0.45405
RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,2007,1067.0,3.027
RETAIL PHARMACY,ID,IDAHO,9143,3.13775,700.0,1.5,5.0,2007,512.0,4.706625
RETAIL PHARMACY,ID,IDAHO,9143,1.793,100.0,1.5,20.0,2007,512.0,2.6895
RETAIL PHARMACY,ID,IDAHO,9143,2.6895,300.0,1.5,10.0,2007,512.0,4.03425
RETAIL PHARMACY,ID,IDAHO,9193,4.5405,1000.0,1.0,7.5,2007,1067.0,4.5405
RETAIL PHARMACY,ID,IDAHO,9193,2.27025,500.0,1.0,7.5,2008,1004.0,2.27025
RETAIL PHARMACY,ID,IDAHO,9193,0.45405,100.0,1.0,7.5,2008,1004.0,0.45405
RETAIL PHARMACY,ID,IDAHO,9193,6.0539999999999985,1000.0,1.0,10.0,2008,1004.0,6.0539999999999985
RETAIL PHARMACY,ID,IDAHO,9193,3.027,500.0,1.0,10.0,2008,1004.0,3.027
