BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,IL,COOK,9193,0.45405,100.0,1.0,7.5,2006,327759.0,0.45405
RETAIL PHARMACY,IL,COOK,9193,2.27025,500.0,1.0,7.5,2006,327759.0,2.27025
RETAIL PHARMACY,IL,COOK,9193,0.6054,100.0,1.0,10.0,2006,327759.0,0.6054
RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,1.0,5.0,2006,327759.0,0.3027
RETAIL PHARMACY,IL,COOK,9193,1.5135,500.0,1.0,5.0,2007,286382.0,1.5135
RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,1.0,5.0,2007,286382.0,0.3027
RETAIL PHARMACY,IL,COOK,9193,3.027,500.0,1.0,10.0,2006,327759.0,3.027
RETAIL PHARMACY,IL,BUREAU,9193,0.6054,100.0,1.0,10.0,2006,1746.0,0.6054
RETAIL PHARMACY,IL,BUREAU,9193,1.8162,300.0,1.0,10.0,2006,1746.0,1.8162
RETAIL PHARMACY,IL,DUPAGE,9193,0.136215,30.0,1.0,7.5,2009,69079.0,0.136215
RETAIL PHARMACY,IL,DUPAGE,9193,0.3027,100.0,1.0,5.0,2009,69079.0,0.3027
RETAIL PHARMACY,IL,DUPAGE,9193,0.136215,30.0,1.0,7.5,2010,98433.0,0.136215
RETAIL PHARMACY,IL,DUPAGE,9193,3.027,500.0,1.0,10.0,2010,98433.0,3.027
RETAIL PHARMACY,IL,DUPAGE,9193,1.5135,500.0,1.0,5.0,2010,98433.0,1.5135
RETAIL PHARMACY,IL,COOK,9193,2.27025,500.0,1.0,7.5,2010,425631.0,2.27025
RETAIL PHARMACY,IL,MARSHALL,9193,0.45405,100.0,1.0,7.5,2008,833.0,0.45405
RETAIL PHARMACY,IL,DUPAGE,9193,6.0539999999999985,1000.0,1.0,10.0,2011,120452.0,6.0539999999999985
RETAIL PHARMACY,IL,DUPAGE,9193,0.3027,100.0,1.0,5.0,2012,115513.0,0.3027
PRACTITIONER,IL,COOK,9193,0.3027,100.0,1.0,5.0,2009,341321.0,0.3027
PRACTITIONER,IL,LAKE,9193,0.9081,300.0,1.0,5.0,2006,42196.0,0.9081
PRACTITIONER,IL,DUPAGE,9193,0.3027,100.0,1.0,5.0,2007,58029.0,0.3027
PRACTITIONER,IL,ROCK ISLAND,9193,0.3027,100.0,1.0,5.0,2010,10880.0,0.3027
RETAIL PHARMACY,IL,COOK,9193,0.45405,100.0,1.0,7.5,2010,425631.0,0.45405
RETAIL PHARMACY,IL,WILL,9193,0.45405,100.0,1.0,7.5,2008,43823.0,0.45405
RETAIL PHARMACY,IL,WILL,9193,3.027,500.0,1.0,10.0,2008,43823.0,3.027
RETAIL PHARMACY,IL,WILL,9193,1.5135,500.0,1.0,5.0,2008,43823.0,1.5135
RETAIL PHARMACY,IL,WILL,9193,3.027,1000.0,1.0,5.0,2009,46378.0,3.027
RETAIL PHARMACY,IL,WILL,9193,2.27025,500.0,1.0,7.5,2009,46378.0,2.27025
RETAIL PHARMACY,IL,WILL,9193,1.2108,200.0,1.0,10.0,2010,62865.0,1.2108
RETAIL PHARMACY,IL,WILL,9193,18.162,3000.0,1.0,10.0,2011,72695.0,18.162
RETAIL PHARMACY,IL,WILL,9193,2.27025,500.0,1.0,7.5,2011,72695.0,2.27025
RETAIL PHARMACY,IL,WILL,9193,0.9081,300.0,1.0,5.0,2011,72695.0,0.9081
RETAIL PHARMACY,IL,WILL,9193,3.027,500.0,1.0,10.0,2011,72695.0,3.027
RETAIL PHARMACY,IL,WILL,9143,1.793,200.0,1.5,10.0,2011,23534.0,2.6895
RETAIL PHARMACY,IL,WILL,9193,1.2108,200.0,1.0,10.0,2011,72695.0,1.2108
RETAIL PHARMACY,IL,WILL,9193,3.027,1000.0,1.0,5.0,2012,73830.0,3.027
RETAIL PHARMACY,IL,WILL,9193,6.0539999999999985,1000.0,1.0,10.0,2012,73830.0,6.0539999999999985
RETAIL PHARMACY,IL,COOK,9193,0.3027,100.0,1.0,5.0,2008,291182.0,0.3027
