BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,KS,FINNEY,9193,1.5135,500.0,1.0,5.0,2006,1899.0,1.5135
RETAIL PHARMACY,KS,KINGMAN,9143,2.6895,200.0,1.5,15.0,2011,994.0,4.03425
RETAIL PHARMACY,KS,WYANDOTTE,9193,3.027,1000.0,1.0,5.0,2010,13497.0,3.027
RETAIL PHARMACY,KS,WYANDOTTE,9193,4.5405,1000.0,1.0,7.5,2010,13497.0,4.5405
RETAIL PHARMACY,KS,WYANDOTTE,9193,2.27025,500.0,1.0,7.5,2010,13497.0,2.27025
RETAIL PHARMACY,KS,MONTGOMERY,9193,0.9081,200.0,1.0,7.5,2012,8400.0,0.9081
RETAIL PHARMACY,KS,MONTGOMERY,9193,2.27025,500.0,1.0,7.5,2012,8400.0,2.27025
RETAIL PHARMACY,KS,JOHNSON,9193,1.5135,500.0,1.0,5.0,2012,80755.0,1.5135
RETAIL PHARMACY,KS,JOHNSON,9193,2.27025,500.0,1.0,7.5,2012,80755.0,2.27025
RETAIL PHARMACY,KS,JOHNSON,9143,0.672375,100.0,1.5,7.5,2012,67112.0,1.0085625
RETAIL PHARMACY,KS,JOHNSON,9143,1.793,400.0,1.5,5.0,2012,67112.0,2.6895
RETAIL PHARMACY,KS,JOHNSON,9143,1.34475,200.0,1.5,7.5,2012,67112.0,2.017125
RETAIL PHARMACY,KS,JOHNSON,9193,0.3027,100.0,1.0,5.0,2012,80755.0,0.3027
RETAIL PHARMACY,KS,JOHNSON,9143,3.5860000000000003,400.0,1.5,10.0,2012,67112.0,5.3790000000000004
RETAIL PHARMACY,KS,JOHNSON,9143,32.274,1200.0,1.5,30.0,2011,91648.0,48.411
RETAIL PHARMACY,KS,JOHNSON,9143,2.6895,600.0,1.5,5.0,2011,91648.0,4.03425
RETAIL PHARMACY,KS,JOHNSON,9143,7.1720000000000015,100.0,1.5,80.0,2011,91648.0,10.758000000000003
RETAIL PHARMACY,KS,JOHNSON,9143,5.379,300.0,1.5,20.0,2012,67112.0,8.0685
RETAIL PHARMACY,KS,JOHNSON,9143,4.4825,1000.0,1.5,5.0,2012,67112.0,6.72375
RETAIL PHARMACY,KS,JOHNSON,9143,14.344,400.0,1.5,40.0,2012,67112.0,21.516
RETAIL PHARMACY,KS,JOHNSON,9143,7.1720000000000015,100.0,1.5,80.0,2012,67112.0,10.758000000000003
RETAIL PHARMACY,KS,JOHNSON,9143,2.6895,300.0,1.5,10.0,2012,67112.0,4.03425
RETAIL PHARMACY,KS,JOHNSON,9143,8.0685,600.0,1.5,15.0,2012,67112.0,12.10275
RETAIL PHARMACY,KS,JOHNSON,9143,6.2755,700.0,1.5,10.0,2012,67112.0,9.41325
RETAIL PHARMACY,KS,JOHNSON,9143,10.758,200.0,1.5,60.0,2012,67112.0,16.137
RETAIL PHARMACY,KS,JOHNSON,9143,21.516,300.0,1.5,80.0,2012,67112.0,32.274
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2007,7373.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,1.0,7.5,2007,7373.0,0.45405
RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2007,7373.0,2.27025
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2008,8130.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,1000.0,1.0,5.0,2008,8130.0,3.027
RETAIL PHARMACY,KS,DOUGLAS,9193,0.6054,100.0,1.0,10.0,2008,8130.0,0.6054
RETAIL PHARMACY,KS,DOUGLAS,9193,0.9081,200.0,1.0,7.5,2008,8130.0,0.9081
RETAIL PHARMACY,KS,DOUGLAS,9143,3.5860000000000003,100.0,1.5,40.0,2009,7743.0,5.3790000000000004
RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,1.0,7.5,2009,8432.0,0.136215
RETAIL PHARMACY,KS,DOUGLAS,9193,0.6054,200.0,1.0,5.0,2009,8432.0,0.6054
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2009,8432.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2010,9517.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9143,2.6895,100.0,1.5,30.0,2010,9198.0,4.03425
RETAIL PHARMACY,KS,DOUGLAS,9193,0.6054,200.0,1.0,5.0,2010,9517.0,0.6054
RETAIL PHARMACY,KS,DOUGLAS,9143,1.34475,100.0,1.5,15.0,2010,9198.0,2.017125
RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,1.0,10.0,2010,9517.0,3.027
RETAIL PHARMACY,KS,DOUGLAS,9143,0.8965,100.0,1.5,10.0,2010,9198.0,1.34475
RETAIL PHARMACY,KS,DOUGLAS,9193,0.3027,100.0,1.0,5.0,2010,9517.0,0.3027
RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2011,10043.0,2.27025
RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,1.0,7.5,2011,10043.0,0.45405
RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,1.0,7.5,2011,10043.0,0.136215
RETAIL PHARMACY,KS,DOUGLAS,9193,6.0539999999999985,1000.0,1.0,10.0,2011,10043.0,6.0539999999999985
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2011,10043.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9143,0.672375,100.0,1.5,7.5,2011,9965.0,1.0085625
RETAIL PHARMACY,KS,DOUGLAS,9193,0.3027,100.0,1.0,5.0,2011,10043.0,0.3027
RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,1.0,10.0,2011,10043.0,3.027
RETAIL PHARMACY,KS,DOUGLAS,9193,0.45405,100.0,1.0,7.5,2012,9907.0,0.45405
RETAIL PHARMACY,KS,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2012,9907.0,2.27025
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2012,9907.0,1.5135
RETAIL PHARMACY,KS,DOUGLAS,9193,3.027,500.0,1.0,10.0,2012,9907.0,3.027
RETAIL PHARMACY,KS,DOUGLAS,9143,1.793,200.0,1.5,10.0,2012,10624.0,2.6895
RETAIL PHARMACY,KS,CHEROKEE,9193,6.0539999999999985,2000.0,1.0,5.0,2010,3216.0,6.0539999999999985
RETAIL PHARMACY,KS,ATCHISON,9193,9.081,2000.0,1.0,7.5,2008,2342.0,9.081
RETAIL PHARMACY,KS,ATCHISON,9193,0.136215,30.0,1.0,7.5,2009,2646.0,0.136215
RETAIL PHARMACY,KS,ATCHISON,9193,0.6054,100.0,1.0,10.0,2009,2646.0,0.6054
RETAIL PHARMACY,KS,ATCHISON,9143,1.793,200.0,1.5,10.0,2009,2081.0,2.6895
RETAIL PHARMACY,KS,ATCHISON,9193,1.2108,200.0,1.0,10.0,2009,2646.0,1.2108
RETAIL PHARMACY,KS,ATCHISON,9143,0.672375,100.0,1.5,7.5,2009,2081.0,1.0085625
RETAIL PHARMACY,KS,ATCHISON,9143,1.34475,100.0,1.5,15.0,2009,2081.0,2.017125
RETAIL PHARMACY,KS,ATCHISON,9193,2.27025,500.0,1.0,7.5,2009,2646.0,2.27025
RETAIL PHARMACY,KS,ATCHISON,9143,7.1720000000000015,100.0,1.5,80.0,2009,2081.0,10.758000000000003
RETAIL PHARMACY,KS,ATCHISON,9143,5.379,100.0,1.5,60.0,2009,2081.0,8.0685
RETAIL PHARMACY,KS,ATCHISON,9193,6.0539999999999985,1000.0,1.0,10.0,2009,2646.0,6.0539999999999985
RETAIL PHARMACY,KS,ATCHISON,9193,1.36215,300.0,1.0,7.5,2009,2646.0,1.36215
RETAIL PHARMACY,KS,ATCHISON,9143,1.793,200.0,1.5,10.0,2010,2118.0,2.6895
RETAIL PHARMACY,KS,ATCHISON,9193,3.027,500.0,1.0,10.0,2010,3062.0,3.027
RETAIL PHARMACY,KS,ATCHISON,9143,0.8965,100.0,1.5,10.0,2010,2118.0,1.34475
PRACTITIONER,KS,SEDGWICK,9193,0.3027,100.0,1.0,5.0,2006,63291.0,0.3027
RETAIL PHARMACY,KS,DOUGLAS,9193,0.136215,30.0,1.0,7.5,2006,6323.0,0.136215
RETAIL PHARMACY,KS,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2006,6323.0,1.5135
PRACTITIONER,KS,CRAWFORD,9193,0.6054,200.0,1.0,5.0,2006,5025.0,0.6054
PRACTITIONER,KS,CRAWFORD,9193,1.2108,400.0,1.0,5.0,2006,5025.0,1.2108
PRACTITIONER,KS,DOUGLAS,9193,0.6054,200.0,1.0,5.0,2006,6323.0,0.6054
PRACTITIONER,KS,DOUGLAS,9193,0.3027,100.0,1.0,5.0,2007,7373.0,0.3027
PRACTITIONER,KS,DOUGLAS,9193,0.3027,100.0,1.0,5.0,2008,8130.0,0.3027
PRACTITIONER,KS,DOUGLAS,9193,0.9081,200.0,1.0,7.5,2009,8432.0,0.9081
PRACTITIONER,KS,JOHNSON,9193,2.17944,480.0,1.0,7.5,2007,47082.0,2.17944
PRACTITIONER,KS,JOHNSON,9193,3.26916,720.0,1.0,7.5,2007,47082.0,3.26916
PRACTITIONER,KS,DOUGLAS,9193,1.2108,400.0,1.0,5.0,2011,10043.0,1.2108
PRACTITIONER,KS,DOUGLAS,9193,1.8162,600.0,1.0,5.0,2012,9907.0,1.8162
RETAIL PHARMACY,KS,SALINE,9143,1.793,100.0,1.5,20.0,2009,4595.0,2.6895
RETAIL PHARMACY,KS,BOURBON,9143,0.44825,100.0,1.5,5.0,2012,2664.0,0.672375
RETAIL PHARMACY,KS,HARPER,9193,3.027,1000.0,1.0,5.0,2009,330.0,3.027
RETAIL PHARMACY,KS,FRANKLIN,9193,6.0539999999999985,1000.0,1.0,10.0,2011,4555.0,6.0539999999999985
RETAIL PHARMACY,KS,FRANKLIN,9193,3.027,1000.0,1.0,5.0,2011,4555.0,3.027
RETAIL PHARMACY,KS,BOURBON,9193,3.027,500.0,1.0,10.0,2011,2976.0,3.027
RETAIL PHARMACY,KS,JOHNSON,9193,3.027,500.0,1.0,10.0,2009,70036.0,3.027
RETAIL PHARMACY,KS,JOHNSON,9143,7.1720000000000015,400.0,1.5,20.0,2009,53598.0,10.758000000000003
RETAIL PHARMACY,KS,MIAMI,9193,4.5405,1500.0,1.0,5.0,2012,3599.0,4.5405
RETAIL PHARMACY,KS,MIAMI,9143,6.72375,500.0,1.5,15.0,2012,3898.0,10.085625
RETAIL PHARMACY,KS,JOHNSON,9193,6.0539999999999985,1000.0,1.0,10.0,2011,92770.0,6.0539999999999985
RETAIL PHARMACY,KS,FORD,9143,3.5860000000000003,100.0,1.5,40.0,2009,3180.0,5.3790000000000004
PRACTITIONER-DW/30,KS,JOHNSON,9193,0.09081,30.0,1.0,5.0,2006,33945.0,0.09081
PRACTITIONER,KS,SHAWNEE,9193,0.36324,120.0,1.0,5.0,2006,11349.0,0.36324
PRACTITIONER,KS,SHAWNEE,9193,0.09081,30.0,1.0,5.0,2008,16735.0,0.09081
PRACTITIONER,KS,ELLSWORTH,9193,0.27243,90.0,1.0,5.0,2007,447.0,0.27243
PRACTITIONER,KS,SEDGWICK,9193,0.27243,90.0,1.0,5.0,2008,65764.0,0.27243
PRACTITIONER,KS,SEDGWICK,9193,0.72648,240.0,1.0,5.0,2008,65764.0,0.72648
PRACTITIONER,KS,DOUGLAS,9193,0.18162,60.0,1.0,5.0,2009,8432.0,0.18162
RETAIL PHARMACY,KS,OSAGE,9193,1.5135,500.0,1.0,5.0,2006,662.0,1.5135
RETAIL PHARMACY,KS,OSAGE,9193,0.6054,100.0,1.0,10.0,2006,662.0,0.6054
RETAIL PHARMACY,KS,OSAGE,9193,1.5135,500.0,1.0,5.0,2007,678.0,1.5135
RETAIL PHARMACY,KS,SEDGWICK,9193,2.4216,400.0,1.0,10.0,2009,82141.0,2.4216
PRACTITIONER,KS,JOHNSON,9193,0.6054,200.0,1.0,5.0,2008,75372.0,0.6054
PRACTITIONER,KS,BROWN,9193,3.027,500.0,1.0,10.0,2006,985.0,3.027
PRACTITIONER,KS,MORTON,9193,0.6054,200.0,1.0,5.0,2006,143.0,0.6054
RETAIL PHARMACY,KS,OSAGE,9193,2.27025,500.0,1.0,7.5,2010,583.0,2.27025
RETAIL PHARMACY,KS,OSAGE,9193,1.5135,500.0,1.0,5.0,2011,601.0,1.5135
RETAIL PHARMACY,KS,SEDGWICK,9193,3.027,500.0,1.0,10.0,2010,88073.0,3.027
RETAIL PHARMACY,KS,BROWN,9193,1.2108,200.0,1.0,10.0,2007,1180.0,1.2108
RETAIL PHARMACY,KS,BROWN,9143,2.017125,300.0,1.5,7.5,2007,1404.0,3.0256875
RETAIL PHARMACY,KS,MONTGOMERY,9193,1.5135,500.0,1.0,5.0,2008,7844.0,1.5135
RETAIL PHARMACY,KS,COWLEY,9193,1.5135,500.0,1.0,5.0,2008,4821.0,1.5135
RETAIL PHARMACY,KS,BUTLER,9193,3.027,1000.0,1.0,5.0,2007,9914.0,3.027
RETAIL PHARMACY,KS,WYANDOTTE,9143,0.44825,100.0,1.5,5.0,2010,18496.0,0.672375
RETAIL PHARMACY,KS,WYANDOTTE,9193,3.027,1000.0,1.0,5.0,2007,10394.0,3.027
RETAIL PHARMACY,KS,WYANDOTTE,9193,6.81075,1500.0,1.0,7.5,2008,12454.0,6.81075
RETAIL PHARMACY,KS,BROWN,9143,14.344,200.0,1.5,80.0,2009,1944.0,21.516
RETAIL PHARMACY,KS,BROWN,9143,10.758,200.0,1.5,60.0,2009,1944.0,16.137
RETAIL PHARMACY,KS,BROWN,9143,2.6895,300.0,1.5,10.0,2009,1944.0,4.03425
RETAIL PHARMACY,KS,BROWN,9143,2.24125,500.0,1.5,5.0,2009,1944.0,3.361875
RETAIL PHARMACY,KS,BROWN,9193,1.5135,500.0,1.0,5.0,2009,1467.0,1.5135
PRACTITIONER,KS,SEDGWICK,9143,3.1764,60.0,1.5,100.0,2012,72723.0,4.7646
PRACTITIONER,KS,JOHNSON,9193,1.8162,200.0,1.0,15.0,2011,92770.0,1.8162
PRACTITIONER,KS,JOHNSON,9143,4.3032,240.0,1.5,20.0,2011,91648.0,6.4548000000000005
PRACTITIONER-DW/100,KS,JOHNSON,9143,0.10758,6.0,1.5,20.0,2011,91648.0,0.16136999999999999
RETAIL PHARMACY,KS,SEDGWICK,9193,6.0539999999999985,1000.0,1.0,10.0,2008,65764.0,6.0539999999999985
RETAIL PHARMACY,KS,WYANDOTTE,9193,3.027,1000.0,1.0,5.0,2008,12454.0,3.027
RETAIL PHARMACY,KS,WYANDOTTE,9193,4.5405,1000.0,1.0,7.5,2008,12454.0,4.5405
RETAIL PHARMACY,KS,SEDGWICK,9193,3.027,1000.0,1.0,5.0,2008,65764.0,3.027
RETAIL PHARMACY,KS,GRAHAM,9193,0.9081,200.0,1.0,7.5,2008,192.0,0.9081
RETAIL PHARMACY,KS,GRAHAM,9193,4.5405,1000.0,1.0,7.5,2008,192.0,4.5405
RETAIL PHARMACY,KS,WASHINGTON,9193,4.5405,1000.0,1.0,7.5,2008,153.0,4.5405
RETAIL PHARMACY,KS,SEDGWICK,9193,4.5405,1000.0,1.0,7.5,2008,65764.0,4.5405
RETAIL PHARMACY,KS,SEDGWICK,9193,18.162,4000.0,1.0,7.5,2008,65764.0,18.162
RETAIL PHARMACY,KS,JOHNSON,9193,6.0539999999999985,1000.0,1.0,10.0,2008,75372.0,6.0539999999999985
RETAIL PHARMACY,KS,JOHNSON,9193,14.5296,4800.0,1.0,5.0,2007,47082.0,14.5296
RETAIL PHARMACY,KS,JOHNSON,9193,145.296,24000.0,1.0,10.0,2008,75372.0,145.296
RETAIL PHARMACY,KS,JOHNSON,9193,363.24,60000.0,1.0,10.0,2008,75372.0,363.24
RETAIL PHARMACY,KS,JOHNSON,9193,217.944,48000.0,1.0,7.5,2008,75372.0,217.944
RETAIL PHARMACY,KS,JOHNSON,9193,254.268,42000.0,1.0,10.0,2008,75372.0,254.268
RETAIL PHARMACY,KS,JOHNSON,9193,81.729,18000.0,1.0,7.5,2011,92770.0,81.729
PRACTITIONER,KS,HARVEY,9193,0.9081,200.0,1.0,7.5,2007,3672.0,0.9081
PRACTITIONER,KS,JOHNSON,9193,1.8162,400.0,1.0,7.5,2012,80755.0,1.8162
CHAIN PHARMACY,KS,JOHNSON,9193,3.6324,600.0,1.0,10.0,2006,33945.0,3.6324
