BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,LA,ASCENSION,9143,13.4475,1000.0,1.5,15.0,2006,7524.0,20.17125
RETAIL PHARMACY,LA,ASCENSION,9143,2.6895,300.0,1.5,10.0,2007,10777.0,4.03425
RETAIL PHARMACY,LA,ASCENSION,9143,0.672375,100.0,1.5,7.5,2007,10777.0,1.0085625
RETAIL PHARMACY,LA,JEFFERSON,9193,18.162,3000.0,1.0,10.0,2006,111826.0,18.162
RETAIL PHARMACY,LA,JEFFERSON,9193,15.135,2500.0,1.0,10.0,2006,111826.0,15.135
RETAIL PHARMACY,LA,JEFFERSON,9193,0.45405,100.0,1.0,7.5,2006,111826.0,0.45405
RETAIL PHARMACY,LA,JEFFERSON,9193,36.324,6000.0,1.0,10.0,2006,111826.0,36.324
RETAIL PHARMACY,LA,JEFFERSON,9193,3.027,500.0,1.0,10.0,2007,96732.0,3.027
RETAIL PHARMACY,LA,TANGIPAHOA,9193,1.5135,500.0,1.0,5.0,2012,20780.0,1.5135
PRACTITIONER,LA,LAFAYETTE,9193,0.45405,100.0,1.0,7.5,2007,46132.0,0.45405
PRACTITIONER,LA,CADDO,9193,2.27025,500.0,1.0,7.5,2007,38978.0,2.27025
PRACTITIONER,LA,ORLEANS,9193,6.0539999999999985,1000.0,1.0,10.0,2007,16276.0,6.0539999999999985
PRACTITIONER,LA,LAFAYETTE,9193,0.72648,240.0,1.0,5.0,2008,45572.0,0.72648
PRACTITIONER,LA,CADDO,9193,0.072648,16.0,1.0,7.5,2011,62960.0,0.072648
RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,1.0,7.5,2006,8880.0,2.27025
RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,1.0,10.0,2006,8880.0,6.0539999999999985
RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,1.0,5.0,2006,8880.0,1.5135
RETAIL PHARMACY,LA,IBERIA,9193,0.6054,100.0,1.0,10.0,2007,10208.0,0.6054
RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,1.0,7.5,2007,10208.0,2.27025
RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,1.0,10.0,2007,10208.0,3.027
RETAIL PHARMACY,LA,IBERIA,9193,0.45405,100.0,1.0,7.5,2007,10208.0,0.45405
RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,1.0,10.0,2007,10208.0,1.2108
RETAIL PHARMACY,LA,IBERIA,9193,0.3027,100.0,1.0,5.0,2007,10208.0,0.3027
RETAIL PHARMACY,LA,IBERIA,9143,1.3446,300.0,1.5,5.0,2007,2198.0,2.0169
RETAIL PHARMACY,LA,IBERIA,9193,1.8162,300.0,1.0,10.0,2007,10208.0,1.8162
RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,1.0,7.5,2008,11407.0,2.27025
RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,1.0,5.0,2009,15072.0,1.5135
RETAIL PHARMACY,LA,IBERIA,9193,1.8162,300.0,1.0,10.0,2009,15072.0,1.8162
RETAIL PHARMACY,LA,IBERIA,9193,1.5135,500.0,1.0,5.0,2010,14336.0,1.5135
RETAIL PHARMACY,LA,IBERIA,9143,0.672375,100.0,1.5,7.5,2010,4111.0,1.0085625
RETAIL PHARMACY,LA,IBERIA,9143,1.793,200.0,1.5,10.0,2010,4111.0,2.6895
RETAIL PHARMACY,LA,IBERIA,9193,2.27025,500.0,1.0,7.5,2010,14336.0,2.27025
RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,1.0,10.0,2010,14336.0,6.0539999999999985
RETAIL PHARMACY,LA,IBERIA,9193,6.0539999999999985,1000.0,1.0,10.0,2011,14364.0,6.0539999999999985
RETAIL PHARMACY,LA,IBERIA,9143,0.44825,100.0,1.5,5.0,2011,5418.0,0.672375
RETAIL PHARMACY,LA,IBERIA,9193,1.2108,200.0,1.0,10.0,2011,14364.0,1.2108
RETAIL PHARMACY,LA,IBERIA,9143,0.8965,100.0,1.5,10.0,2011,5418.0,1.34475
RETAIL PHARMACY,LA,IBERIA,9193,3.027,500.0,1.0,10.0,2011,14364.0,3.027
