BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
PRACTITIONER,MA,MIDDLESEX,9193,0.6054,100.0,1.0,10.0,2012,39647.0,0.6054
RETAIL PHARMACY,MA,MIDDLESEX,9143,86.064,1200.0,1.5,80.0,2007,161114.0,129.096
RETAIL PHARMACY,MA,MIDDLESEX,9193,2.27025,500.0,1.0,7.5,2007,33637.0,2.27025
RETAIL PHARMACY,MA,BERKSHIRE,9193,2.27025,500.0,1.0,7.5,2008,6529.0,2.27025
RETAIL PHARMACY,MA,BERKSHIRE,9193,0.6054,100.0,1.0,10.0,2008,6529.0,0.6054
RETAIL PHARMACY,MA,SUFFOLK,9193,0.9081,200.0,1.0,7.5,2009,14326.0,0.9081
RETAIL PHARMACY,MA,NORFOLK,9143,2.017125,300.0,1.5,7.5,2007,98308.0,3.0256875
RETAIL PHARMACY,MA,NORFOLK,9143,8.0685,300.0,1.5,30.0,2007,98308.0,12.10275
RETAIL PHARMACY,MA,NORFOLK,9143,5.379,1200.0,1.5,5.0,2007,98308.0,8.0685
RETAIL PHARMACY,MA,NORFOLK,9143,21.516,1200.0,1.5,20.0,2007,98308.0,32.274
RETAIL PHARMACY,MA,NORFOLK,9143,14.344,200.0,1.5,80.0,2008,96297.0,21.516
RETAIL PHARMACY,MA,NORFOLK,9143,13.4475,500.0,1.5,30.0,2008,96297.0,20.17125
RETAIL PHARMACY,MA,NORFOLK,9143,8.965,2000.0,1.5,5.0,2008,96297.0,13.4475
RETAIL PHARMACY,MA,NORFOLK,9143,7.1720000000000015,100.0,1.5,80.0,2009,92617.0,10.758000000000003
RETAIL PHARMACY,MA,NORFOLK,9143,5.379,1200.0,1.5,5.0,2011,107990.0,8.0685
RETAIL PHARMACY,MA,NORFOLK,9143,2.6895,300.0,1.5,10.0,2011,107990.0,4.03425
RETAIL PHARMACY,MA,ESSEX,9193,1.5135,500.0,1.0,5.0,2008,29720.0,1.5135
RETAIL PHARMACY,MA,ESSEX,9143,2.6895,200.0,1.5,15.0,2008,110740.0,4.03425
RETAIL PHARMACY,MA,ESSEX,9143,2.017125,300.0,1.5,7.5,2008,110740.0,3.0256875
RETAIL PHARMACY,MA,ESSEX,9143,1.34475,100.0,1.5,15.0,2009,120446.0,2.017125
RETAIL PHARMACY,MA,ESSEX,9143,6.72375,1500.0,1.5,5.0,2009,120446.0,10.085625
RETAIL PHARMACY,MA,ESSEX,9143,0.8965,200.0,1.5,5.0,2011,159115.0,1.34475
RETAIL PHARMACY,MA,MIDDLESEX,9143,7.1720000000000015,200.0,1.5,40.0,2011,198272.0,10.758000000000003
RETAIL PHARMACY,MA,MIDDLESEX,9143,1.793,200.0,1.5,10.0,2011,198272.0,2.6895
RETAIL PHARMACY,MA,MIDDLESEX,9143,10.758,200.0,1.5,60.0,2011,198272.0,16.137
RETAIL PHARMACY,MA,MIDDLESEX,9193,0.3027,100.0,1.0,5.0,2011,39223.0,0.3027
