BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,MD,CALVERT,9143,21.516,300.0,1.5,80.0,2006,14733.0,32.274
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,400.0,1.5,10.0,2007,93573.0,5.3790000000000004
RETAIL PHARMACY,MD,PRINCE GEORGES,9143,7.1720000000000015,200.0,1.5,40.0,2006,60793.0,10.758000000000003
RETAIL PHARMACY,MD,PRINCE GEORGES,9193,1.5135,500.0,1.0,5.0,2006,23508.0,1.5135
RETAIL PHARMACY,MD,CHARLES,9193,0.45405,100.0,1.0,7.5,2006,8914.0,0.45405
RETAIL PHARMACY,MD,CHARLES,9193,2.27025,500.0,1.0,7.5,2006,8914.0,2.27025
RETAIL PHARMACY,MD,BALTIMORE CITY,9193,6.0539999999999985,1000.0,1.0,10.0,2006,30833.0,6.0539999999999985
RETAIL PHARMACY,MD,BALTIMORE CITY,9143,8.965,2000.0,1.5,5.0,2006,88175.0,13.4475
RETAIL PHARMACY,MD,BALTIMORE CITY,9143,3.361875,500.0,1.5,7.5,2006,88175.0,5.0428125
RETAIL PHARMACY,MD,BALTIMORE CITY,9143,13.4475,1000.0,1.5,15.0,2006,88175.0,20.17125
RETAIL PHARMACY,MD,BALTIMORE CITY,9143,26.895,1000.0,1.5,30.0,2007,102570.0,40.3425
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,5.379,400.0,1.5,15.0,2006,80637.0,8.0685
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,100.0,1.5,20.0,2006,80637.0,2.6895
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,100.0,1.5,10.0,2006,80637.0,1.34475
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,2006,80637.0,0.672375
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,3.027,500.0,1.0,10.0,2006,31314.0,3.027
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.3027,100.0,1.0,5.0,2006,31314.0,0.3027
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,200.0,1.5,7.5,2006,80637.0,2.017125
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,14.344,200.0,1.5,80.0,2006,80637.0,21.516
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.45405,100.0,1.0,7.5,2006,31314.0,0.45405
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,100.0,1.5,40.0,2006,80637.0,5.3790000000000004
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.2241,100.0,1.5,2.5,2006,80637.0,0.33615
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,1.5135,500.0,1.0,5.0,2006,31314.0,1.5135
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,7.1720000000000015,200.0,1.5,40.0,2006,80637.0,10.758000000000003
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,0.9081,200.0,1.0,7.5,2006,31314.0,0.9081
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.24125,500.0,1.5,5.0,2007,93573.0,3.361875
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,100.0,1.5,10.0,2007,93573.0,1.34475
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.672375,100.0,1.5,7.5,2007,93573.0,1.0085625
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,2007,93573.0,0.672375
RETAIL PHARMACY,MD,ANNE ARUNDEL,9193,3.027,1000.0,1.0,5.0,2007,33117.0,3.027
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,2007,93573.0,2.017125
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,10.758,300.0,1.5,40.0,2008,101593.0,16.137
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.34475,100.0,1.5,15.0,2008,101593.0,2.017125
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,2.6895,200.0,1.5,15.0,2008,101593.0,4.03425
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,2008,101593.0,1.34475
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,2008,101593.0,0.672375
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,100.0,1.5,40.0,2008,101593.0,5.3790000000000004
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,200.0,1.5,10.0,2008,101593.0,2.6895
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.672375,100.0,1.5,7.5,2008,101593.0,1.0085625
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,7.1720000000000015,200.0,1.5,40.0,2008,101593.0,10.758000000000003
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,5.379,200.0,1.5,30.0,2008,101593.0,8.0685
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.44825,100.0,1.5,5.0,2009,111409.0,0.672375
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,0.8965,200.0,1.5,5.0,2009,111409.0,1.34475
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,3.5860000000000003,100.0,1.5,40.0,2009,111409.0,5.3790000000000004
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,1.793,200.0,1.5,10.0,2009,111409.0,2.6895
RETAIL PHARMACY,MD,ANNE ARUNDEL,9143,8.0685,300.0,1.5,30.0,2009,111409.0,12.10275
