BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,500.0,1.0,10.0,2006,1970.0,3.027
RETAIL PHARMACY,ME,FRANKLIN,9143,2.241,500.0,1.5,5.0,2006,6308.0,3.3615000000000004
RETAIL PHARMACY,ME,FRANKLIN,9143,0.8965,100.0,1.5,10.0,2006,6308.0,1.34475
RETAIL PHARMACY,ME,FRANKLIN,9143,2.017125,300.0,1.5,7.5,2006,6308.0,3.0256875
RETAIL PHARMACY,ME,FRANKLIN,9143,11.509776,2400.0,1.5,5.35,2007,6446.0,17.264664
RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,2007,2359.0,3.027
RETAIL PHARMACY,ME,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2007,2359.0,0.45405
RETAIL PHARMACY,ME,FRANKLIN,9143,6.2344620000000015,1300.0,1.5,5.35,2007,6446.0,9.351693000000003
RETAIL PHARMACY,ME,FRANKLIN,9143,7.1720000000000015,100.0,1.5,80.0,2008,6886.0,10.758000000000003
RETAIL PHARMACY,ME,FRANKLIN,9193,6.0539999999999985,1000.0,1.0,10.0,2008,2462.0,6.0539999999999985
RETAIL PHARMACY,ME,FRANKLIN,9143,0.8965,200.0,1.5,5.0,2008,6886.0,1.34475
RETAIL PHARMACY,ME,FRANKLIN,9193,3.027,1000.0,1.0,5.0,2008,2462.0,3.027
RETAIL PHARMACY,ME,PENOBSCOT,9193,4.5405,1000.0,1.0,7.5,2006,16103.0,4.5405
RETAIL PHARMACY,ME,PENOBSCOT,9143,10.758,300.0,1.5,40.0,2006,35954.0,16.137
RETAIL PHARMACY,ME,PENOBSCOT,9143,2.6895,300.0,1.5,10.0,2006,35954.0,4.03425
RETAIL PHARMACY,ME,PENOBSCOT,9143,28.688,800.0,1.5,40.0,2006,35954.0,43.032
RETAIL PHARMACY,ME,PENOBSCOT,9143,24.2055,1800.0,1.5,15.0,2007,38585.0,36.30825
RETAIL PHARMACY,ME,PENOBSCOT,9143,40.338,9000.0,1.5,5.0,2007,38585.0,60.507000000000005
