BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,MI,MACOMB,9143,10.758,300.0,1.5,40.0,2007,43385.0,16.137
RETAIL PHARMACY,MI,MACOMB,9143,3.5860000000000003,400.0,1.5,10.0,2006,34654.0,5.3790000000000004
RETAIL PHARMACY,MI,WAYNE,9193,0.45405,100.0,1.0,7.5,2006,200509.0,0.45405
RETAIL PHARMACY,MI,WAYNE,9193,2.27025,500.0,1.0,7.5,2006,200509.0,2.27025
CHAIN PHARMACY,MI,MACOMB,9143,28.688,400.0,1.5,80.0,2006,34654.0,43.032
RETAIL PHARMACY,MI,JACKSON,9193,6.0539999999999985,1000.0,1.0,10.0,2012,23861.0,6.0539999999999985
RETAIL PHARMACY,MI,JACKSON,9193,3.027,500.0,1.0,10.0,2012,23861.0,3.027
PRACTITIONER,MI,SAGINAW,9193,0.6054,200.0,1.0,5.0,2010,31688.0,0.6054
PRACTITIONER,MI,CALHOUN,9193,0.6054,200.0,1.0,5.0,2007,24533.0,0.6054
PRACTITIONER,MI,OTTAWA,9193,0.3027,100.0,1.0,5.0,2007,18937.0,0.3027
PRACTITIONER,MI,MUSKEGON,9193,0.6054,100.0,1.0,10.0,2006,21073.0,0.6054
RETAIL PHARMACY,MI,KALAMAZOO,9193,1.5135,500.0,1.0,5.0,2012,41368.0,1.5135
RETAIL PHARMACY,MI,MUSKEGON,9143,0.4482,100.0,1.5,5.0,2006,4665.0,0.6723
RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,2006,21073.0,0.3027
RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,2006,21073.0,2.27025
RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,2006,21073.0,4.5405
RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,2006,4665.0,5.3790000000000004
RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,2007,25111.0,2.27025
RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,2007,25111.0,0.3027
RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,2007,25111.0,1.5135
RETAIL PHARMACY,MI,MUSKEGON,9143,10.758,300.0,1.5,40.0,2007,4585.0,16.137
RETAIL PHARMACY,MI,MUSKEGON,9143,7.1720000000000015,100.0,1.5,80.0,2007,4585.0,10.758000000000003
RETAIL PHARMACY,MI,MUSKEGON,9143,0.4482,100.0,1.5,5.0,2007,4585.0,0.6723
RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,2008,28224.0,0.3027
RETAIL PHARMACY,MI,MUSKEGON,9143,3.5860000000000003,100.0,1.5,40.0,2008,4657.0,5.3790000000000004
RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,2008,28224.0,2.27025
RETAIL PHARMACY,MI,MUSKEGON,9143,7.1720000000000015,100.0,1.5,80.0,2008,4657.0,10.758000000000003
RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,2008,28224.0,4.5405
RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,2009,31576.0,6.0539999999999985
RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,2009,31576.0,2.27025
RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,2009,31576.0,1.5135
RETAIL PHARMACY,MI,MUSKEGON,9143,5.379,100.0,1.5,60.0,2009,5510.0,8.0685
RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,2009,31576.0,4.5405
RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,2009,5510.0,1.34475
RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,2009,31576.0,0.3027
RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,2010,34871.0,4.5405
RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,2010,34871.0,1.5135
RETAIL PHARMACY,MI,MUSKEGON,9193,0.9081,300.0,1.0,5.0,2010,34871.0,0.9081
RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,2010,5967.0,0.672375
RETAIL PHARMACY,MI,MUSKEGON,9143,1.793,200.0,1.5,10.0,2010,5967.0,2.6895
RETAIL PHARMACY,MI,MUSKEGON,9193,1.5135,500.0,1.0,5.0,2011,41737.0,1.5135
RETAIL PHARMACY,MI,MUSKEGON,9193,0.3027,100.0,1.0,5.0,2011,41737.0,0.3027
RETAIL PHARMACY,MI,MUSKEGON,9143,1.34475,200.0,1.5,7.5,2011,6498.0,2.017125
RETAIL PHARMACY,MI,MUSKEGON,9143,0.44825,100.0,1.5,5.0,2011,6498.0,0.672375
RETAIL PHARMACY,MI,MUSKEGON,9193,3.027,1000.0,1.0,5.0,2011,41737.0,3.027
RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,2011,41737.0,6.0539999999999985
RETAIL PHARMACY,MI,MUSKEGON,9193,0.6054,200.0,1.0,5.0,2011,41737.0,0.6054
RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,2011,6498.0,1.34475
RETAIL PHARMACY,MI,MUSKEGON,9193,4.5405,1000.0,1.0,7.5,2011,41737.0,4.5405
RETAIL PHARMACY,MI,MUSKEGON,9193,6.0539999999999985,1000.0,1.0,10.0,2012,43894.0,6.0539999999999985
RETAIL PHARMACY,MI,MUSKEGON,9193,2.27025,500.0,1.0,7.5,2012,43894.0,2.27025
RETAIL PHARMACY,MI,MUSKEGON,9143,0.8965,100.0,1.5,10.0,2012,7085.0,1.34475
RETAIL PHARMACY,MI,MUSKEGON,9193,12.108,2000.0,1.0,10.0,2012,43894.0,12.108
RETAIL PHARMACY,MI,MONROE,9143,0.8964,200.0,1.5,5.0,2006,7120.0,1.3446
RETAIL PHARMACY,MI,MONROE,9143,0.4482,100.0,1.5,5.0,2006,7120.0,0.6723
RETAIL PHARMACY,MI,MONROE,9193,0.45405,100.0,1.0,7.5,2006,17418.0,0.45405
RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,2006,17418.0,2.27025
RETAIL PHARMACY,MI,MONROE,9193,0.9081,200.0,1.0,7.5,2006,17418.0,0.9081
RETAIL PHARMACY,MI,MONROE,9193,1.5135,500.0,1.0,5.0,2006,17418.0,1.5135
RETAIL PHARMACY,MI,MONROE,9193,0.6054,100.0,1.0,10.0,2006,17418.0,0.6054
RETAIL PHARMACY,MI,MONROE,9143,0.8964,200.0,1.5,5.0,2007,8827.0,1.3446
RETAIL PHARMACY,MI,MONROE,9193,2.27025,500.0,1.0,7.5,2007,20864.0,2.27025
RETAIL PHARMACY,MI,MONROE,9193,1.5135,500.0,1.0,5.0,2007,20864.0,1.5135
RETAIL PHARMACY,MI,MONROE,9193,0.45405,100.0,1.0,7.5,2007,20864.0,0.45405
RETAIL PHARMACY,MI,MONROE,9193,2.4216,400.0,1.0,10.0,2007,20864.0,2.4216
RETAIL PHARMACY,MI,MONROE,9193,4.5405,1000.0,1.0,7.5,2007,20864.0,4.5405
RETAIL PHARMACY,MI,MONROE,9143,1.3446,300.0,1.5,5.0,2007,8827.0,2.0169
RETAIL PHARMACY,MI,MONROE,9143,3.5860000000000003,100.0,1.5,40.0,2007,8827.0,5.3790000000000004
RETAIL PHARMACY,MI,MONROE,9143,0.8965,100.0,1.5,10.0,2007,8827.0,1.34475
RETAIL PHARMACY,MI,MONROE,9143,2.6895,300.0,1.5,10.0,2007,8827.0,4.03425
RETAIL PHARMACY,MI,MONROE,9193,0.136215,30.0,1.0,7.5,2007,20864.0,0.136215
