BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,MN,WRIGHT,9193,1.2108,200.0,1.0,10.0,2006,3575.0,1.2108
RETAIL PHARMACY,MN,PENNINGTON,9193,0.45405,100.0,1.0,7.5,2006,1036.0,0.45405
RETAIL PHARMACY,MN,PENNINGTON,9193,3.027,500.0,1.0,10.0,2007,1441.0,3.027
RETAIL PHARMACY,MN,WABASHA,9193,3.027,1000.0,1.0,5.0,2007,458.0,3.027
RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,2008,554.0,0.45405
RETAIL PHARMACY,MN,WABASHA,9193,0.9081,200.0,1.0,7.5,2009,489.0,0.9081
RETAIL PHARMACY,MN,WABASHA,9193,0.6054,100.0,1.0,10.0,2009,489.0,0.6054
RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,2009,489.0,0.45405
RETAIL PHARMACY,MN,WABASHA,9193,3.027,1000.0,1.0,5.0,2011,790.0,3.027
RETAIL PHARMACY,MN,WABASHA,9193,0.3027,100.0,1.0,5.0,2011,790.0,0.3027
RETAIL PHARMACY,MN,WABASHA,9143,2.6895,100.0,1.5,30.0,2012,1432.0,4.03425
RETAIL PHARMACY,MN,WABASHA,9193,0.45405,100.0,1.0,7.5,2012,728.0,0.45405
RETAIL PHARMACY,MN,WABASHA,9143,2.24125,500.0,1.5,5.0,2012,1432.0,3.361875
RETAIL PHARMACY,MN,WABASHA,9193,1.2108,200.0,1.0,10.0,2012,728.0,1.2108
RETAIL PHARMACY,MN,MCLEOD,9193,2.27025,500.0,1.0,7.5,2007,1940.0,2.27025
RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,2007,1940.0,1.5135
RETAIL PHARMACY,MN,MCLEOD,9193,4.5405,1000.0,1.0,7.5,2008,2420.0,4.5405
RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,2008,2420.0,1.5135
RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,2008,2523.0,0.672375
RETAIL PHARMACY,MN,MCLEOD,9143,3.5860000000000003,100.0,1.5,40.0,2009,2805.0,5.3790000000000004
RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,2009,2805.0,0.672375
RETAIL PHARMACY,MN,MCLEOD,9193,1.5135,500.0,1.0,5.0,2010,2922.0,1.5135
RETAIL PHARMACY,MN,MCLEOD,9143,0.44825,100.0,1.5,5.0,2010,2906.0,0.672375
RETAIL PHARMACY,MN,MCLEOD,9143,0.8965,100.0,1.5,10.0,2010,2906.0,1.34475
RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,2007,3549.0,0.672375
RETAIL PHARMACY,MN,OTTER TAIL,9143,0.8965,200.0,1.5,5.0,2008,4030.0,1.34475
RETAIL PHARMACY,MN,OTTER TAIL,9193,0.45405,100.0,1.0,7.5,2008,2650.0,0.45405
RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,2008,4030.0,0.672375
RETAIL PHARMACY,MN,OTTER TAIL,9143,0.44825,100.0,1.5,5.0,2009,4270.0,0.672375
RETAIL PHARMACY,MN,OTTER TAIL,9193,1.5135,500.0,1.0,5.0,2009,2663.0,1.5135
RETAIL PHARMACY,MN,OTTER TAIL,9193,1.2108,200.0,1.0,10.0,2010,3072.0,1.2108
RETAIL PHARMACY,MN,OTTER TAIL,9193,0.45405,100.0,1.0,7.5,2010,3072.0,0.45405
RETAIL PHARMACY,MN,OTTER TAIL,9143,2.6895,100.0,1.5,30.0,2010,4322.0,4.03425
RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,2007,3648.0,0.672375
RETAIL PHARMACY,MN,GOODHUE,9143,1.793,100.0,1.5,20.0,2007,3648.0,2.6895
RETAIL PHARMACY,MN,GOODHUE,9143,0.8965,200.0,1.5,5.0,2008,3753.0,1.34475
RETAIL PHARMACY,MN,GOODHUE,9143,1.793,200.0,1.5,10.0,2008,3753.0,2.6895
RETAIL PHARMACY,MN,GOODHUE,9193,1.5135,500.0,1.0,5.0,2008,2252.0,1.5135
RETAIL PHARMACY,MN,GOODHUE,9193,0.6054,100.0,1.0,10.0,2008,2252.0,0.6054
RETAIL PHARMACY,MN,GOODHUE,9143,1.34475,100.0,1.5,15.0,2008,3753.0,2.017125
RETAIL PHARMACY,MN,GOODHUE,9193,1.2108,200.0,1.0,10.0,2009,2179.0,1.2108
RETAIL PHARMACY,MN,GOODHUE,9143,0.672375,100.0,1.5,7.5,2009,4079.0,1.0085625
RETAIL PHARMACY,MN,GOODHUE,9143,0.8965,100.0,1.5,10.0,2009,4079.0,1.34475
RETAIL PHARMACY,MN,GOODHUE,9143,3.5860000000000003,100.0,1.5,40.0,2009,4079.0,5.3790000000000004
RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,2009,4079.0,0.672375
RETAIL PHARMACY,MN,GOODHUE,9143,1.34475,100.0,1.5,15.0,2009,4079.0,2.017125
RETAIL PHARMACY,MN,GOODHUE,9193,0.45405,100.0,1.0,7.5,2009,2179.0,0.45405
RETAIL PHARMACY,MN,GOODHUE,9193,0.6054,100.0,1.0,10.0,2010,2224.0,0.6054
RETAIL PHARMACY,MN,GOODHUE,9193,1.2108,200.0,1.0,10.0,2010,2224.0,1.2108
RETAIL PHARMACY,MN,GOODHUE,9143,2.24125,500.0,1.5,5.0,2010,4342.0,3.361875
RETAIL PHARMACY,MN,GOODHUE,9143,1.793,100.0,1.5,20.0,2010,4342.0,2.6895
RETAIL PHARMACY,MN,GOODHUE,9143,0.44825,100.0,1.5,5.0,2010,4342.0,0.672375
RETAIL PHARMACY,MN,RICE,9143,1.3446,300.0,1.5,5.0,2007,2475.0,2.0169
RETAIL PHARMACY,MN,RICE,9143,0.4482,100.0,1.5,5.0,2007,2475.0,0.6723
RETAIL PHARMACY,MN,RICE,9193,2.27025,500.0,1.0,7.5,2007,2070.0,2.27025
RETAIL PHARMACY,MN,RICE,9143,0.44825,100.0,1.5,5.0,2008,2883.0,0.672375
RETAIL PHARMACY,MN,RICE,9143,0.8965,100.0,1.5,10.0,2009,2854.0,1.34475
