BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,MO,GASCONADE,9193,3.027,1000.0,1.0,5.0,2006,869.0,3.027
RETAIL PHARMACY,MO,GASCONADE,9193,0.6054,100.0,1.0,10.0,2006,869.0,0.6054
RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,1.8162,300.0,1.0,10.0,2006,10293.0,1.8162
RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,1.36215,300.0,1.0,7.5,2006,10293.0,1.36215
RETAIL PHARMACY,MO,SAINT LOUIS CITY,9193,0.45405,100.0,1.0,7.5,2006,10293.0,0.45405
RETAIL PHARMACY,MO,CALLAWAY,9143,0.672375,100.0,1.5,7.5,2006,2309.0,1.0085625
RETAIL PHARMACY,MO,MONITEAU,9143,0.672375,100.0,1.5,7.5,2006,380.0,1.0085625
RETAIL PHARMACY,MO,MONITEAU,9193,0.45405,100.0,1.0,7.5,2007,623.0,0.45405
RETAIL PHARMACY,MO,MONITEAU,9143,2.24125,500.0,1.5,5.0,2007,404.0,3.361875
RETAIL PHARMACY,MO,HOWELL,9193,0.136215,30.0,1.0,7.5,2008,8131.0,0.136215
RETAIL PHARMACY,MO,HOWELL,9193,3.027,500.0,1.0,10.0,2008,8131.0,3.027
RETAIL PHARMACY,MO,HOWELL,9193,1.5135,500.0,1.0,5.0,2008,8131.0,1.5135
RETAIL PHARMACY,MO,MISSISSIPPI,9193,1.5135,500.0,1.0,5.0,2011,3425.0,1.5135
RETAIL PHARMACY,MO,MISSISSIPPI,9193,1.5135,500.0,1.0,5.0,2012,2866.0,1.5135
PRACTITIONER,MO,JEFFERSON,9193,0.6054,200.0,1.0,5.0,2006,14482.0,0.6054
PRACTITIONER,MO,JEFFERSON,9193,0.3027,100.0,1.0,5.0,2007,16878.0,0.3027
PRACTITIONER,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,2009,104187.0,0.3027
PRACTITIONER,MO,SAINT LOUIS,9193,0.6054,200.0,1.0,5.0,2009,104187.0,0.6054
RETAIL PHARMACY,MO,GREENE,9193,3.027,500.0,1.0,10.0,2009,68846.0,3.027
RETAIL PHARMACY,MO,GREENE,9143,1.793,100.0,1.5,20.0,2009,37225.0,2.6895
RETAIL PHARMACY,MO,GREENE,9143,3.5860000000000003,100.0,1.5,40.0,2009,37225.0,5.3790000000000004
RETAIL PHARMACY,MO,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,2009,68846.0,6.0539999999999985
RETAIL PHARMACY,MO,GREENE,9143,2.24125,500.0,1.5,5.0,2010,43022.0,3.361875
RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,2010,43022.0,1.34475
RETAIL PHARMACY,MO,GREENE,9193,0.3027,100.0,1.0,5.0,2010,78126.0,0.3027
RETAIL PHARMACY,MO,GREENE,9193,2.27025,500.0,1.0,7.5,2011,81597.0,2.27025
RETAIL PHARMACY,MO,GREENE,9193,1.8162,600.0,1.0,5.0,2011,81597.0,1.8162
RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,2011,44722.0,1.34475
RETAIL PHARMACY,MO,GREENE,9143,3.5860000000000003,100.0,1.5,40.0,2011,44722.0,5.3790000000000004
RETAIL PHARMACY,MO,GREENE,9193,0.136215,30.0,1.0,7.5,2011,81597.0,0.136215
RETAIL PHARMACY,MO,GREENE,9193,1.2108,200.0,1.0,10.0,2011,81597.0,1.2108
RETAIL PHARMACY,MO,GREENE,9193,3.027,500.0,1.0,10.0,2012,73447.0,3.027
RETAIL PHARMACY,MO,GREENE,9143,0.8965,100.0,1.5,10.0,2012,51789.0,1.34475
RETAIL PHARMACY,MO,GREENE,9143,0.672375,100.0,1.5,7.5,2012,51789.0,1.0085625
RETAIL PHARMACY,MO,GREENE,9193,6.0539999999999985,1000.0,1.0,10.0,2012,73447.0,6.0539999999999985
RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,2006,66279.0,0.3027
RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.793,100.0,1.5,20.0,2006,70401.0,2.6895
RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.34475,200.0,1.5,7.5,2006,70401.0,2.017125
RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.44825,100.0,1.5,5.0,2006,70401.0,0.672375
RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,200.0,1.5,5.0,2006,70401.0,1.34475
RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,2007,68635.0,0.3027
RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,200.0,1.5,5.0,2007,78423.0,1.34475
RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.45405,100.0,1.0,7.5,2008,78520.0,0.45405
RETAIL PHARMACY,MO,TEXAS,9143,2.6895,200.0,1.5,15.0,2010,2026.0,4.03425
RETAIL PHARMACY,MO,TEXAS,9193,0.3027,100.0,1.0,5.0,2010,3129.0,0.3027
RETAIL PHARMACY,MO,TEXAS,9143,3.5860000000000003,100.0,1.5,40.0,2011,2445.0,5.3790000000000004
RETAIL PHARMACY,MO,TEXAS,9143,7.1720000000000015,100.0,1.5,80.0,2011,2445.0,10.758000000000003
RETAIL PHARMACY,MO,TEXAS,9143,1.793,400.0,1.5,5.0,2011,2445.0,2.6895
RETAIL PHARMACY,MO,TEXAS,9193,2.27025,500.0,1.0,7.5,2012,2780.0,2.27025
RETAIL PHARMACY,MO,TEXAS,9143,1.793,200.0,1.5,10.0,2012,2667.0,2.6895
RETAIL PHARMACY,MO,TEXAS,9143,2.017125,300.0,1.5,7.5,2012,2667.0,3.0256875
RETAIL PHARMACY,MO,TEXAS,9143,4.4825,1000.0,1.5,5.0,2012,2667.0,6.72375
RETAIL PHARMACY,MO,TEXAS,9143,6.72375,500.0,1.5,15.0,2012,2667.0,10.085625
RETAIL PHARMACY,MO,TEXAS,9143,1.34475,300.0,1.5,5.0,2012,2667.0,2.017125
RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.2108,400.0,1.0,5.0,2006,66279.0,1.2108
RETAIL PHARMACY,MO,SAINT LOUIS,9143,2.6895,300.0,1.5,10.0,2006,70401.0,4.03425
RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.672375,100.0,1.5,7.5,2006,70401.0,1.0085625
RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.34475,100.0,1.5,15.0,2007,78423.0,2.017125
RETAIL PHARMACY,MO,SAINT LOUIS,9143,1.793,200.0,1.5,10.0,2007,78423.0,2.6895
RETAIL PHARMACY,MO,SAINT LOUIS,9143,3.5860000000000003,100.0,1.5,40.0,2007,78423.0,5.3790000000000004
RETAIL PHARMACY,MO,SAINT LOUIS,9143,4.4825,1000.0,1.5,5.0,2008,73206.0,6.72375
RETAIL PHARMACY,MO,SAINT LOUIS,9143,0.8965,100.0,1.5,10.0,2008,73206.0,1.34475
RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.5135,500.0,1.0,5.0,2008,78520.0,1.5135
RETAIL PHARMACY,MO,SAINT LOUIS,9193,0.3027,100.0,1.0,5.0,2008,78520.0,0.3027
RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.36215,300.0,1.0,7.5,2008,78520.0,1.36215
RETAIL PHARMACY,MO,SAINT LOUIS,9193,1.5135,500.0,1.0,5.0,2009,104187.0,1.5135
RETAIL PHARMACY,MO,SAINT LOUIS,9193,2.27025,500.0,1.0,7.5,2009,104187.0,2.27025
RETAIL PHARMACY,MO,SAINT LOUIS,9193,3.027,500.0,1.0,10.0,2009,104187.0,3.027
RETAIL PHARMACY,MO,SAINT LOUIS,9143,2.6895,200.0,1.5,15.0,2009,84816.0,4.03425
RETAIL PHARMACY,MO,FRANKLIN,9143,5.379,300.0,1.5,20.0,2006,7539.0,8.0685
RETAIL PHARMACY,MO,FRANKLIN,9143,1.34475,100.0,1.5,15.0,2007,9515.0,2.017125
RETAIL PHARMACY,MO,FRANKLIN,9143,2.017125,300.0,1.5,7.5,2007,9515.0,3.0256875
RETAIL PHARMACY,MO,FRANKLIN,9143,28.688,400.0,1.5,80.0,2007,9515.0,43.032
RETAIL PHARMACY,MO,FRANKLIN,9193,4.5405,1000.0,1.0,7.5,2008,10772.0,4.5405
RETAIL PHARMACY,MO,FRANKLIN,9143,21.516,300.0,1.5,80.0,2008,11991.0,32.274
RETAIL PHARMACY,MO,FRANKLIN,9143,6.72375,1500.0,1.5,5.0,2009,14681.0,10.085625
