BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,MS,HARRISON,9193,0.45405,100.0,1.0,7.5,2006,28304.0,0.45405
RETAIL PHARMACY,MS,HARRISON,9193,0.45405,100.0,1.0,7.5,2007,30976.0,0.45405
CHAIN PHARMACY,MS,CHICKASAW,9193,3.027,500.0,1.0,10.0,2006,3078.0,3.027
CHAIN PHARMACY,MS,CHICKASAW,9193,6.81075,1500.0,1.0,7.5,2007,3524.0,6.81075
RETAIL PHARMACY,MS,JACKSON,9193,4.5405,1000.0,1.0,7.5,2012,23817.0,4.5405
RETAIL PHARMACY,MS,WAYNE,9193,9.081,1500.0,1.0,10.0,2008,4351.0,9.081
RETAIL PHARMACY,MS,RANKIN,9193,0.9081,200.0,1.0,7.5,2008,20535.0,0.9081
RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,2009,22880.0,6.0539999999999985
RETAIL PHARMACY,MS,RANKIN,9193,0.6054,200.0,1.0,5.0,2010,24912.0,0.6054
RETAIL PHARMACY,MS,RANKIN,9193,18.162,3000.0,1.0,10.0,2011,29150.0,18.162
RETAIL PHARMACY,MS,RANKIN,9193,2.27025,500.0,1.0,7.5,2011,29150.0,2.27025
RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,2011,29150.0,6.0539999999999985
RETAIL PHARMACY,MS,RANKIN,9193,6.0539999999999985,1000.0,1.0,10.0,2012,30584.0,6.0539999999999985
RETAIL PHARMACY,MS,RANKIN,9193,3.027,500.0,1.0,10.0,2012,30584.0,3.027
RETAIL PHARMACY,MS,RANKIN,9193,2.27025,500.0,1.0,7.5,2012,30584.0,2.27025
RETAIL PHARMACY,MS,GREENE,9193,2.27025,500.0,1.0,7.5,2011,748.0,2.27025
RETAIL PHARMACY,MS,HARRISON,9193,6.0539999999999985,1000.0,1.0,10.0,2012,44943.0,6.0539999999999985
RETAIL PHARMACY,MS,LAUDERDALE,9193,3.027,500.0,1.0,10.0,2009,18857.0,3.027
RETAIL PHARMACY,MS,LAUDERDALE,9193,3.027,500.0,1.0,10.0,2010,19910.0,3.027
RETAIL PHARMACY,MS,LAUDERDALE,9193,0.45405,100.0,1.0,7.5,2011,21599.0,0.45405
RETAIL PHARMACY,MS,LAUDERDALE,9193,1.5135,500.0,1.0,5.0,2012,22622.0,1.5135
RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,200.0,1.5,20.0,2006,163.0,5.3790000000000004
RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,2006,91.0,3.027
RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,200.0,1.5,20.0,2007,205.0,5.3790000000000004
RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,2007,205.0,1.34475
RETAIL PHARMACY,MS,BENTON,9143,1.793,200.0,1.5,10.0,2007,205.0,2.6895
RETAIL PHARMACY,MS,BENTON,9193,0.9081,200.0,1.0,7.5,2007,164.0,0.9081
RETAIL PHARMACY,MS,BENTON,9193,2.27025,500.0,1.0,7.5,2008,181.0,2.27025
RETAIL PHARMACY,MS,BENTON,9143,0.672375,100.0,1.5,7.5,2008,204.0,1.0085625
RETAIL PHARMACY,MS,BENTON,9193,4.5405,1000.0,1.0,7.5,2008,181.0,4.5405
RETAIL PHARMACY,MS,BENTON,9143,1.34475,200.0,1.5,7.5,2009,267.0,2.017125
RETAIL PHARMACY,MS,BENTON,9143,3.5860000000000003,400.0,1.5,10.0,2009,267.0,5.3790000000000004
RETAIL PHARMACY,MS,BENTON,9143,2.6895,300.0,1.5,10.0,2009,267.0,4.03425
RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,2009,234.0,0.6054
RETAIL PHARMACY,MS,BENTON,9143,5.379,600.0,1.5,10.0,2009,267.0,8.0685
RETAIL PHARMACY,MS,BENTON,9193,3.027,1000.0,1.0,5.0,2010,261.0,3.027
RETAIL PHARMACY,MS,BENTON,9143,1.793,400.0,1.5,5.0,2010,265.0,2.6895
RETAIL PHARMACY,MS,BENTON,9143,2.6895,300.0,1.5,10.0,2010,265.0,4.03425
RETAIL PHARMACY,MS,BENTON,9143,0.8965,200.0,1.5,5.0,2010,265.0,1.34475
RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,2010,261.0,0.6054
RETAIL PHARMACY,MS,BENTON,9193,2.27025,500.0,1.0,7.5,2010,261.0,2.27025
RETAIL PHARMACY,MS,BENTON,9193,9.081,2000.0,1.0,7.5,2010,261.0,9.081
RETAIL PHARMACY,MS,BENTON,9143,0.8965,100.0,1.5,10.0,2011,313.0,1.34475
RETAIL PHARMACY,MS,BENTON,9193,0.6054,100.0,1.0,10.0,2011,282.0,0.6054
RETAIL PHARMACY,MS,BENTON,9193,0.9081,200.0,1.0,7.5,2012,421.0,0.9081
RETAIL PHARMACY,MS,BENTON,9193,3.027,500.0,1.0,10.0,2012,421.0,3.027
RETAIL PHARMACY,MS,BENTON,9143,0.8965,200.0,1.5,5.0,2012,356.0,1.34475
