BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,MT,CASCADE,9193,6.0539999999999985,1000.0,1.0,10.0,2006,9939.0,6.0539999999999985
RETAIL PHARMACY,MT,CASCADE,9143,0.8965,100.0,1.5,10.0,2006,8021.0,1.34475
RETAIL PHARMACY,MT,CASCADE,9193,1.5135,500.0,1.0,5.0,2006,9939.0,1.5135
RETAIL PHARMACY,MT,MISSOULA,9193,3.027,500.0,1.0,10.0,2006,10881.0,3.027
RETAIL PHARMACY,MT,FALLON,9193,1.5135,500.0,1.0,5.0,2008,372.0,1.5135
RETAIL PHARMACY,MT,FALLON,9193,0.9081,200.0,1.0,7.5,2008,372.0,0.9081
RETAIL PHARMACY,MT,FALLON,9193,4.5405,1500.0,1.0,5.0,2008,372.0,4.5405
RETAIL PHARMACY,MT,FALLON,9193,0.3027,100.0,1.0,5.0,2009,357.0,0.3027
RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,2009,357.0,3.027
RETAIL PHARMACY,MT,FALLON,9143,1.34475,200.0,1.5,7.5,2009,267.0,2.017125
RETAIL PHARMACY,MT,FALLON,9193,0.9081,200.0,1.0,7.5,2009,357.0,0.9081
RETAIL PHARMACY,MT,FALLON,9193,0.45405,100.0,1.0,7.5,2009,357.0,0.45405
RETAIL PHARMACY,MT,FALLON,9193,1.8162,400.0,1.0,7.5,2009,357.0,1.8162
RETAIL PHARMACY,MT,FALLON,9143,3.5860000000000003,100.0,1.5,40.0,2009,267.0,5.3790000000000004
RETAIL PHARMACY,MT,FALLON,9193,0.3027,100.0,1.0,5.0,2010,341.0,0.3027
RETAIL PHARMACY,MT,FALLON,9143,2.6895,600.0,1.5,5.0,2010,221.0,4.03425
RETAIL PHARMACY,MT,FALLON,9143,1.793,100.0,1.5,20.0,2010,221.0,2.6895
RETAIL PHARMACY,MT,FALLON,9193,0.9081,300.0,1.0,5.0,2010,341.0,0.9081
RETAIL PHARMACY,MT,FALLON,9143,0.8965,200.0,1.5,5.0,2010,221.0,1.34475
RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,2010,341.0,3.027
RETAIL PHARMACY,MT,FALLON,9193,0.6054,200.0,1.0,5.0,2010,341.0,0.6054
RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,2011,417.0,3.027
RETAIL PHARMACY,MT,FALLON,9193,1.5135,500.0,1.0,5.0,2011,417.0,1.5135
RETAIL PHARMACY,MT,FALLON,9193,1.8162,600.0,1.0,5.0,2011,417.0,1.8162
RETAIL PHARMACY,MT,FALLON,9193,0.9081,300.0,1.0,5.0,2011,417.0,0.9081
RETAIL PHARMACY,MT,FALLON,9143,1.793,200.0,1.5,10.0,2011,264.0,2.6895
RETAIL PHARMACY,MT,FALLON,9143,2.24125,500.0,1.5,5.0,2011,264.0,3.361875
RETAIL PHARMACY,MT,FALLON,9143,0.672375,100.0,1.5,7.5,2011,264.0,1.0085625
RETAIL PHARMACY,MT,FALLON,9193,0.6054,200.0,1.0,5.0,2012,305.0,0.6054
RETAIL PHARMACY,MT,FALLON,9193,0.9081,200.0,1.0,7.5,2012,305.0,0.9081
RETAIL PHARMACY,MT,FALLON,9193,3.027,500.0,1.0,10.0,2012,305.0,3.027
RETAIL PHARMACY,MT,FALLON,9143,8.0685,300.0,1.5,30.0,2012,333.0,12.10275
RETAIL PHARMACY,MT,FALLON,9143,1.793,100.0,1.5,20.0,2012,333.0,2.6895
RETAIL PHARMACY,MT,FALLON,9143,2.24125,500.0,1.5,5.0,2012,333.0,3.361875
