BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,2009,1418.0,0.3027
RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,2009,1418.0,0.45405
RETAIL PHARMACY,ND,STARK,9193,1.2108,200.0,1.0,10.0,2009,1418.0,1.2108
RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,2010,1861.0,3.361875
RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,2010,1861.0,2.6895
RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,2010,1694.0,0.3027
RETAIL PHARMACY,ND,STARK,9193,0.6054,200.0,1.0,5.0,2010,1694.0,0.6054
RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,2006,1589.0,1.5135
RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,2006,1589.0,3.027
RETAIL PHARMACY,ND,STARK,9193,0.6054,100.0,1.0,10.0,2006,1589.0,0.6054
RETAIL PHARMACY,ND,STARK,9193,0.3027,100.0,1.0,5.0,2006,1589.0,0.3027
RETAIL PHARMACY,ND,STARK,9143,0.672375,100.0,1.5,7.5,2006,1493.0,1.0085625
RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,2007,1307.0,0.45405
RETAIL PHARMACY,ND,STARK,9143,0.8965,200.0,1.5,5.0,2007,1698.0,1.34475
RETAIL PHARMACY,ND,STARK,9143,1.34475,200.0,1.5,7.5,2007,1698.0,2.017125
RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,2007,1698.0,5.3790000000000004
RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,2007,1307.0,3.027
RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,2007,1698.0,2.6895
RETAIL PHARMACY,ND,STARK,9143,4.4825,1000.0,1.5,5.0,2007,1698.0,6.72375
RETAIL PHARMACY,ND,STARK,9143,0.44825,100.0,1.5,5.0,2007,1698.0,0.672375
RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,2008,1671.0,5.3790000000000004
RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,2008,1369.0,3.027
RETAIL PHARMACY,ND,STARK,9193,1.36215,300.0,1.0,7.5,2008,1369.0,1.36215
RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,2008,1671.0,3.361875
RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,2008,1369.0,1.5135
RETAIL PHARMACY,ND,STARK,9193,0.45405,100.0,1.0,7.5,2008,1369.0,0.45405
RETAIL PHARMACY,ND,STARK,9143,2.24125,500.0,1.5,5.0,2009,1668.0,3.361875
RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,2009,1418.0,1.5135
RETAIL PHARMACY,ND,STARK,9193,2.27025,500.0,1.0,7.5,2009,1418.0,2.27025
RETAIL PHARMACY,ND,STARK,9143,0.44825,100.0,1.5,5.0,2009,1668.0,0.672375
RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,2009,1418.0,3.027
RETAIL PHARMACY,ND,STARK,9143,0.8965,200.0,1.5,5.0,2009,1668.0,1.34475
RETAIL PHARMACY,ND,STARK,9143,1.793,100.0,1.5,20.0,2009,1668.0,2.6895
RETAIL PHARMACY,ND,STARK,9193,0.9081,200.0,1.0,7.5,2009,1418.0,0.9081
RETAIL PHARMACY,ND,STARK,9143,2.6895,300.0,1.5,10.0,2009,1668.0,4.03425
RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,2009,1668.0,5.3790000000000004
RETAIL PHARMACY,ND,STARK,9143,3.5860000000000003,100.0,1.5,40.0,2010,1861.0,5.3790000000000004
RETAIL PHARMACY,ND,STARK,9193,1.5135,500.0,1.0,5.0,2010,1694.0,1.5135
RETAIL PHARMACY,ND,STARK,9143,1.34475,100.0,1.5,15.0,2010,1861.0,2.017125
RETAIL PHARMACY,ND,STARK,9193,3.027,500.0,1.0,10.0,2010,1694.0,3.027
RETAIL PHARMACY,ND,STARK,9143,2.6895,100.0,1.5,30.0,2010,1861.0,4.03425
RETAIL PHARMACY,ND,WILLIAMS,9193,1.5135,500.0,1.0,5.0,2006,1049.0,1.5135
RETAIL PHARMACY,ND,WILLIAMS,9193,0.45405,100.0,1.0,7.5,2006,1049.0,0.45405
RETAIL PHARMACY,ND,WILLIAMS,9193,0.6054,100.0,1.0,10.0,2006,1049.0,0.6054
RETAIL PHARMACY,ND,WILLIAMS,9193,1.2108,200.0,1.0,10.0,2006,1049.0,1.2108
RETAIL PHARMACY,ND,WILLIAMS,9193,0.9081,200.0,1.0,7.5,2006,1049.0,0.9081
RETAIL PHARMACY,ND,WILLIAMS,9143,3.5860000000000003,100.0,1.5,40.0,2007,714.0,5.3790000000000004
RETAIL PHARMACY,ND,WILLIAMS,9143,4.4825,1000.0,1.5,5.0,2007,714.0,6.72375
RETAIL PHARMACY,ND,WILLIAMS,9193,0.6054,100.0,1.0,10.0,2007,1390.0,0.6054
RETAIL PHARMACY,ND,WILLIAMS,9193,1.5135,500.0,1.0,5.0,2007,1390.0,1.5135
RETAIL PHARMACY,ND,WILLIAMS,9193,3.027,500.0,1.0,10.0,2007,1390.0,3.027
RETAIL PHARMACY,ND,WILLIAMS,9143,2.24125,500.0,1.5,5.0,2007,714.0,3.361875
RETAIL PHARMACY,ND,WILLIAMS,9193,0.45405,100.0,1.0,7.5,2007,1390.0,0.45405
RETAIL PHARMACY,ND,WILLIAMS,9143,1.793,100.0,1.5,20.0,2007,714.0,2.6895
RETAIL PHARMACY,ND,WILLIAMS,9193,1.2108,200.0,1.0,10.0,2007,1390.0,1.2108
RETAIL PHARMACY,ND,WILLIAMS,9193,3.027,500.0,1.0,10.0,2008,1641.0,3.027
