BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,NE,HAMILTON,9193,1.5135,500.0,1.0,5.0,2012,401.0,1.5135
RETAIL PHARMACY,NE,ADAMS,9193,2.27025,500.0,1.0,7.5,2012,3335.0,2.27025
RETAIL PHARMACY,NE,ADAMS,9143,4.4825,1000.0,1.5,5.0,2012,1663.0,6.72375
RETAIL PHARMACY,NE,ADAMS,9193,0.6054,100.0,1.0,10.0,2012,3335.0,0.6054
RETAIL PHARMACY,NE,ADAMS,9143,1.793,200.0,1.5,10.0,2012,1663.0,2.6895
RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,2010,1271.0,0.6054
RETAIL PHARMACY,NE,CUSTER,9193,2.27025,500.0,1.0,7.5,2010,1271.0,2.27025
RETAIL PHARMACY,NE,CUSTER,9143,0.672375,100.0,1.5,7.5,2011,736.0,1.0085625
RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,100.0,1.5,40.0,2011,736.0,5.3790000000000004
RETAIL PHARMACY,NE,CUSTER,9143,0.8965,100.0,1.5,10.0,2011,736.0,1.34475
RETAIL PHARMACY,NE,CUSTER,9193,1.5135,500.0,1.0,5.0,2011,1339.0,1.5135
RETAIL PHARMACY,NE,CUSTER,9143,1.793,200.0,1.5,10.0,2011,736.0,2.6895
RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,2011,1339.0,0.6054
RETAIL PHARMACY,NE,CUSTER,9143,3.5860000000000003,200.0,1.5,20.0,2012,763.0,5.3790000000000004
RETAIL PHARMACY,NE,CUSTER,9143,1.793,200.0,1.5,10.0,2012,763.0,2.6895
RETAIL PHARMACY,NE,CUSTER,9143,2.6895,300.0,1.5,10.0,2012,763.0,4.03425
RETAIL PHARMACY,NE,CUSTER,9193,0.45405,100.0,1.0,7.5,2012,1419.0,0.45405
RETAIL PHARMACY,NE,CUSTER,9143,1.34475,300.0,1.5,5.0,2012,763.0,2.017125
RETAIL PHARMACY,NE,CUSTER,9193,0.6054,100.0,1.0,10.0,2012,1419.0,0.6054
RETAIL PHARMACY,NE,DOUGLAS,9193,0.6054,200.0,1.0,5.0,2010,58439.0,0.6054
RETAIL PHARMACY,NE,DOUGLAS,9143,2.6895,300.0,1.5,10.0,2010,43334.0,4.03425
RETAIL PHARMACY,NE,DOUGLAS,9193,1.5135,500.0,1.0,5.0,2011,71515.0,1.5135
RETAIL PHARMACY,NE,DOUGLAS,9193,0.136215,30.0,1.0,7.5,2011,71515.0,0.136215
RETAIL PHARMACY,NE,DOUGLAS,9143,1.793,200.0,1.5,10.0,2011,50846.0,2.6895
RETAIL PHARMACY,NE,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2011,71515.0,2.27025
RETAIL PHARMACY,NE,DOUGLAS,9193,0.9081,300.0,1.0,5.0,2011,71515.0,0.9081
RETAIL PHARMACY,NE,DOUGLAS,9193,1.2108,400.0,1.0,5.0,2011,71515.0,1.2108
RETAIL PHARMACY,NE,DOUGLAS,9193,3.027,500.0,1.0,10.0,2011,71515.0,3.027
RETAIL PHARMACY,NE,DOUGLAS,9193,0.3027,100.0,1.0,5.0,2011,71515.0,0.3027
