BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,NH,SULLIVAN,9193,2.27025,500.0,1.0,7.5,2008,1730.0,2.27025
RETAIL PHARMACY,NH,SULLIVAN,9193,1.5135,500.0,1.0,5.0,2009,1915.0,1.5135
RETAIL PHARMACY,NH,SULLIVAN,9193,0.45405,100.0,1.0,7.5,2009,1915.0,0.45405
RETAIL PHARMACY,NH,SULLIVAN,9193,0.45405,100.0,1.0,7.5,2010,1961.0,0.45405
RETAIL PHARMACY,NH,SULLIVAN,9143,10.758,2400.0,1.5,5.0,2011,7126.0,16.137
RETAIL PHARMACY,NH,MERRIMACK,9193,1.36215,300.0,1.0,7.5,2011,7699.0,1.36215
RETAIL PHARMACY,NH,MERRIMACK,9143,0.8965,100.0,1.5,10.0,2011,35549.0,1.34475
RETAIL PHARMACY,NH,MERRIMACK,9193,1.5135,500.0,1.0,5.0,2009,6811.0,1.5135
RETAIL PHARMACY,NH,MERRIMACK,9143,8.0685,600.0,1.5,15.0,2011,35549.0,12.10275
RETAIL PHARMACY,NH,MERRIMACK,9193,0.45405,100.0,1.0,7.5,2011,7699.0,0.45405
RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,600.0,1.5,10.0,2011,35549.0,8.0685
RETAIL PHARMACY,NH,MERRIMACK,9143,14.344,200.0,1.5,80.0,2011,35549.0,21.516
RETAIL PHARMACY,NH,STRAFFORD,9193,1.5135,500.0,1.0,5.0,2009,5900.0,1.5135
RETAIL PHARMACY,NH,STRAFFORD,9193,3.027,500.0,1.0,10.0,2009,5900.0,3.027
RETAIL PHARMACY,NH,MERRIMACK,9143,16.137,600.0,1.5,30.0,2006,24681.0,24.2055
RETAIL PHARMACY,NH,MERRIMACK,9143,1.34475,200.0,1.5,7.5,2006,24681.0,2.017125
RETAIL PHARMACY,NH,MERRIMACK,9143,7.1720000000000015,100.0,1.5,80.0,2006,24681.0,10.758000000000003
RETAIL PHARMACY,NH,MERRIMACK,9143,5.379,300.0,1.5,20.0,2006,24681.0,8.0685
RETAIL PHARMACY,NH,MERRIMACK,9143,21.516,300.0,1.5,80.0,2008,32189.0,32.274
RETAIL PHARMACY,NH,STRAFFORD,9193,1.5135,500.0,1.0,5.0,2008,6002.0,1.5135
RETAIL PHARMACY,NH,STRAFFORD,9193,1.2108,200.0,1.0,10.0,2008,6002.0,1.2108
RETAIL PHARMACY,NH,STRAFFORD,9193,0.6054,100.0,1.0,10.0,2009,5900.0,0.6054
RETAIL PHARMACY,NH,STRAFFORD,9193,0.3027,100.0,1.0,5.0,2010,6223.0,0.3027
RETAIL PHARMACY,NH,STRAFFORD,9143,2.6895,300.0,1.5,10.0,2011,32099.0,4.03425
RETAIL PHARMACY,NH,STRAFFORD,9193,0.3027,100.0,1.0,5.0,2012,7906.0,0.3027
RETAIL PHARMACY,NH,STRAFFORD,9193,3.027,1000.0,1.0,5.0,2008,6002.0,3.027
RETAIL PHARMACY,NH,STRAFFORD,9193,2.27025,500.0,1.0,7.5,2009,5900.0,2.27025
RETAIL PHARMACY,NH,GRAFTON,9143,5.7548879999999984,1200.0,1.5,5.35,2006,15665.0,8.632331999999998
RETAIL PHARMACY,NH,GRAFTON,9143,2.6895,300.0,1.5,10.0,2006,15665.0,4.03425
RETAIL PHARMACY,NH,GRAFTON,9143,14.344,200.0,1.5,80.0,2006,15665.0,21.516
RETAIL PHARMACY,NH,GRAFTON,9143,3.5860000000000003,200.0,1.5,20.0,2006,15665.0,5.3790000000000004
RETAIL PHARMACY,NH,GRAFTON,9143,7.1720000000000015,200.0,1.5,40.0,2006,15665.0,10.758000000000003
RETAIL PHARMACY,NH,GRAFTON,9143,5.379,600.0,1.5,10.0,2006,15665.0,8.0685
RETAIL PHARMACY,NH,GRAFTON,9143,1.793,200.0,1.5,10.0,2006,15665.0,2.6895
RETAIL PHARMACY,NH,GRAFTON,9143,4.4825,500.0,1.5,10.0,2006,15665.0,6.72375
RETAIL PHARMACY,NH,MERRIMACK,9143,14.344,400.0,1.5,40.0,2008,32189.0,21.516
RETAIL PHARMACY,NH,MERRIMACK,9193,3.027,500.0,1.0,10.0,2009,6811.0,3.027
