BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,NJ,CAMDEN,9193,3.027,1000.0,1.0,5.0,2006,24388.0,3.027
RETAIL PHARMACY,NJ,HUDSON,9193,2.27025,500.0,1.0,7.5,2006,12213.0,2.27025
RETAIL PHARMACY,NJ,HUDSON,9193,3.027,500.0,1.0,10.0,2006,12213.0,3.027
RETAIL PHARMACY,NJ,PASSAIC,9143,0.8965,100.0,1.5,10.0,2006,34016.0,1.34475
RETAIL PHARMACY,NJ,UNION,9143,5.379,600.0,1.5,10.0,2007,56440.0,8.0685
RETAIL PHARMACY,NJ,UNION,9143,21.516,300.0,1.5,80.0,2007,56440.0,32.274
RETAIL PHARMACY,NJ,UNION,9193,3.027,500.0,1.0,10.0,2007,20948.0,3.027
RETAIL PHARMACY,NJ,ESSEX,9143,4.4825,500.0,1.5,10.0,2006,75090.0,6.72375
RETAIL PHARMACY,NJ,ESSEX,9143,7.1720000000000015,200.0,1.5,40.0,2006,75090.0,10.758000000000003
RETAIL PHARMACY,NJ,ESSEX,9143,0.8965,100.0,1.5,10.0,2007,67047.0,1.34475
RETAIL PHARMACY,NJ,ESSEX,9143,10.758,1200.0,1.5,10.0,2006,75090.0,16.137
RETAIL PHARMACY,NJ,ESSEX,9193,2.27025,500.0,1.0,7.5,2006,15458.0,2.27025
RETAIL PHARMACY,NJ,ESSEX,9193,4.5405,1500.0,1.0,5.0,2007,19987.0,4.5405
RETAIL PHARMACY,NJ,ESSEX,9143,21.516,300.0,1.5,80.0,2007,67047.0,32.274
RETAIL PHARMACY,NJ,ESSEX,9143,1.793,100.0,1.5,20.0,2006,75090.0,2.6895
RETAIL PHARMACY,NJ,ESSEX,9193,1.5135,500.0,1.0,5.0,2007,19987.0,1.5135
RETAIL PHARMACY,NJ,HUDSON,9143,0.8965,100.0,1.5,10.0,2006,38678.0,1.34475
RETAIL PHARMACY,NJ,HUDSON,9143,3.5860000000000003,400.0,1.5,10.0,2007,47083.0,5.3790000000000004
RETAIL PHARMACY,NJ,MIDDLESEX,9193,0.136215,30.0,1.0,7.5,2007,22388.0,0.136215
RETAIL PHARMACY,NJ,BERGEN,9193,0.45405,100.0,1.0,7.5,2006,22955.0,0.45405
RETAIL PHARMACY,NJ,HUDSON,9193,0.3027,100.0,1.0,5.0,2006,12213.0,0.3027
RETAIL PHARMACY,NJ,BERGEN,9143,21.516,300.0,1.5,80.0,2006,67365.0,32.274
RETAIL PHARMACY,NJ,BERGEN,9143,1.34475,200.0,1.5,7.5,2006,67365.0,2.017125
