BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,NM,VALENCIA,9193,1.5135,500.0,1.0,5.0,2012,7793.0,1.5135
PRACTITIONER,NM,SOCORRO,9193,3.027,500.0,1.0,10.0,2007,2276.0,3.027
PRACTITIONER,NM,DONA ANA,9193,1.08972,240.0,1.0,7.5,2011,14161.0,1.08972
PRACTITIONER,NM,DONA ANA,9193,1.5135,500.0,1.0,5.0,2011,14161.0,1.5135
PRACTITIONER,NM,DONA ANA,9193,0.09081,30.0,1.0,5.0,2011,14161.0,0.09081
RETAIL PHARMACY,NM,BERNALILLO,9193,1.8162,300.0,1.0,10.0,2006,45116.0,1.8162
RETAIL PHARMACY,NM,BERNALILLO,9143,3.5856,800.0,1.5,5.0,2006,89564.0,5.3784
RETAIL PHARMACY,NM,BERNALILLO,9143,2.24125,500.0,1.5,5.0,2006,89564.0,3.361875
RETAIL PHARMACY,NM,BERNALILLO,9143,7.1720000000000015,400.0,1.5,20.0,2006,89564.0,10.758000000000003
RETAIL PHARMACY,NM,BERNALILLO,9193,0.6054,100.0,1.0,10.0,2006,45116.0,0.6054
RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,2006,89564.0,8.0685
RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,2006,89564.0,6.72375
RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,2006,45116.0,0.3027
RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,2006,45116.0,2.27025
RETAIL PHARMACY,NM,BERNALILLO,9143,14.344,400.0,1.5,40.0,2006,89564.0,21.516
RETAIL PHARMACY,NM,BERNALILLO,9143,8.965,1000.0,1.5,10.0,2006,89564.0,13.4475
RETAIL PHARMACY,NM,BERNALILLO,9193,0.3027,100.0,1.0,5.0,2007,47805.0,0.3027
RETAIL PHARMACY,NM,BERNALILLO,9143,4.4825,1000.0,1.5,5.0,2007,101632.0,6.72375
RETAIL PHARMACY,NM,BERNALILLO,9193,0.45405,100.0,1.0,7.5,2007,47805.0,0.45405
RETAIL PHARMACY,NM,BERNALILLO,9143,10.758,600.0,1.5,20.0,2007,101632.0,16.137
RETAIL PHARMACY,NM,BERNALILLO,9143,3.5860000000000003,400.0,1.5,10.0,2007,101632.0,5.3790000000000004
RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,2007,47805.0,2.27025
RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,400.0,1.5,7.5,2007,101632.0,4.03425
RETAIL PHARMACY,NM,BERNALILLO,9193,3.027,500.0,1.0,10.0,2007,47805.0,3.027
RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,2007,47805.0,1.5135
RETAIL PHARMACY,NM,BERNALILLO,9143,0.403425,100.0,1.5,,2007,101632.0,0.6051375
RETAIL PHARMACY,NM,BERNALILLO,9143,6.72375,1500.0,1.5,5.0,2008,114065.0,10.085625
RETAIL PHARMACY,NM,BERNALILLO,9143,2.6895,400.0,1.5,7.5,2008,114065.0,4.03425
RETAIL PHARMACY,NM,BERNALILLO,9143,5.379,600.0,1.5,10.0,2008,114065.0,8.0685
RETAIL PHARMACY,NM,BERNALILLO,9143,3.5860000000000003,400.0,1.5,10.0,2008,114065.0,5.3790000000000004
RETAIL PHARMACY,NM,BERNALILLO,9193,2.27025,500.0,1.0,7.5,2008,56200.0,2.27025
RETAIL PHARMACY,NM,BERNALILLO,9193,1.5135,500.0,1.0,5.0,2008,56200.0,1.5135
RETAIL PHARMACY,NM,BERNALILLO,9143,8.0685,600.0,1.5,15.0,2008,114065.0,12.10275
RETAIL PHARMACY,NM,BERNALILLO,9193,1.8162,300.0,1.0,10.0,2009,68191.0,1.8162
