BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,NV,CLARK,9143,0.672375,100.0,1.5,7.5,2006,244320.0,1.0085625
CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,2006,244320.0,8.0685
CHAIN PHARMACY,NV,CLARK,9143,4.4825,1000.0,1.5,5.0,2006,244320.0,6.72375
CHAIN PHARMACY,NV,CLARK,9143,26.895,1000.0,1.5,30.0,2006,244320.0,40.3425
CHAIN PHARMACY,NV,CLARK,9143,17.93,500.0,1.5,40.0,2006,244320.0,26.895
CHAIN PHARMACY,NV,CLARK,9143,2.017125,300.0,1.5,7.5,2006,244320.0,3.0256875
CHAIN PHARMACY,NV,CLARK,9143,1.34475,200.0,1.5,7.5,2006,244320.0,2.017125
CHAIN PHARMACY,NV,CLARK,9193,0.6054,200.0,1.0,5.0,2006,290793.0,0.6054
CHAIN PHARMACY,NV,CLARK,9143,3.5860000000000003,100.0,1.5,40.0,2006,244320.0,5.3790000000000004
CHAIN PHARMACY,NV,CLARK,9143,1.7928,200.0,1.5,10.0,2006,244320.0,2.6892
CHAIN PHARMACY,NV,CLARK,9143,0.80685,200.0,1.5,,2006,244320.0,1.210275
CHAIN PHARMACY,NV,CLARK,9143,5.379,600.0,1.5,10.0,2007,288755.0,8.0685
CHAIN PHARMACY,NV,CLARK,9143,1.793,200.0,1.5,10.0,2007,288755.0,2.6895
CHAIN PHARMACY,NV,CLARK,9143,21.516,800.0,1.5,30.0,2008,327634.0,32.274
CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,100.0,1.5,80.0,2006,244320.0,10.758000000000003
CHAIN PHARMACY,NV,CLARK,9143,0.8965,100.0,1.5,10.0,2006,244320.0,1.34475
CHAIN PHARMACY,NV,CLARK,9143,2.6895,200.0,1.5,15.0,2006,244320.0,4.03425
CHAIN PHARMACY,NV,CLARK,9143,2.6895,600.0,1.5,5.0,2007,288755.0,4.03425
CHAIN PHARMACY,NV,CLARK,9193,1.5135,500.0,1.0,5.0,2007,294354.0,1.5135
CHAIN PHARMACY,NV,CLARK,9143,7.1720000000000015,200.0,1.5,40.0,2007,288755.0,10.758000000000003
CHAIN PHARMACY,NV,CLARK,9143,1.34475,300.0,1.5,5.0,2007,288755.0,2.017125
