BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,NY,OSWEGO,9193,2.4216,400.0,1.0,10.0,2006,9572.0,2.4216
CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1000.0,1.0,7.5,2006,9572.0,4.5405
CHAIN PHARMACY,NY,OSWEGO,9193,0.9081,200.0,1.0,7.5,2007,12161.0,0.9081
CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,2007,12161.0,3.027
CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1000.0,1.0,7.5,2008,15001.0,4.5405
CHAIN PHARMACY,NY,OSWEGO,9193,3.027,1000.0,1.0,5.0,2009,15837.0,3.027
CHAIN PHARMACY,NY,OSWEGO,9193,4.5405,1500.0,1.0,5.0,2009,15837.0,4.5405
CHAIN PHARMACY,NY,OSWEGO,9193,1.2108,200.0,1.0,10.0,2009,15837.0,1.2108
CHAIN PHARMACY,NY,OSWEGO,9193,4.2378,700.0,1.0,10.0,2009,15837.0,4.2378
CHAIN PHARMACY,NY,OSWEGO,9193,4.8432,800.0,1.0,10.0,2009,15837.0,4.8432
CHAIN PHARMACY,NY,OSWEGO,9193,6.81075,1500.0,1.0,7.5,2009,15837.0,6.81075
CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,2010,17364.0,3.027
CHAIN PHARMACY,NY,OSWEGO,9193,2.27025,500.0,1.0,7.5,2010,17364.0,2.27025
CHAIN PHARMACY,NY,OSWEGO,9193,6.0539999999999985,1000.0,1.0,10.0,2010,17364.0,6.0539999999999985
CHAIN PHARMACY,NY,OSWEGO,9193,9.081,1500.0,1.0,10.0,2010,17364.0,9.081
CHAIN PHARMACY,NY,OSWEGO,9193,7.2648,1200.0,1.0,10.0,2011,17229.0,7.2648
CHAIN PHARMACY,NY,OSWEGO,9193,5.4486,900.0,1.0,10.0,2011,17229.0,5.4486
CHAIN PHARMACY,NY,OSWEGO,9193,6.0539999999999985,1000.0,1.0,10.0,2011,17229.0,6.0539999999999985
CHAIN PHARMACY,NY,OSWEGO,9193,3.027,500.0,1.0,10.0,2011,17229.0,3.027
