BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,OK,OKLAHOMA,9143,0.479574,100.0,1.5,5.35,2006,58920.0,0.719361
CHAIN PHARMACY,OK,TULSA,9193,3.027,500.0,1.0,10.0,2006,96854.0,3.027
CHAIN PHARMACY,OK,OKLAHOMA,9143,1.793,200.0,1.5,10.0,2006,58920.0,2.6895
RETAIL PHARMACY,OK,OKLAHOMA,9193,0.45405,100.0,1.0,7.5,2007,122482.0,0.45405
RETAIL PHARMACY,OK,JACKSON,9193,2.27025,500.0,1.0,7.5,2012,5466.0,2.27025
RETAIL PHARMACY,OK,JACKSON,9193,3.027,500.0,1.0,10.0,2012,5466.0,3.027
RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,2008,13021.0,2.27025
RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,2009,14960.0,2.27025
RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,2009,14960.0,3.027
RETAIL PHARMACY,OK,PAYNE,9193,6.81075,1500.0,1.0,7.5,2009,14960.0,6.81075
RETAIL PHARMACY,OK,PAYNE,9193,0.45405,100.0,1.0,7.5,2010,16304.0,0.45405
RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,2010,16304.0,3.027
RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,2011,15938.0,2.27025
RETAIL PHARMACY,OK,PAYNE,9193,3.027,500.0,1.0,10.0,2012,14859.0,3.027
RETAIL PHARMACY,OK,PAYNE,9193,2.27025,500.0,1.0,7.5,2012,14859.0,2.27025
RETAIL PHARMACY,OK,MAYES,9193,2.27025,500.0,1.0,7.5,2012,8968.0,2.27025
RETAIL PHARMACY,OK,MAYES,9193,1.5135,500.0,1.0,5.0,2012,8968.0,1.5135
RETAIL PHARMACY,OK,MAYES,9193,4.5405,1000.0,1.0,7.5,2012,8968.0,4.5405
RETAIL PHARMACY,OK,ROGERS,9193,4.5405,1000.0,1.0,7.5,2012,16551.0,4.5405
RETAIL PHARMACY,OK,OKLAHOMA,9193,0.136215,30.0,1.0,7.5,2011,216705.0,0.136215
RETAIL PHARMACY,OK,OKLAHOMA,9193,4.5405,1000.0,1.0,7.5,2011,216705.0,4.5405
RETAIL PHARMACY,OK,OKLAHOMA,9193,3.027,500.0,1.0,10.0,2012,213282.0,3.027
RETAIL PHARMACY,OK,MCCLAIN,9193,0.27243,60.0,1.0,7.5,2010,9699.0,0.27243
RETAIL PHARMACY,OK,MCCLAIN,9193,4.5405,1000.0,1.0,7.5,2012,8021.0,4.5405
RETAIL PHARMACY,OK,MCCLAIN,9193,2.27025,500.0,1.0,7.5,2012,8021.0,2.27025
RETAIL PHARMACY,OK,MCCLAIN,9193,3.027,500.0,1.0,10.0,2012,8021.0,3.027
RETAIL PHARMACY,OK,ROGERS,9193,2.27025,500.0,1.0,7.5,2012,16551.0,2.27025
PRACTITIONER,OK,OKLAHOMA,9193,6.81075,1500.0,1.0,7.5,2006,120564.0,6.81075
PRACTITIONER,OK,OKLAHOMA,9193,3.027,1000.0,1.0,5.0,2009,179132.0,3.027
PRACTITIONER,OK,OKLAHOMA,9193,9.081,2000.0,1.0,7.5,2008,138294.0,9.081
RETAIL PHARMACY,OK,OKLAHOMA,9193,3.027,500.0,1.0,10.0,2011,216705.0,3.027
PRACTITIONER,OK,OKLAHOMA,9193,0.45405,100.0,1.0,7.5,2011,216705.0,0.45405
CHAIN PHARMACY,OK,OKLAHOMA,9193,11.35125,2500.0,1.0,7.5,2006,120564.0,11.35125
CHAIN PHARMACY,OK,OKLAHOMA,9193,1.36215,300.0,1.0,7.5,2006,120564.0,1.36215
CHAIN PHARMACY,OK,OKLAHOMA,9193,5.4486,900.0,1.0,10.0,2006,120564.0,5.4486
CHAIN PHARMACY,OK,OKLAHOMA,9193,4.5405,1500.0,1.0,5.0,2006,120564.0,4.5405
CHAIN PHARMACY,OK,OKLAHOMA,9193,18.162,4000.0,1.0,7.5,2006,120564.0,18.162
CHAIN PHARMACY,OK,OKLAHOMA,9193,27.243,6000.0,1.0,7.5,2006,120564.0,27.243
CHAIN PHARMACY,OK,OKLAHOMA,9193,2.27025,500.0,1.0,7.5,2007,122482.0,2.27025
CHAIN PHARMACY,OK,OKLAHOMA,9193,1.2108,400.0,1.0,5.0,2007,122482.0,1.2108
CHAIN PHARMACY,OK,OKLAHOMA,9193,0.6054,200.0,1.0,5.0,2007,122482.0,0.6054
