BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,OR,DESCHUTES,9143,10.758,300.0,1.5,40.0,2007,17053.0,16.137
RETAIL PHARMACY,OR,LANE,9193,3.027,1000.0,1.0,5.0,2006,37430.0,3.027
RETAIL PHARMACY,OR,CLACKAMAS,9193,2.7243,600.0,1.0,7.5,2007,35909.0,2.7243
RETAIL PHARMACY,OR,MULTNOMAH,9193,6.0539999999999985,1000.0,1.0,10.0,2006,84484.0,6.0539999999999985
RETAIL PHARMACY,OR,MULTNOMAH,9193,2.27025,500.0,1.0,7.5,2007,71450.0,2.27025
CHAIN PHARMACY,OR,UMATILLA,9193,12.108,2000.0,1.0,10.0,2006,7666.0,12.108
CHAIN PHARMACY,OR,UMATILLA,9143,0.479574,100.0,1.5,5.35,2007,7047.0,0.719361
CHAIN PHARMACY,OR,LANE,9193,6.0539999999999985,1000.0,1.0,10.0,2006,37430.0,6.0539999999999985
CHAIN PHARMACY,OR,LANE,9193,0.3027,100.0,1.0,5.0,2006,37430.0,0.3027
CHAIN PHARMACY,OR,LANE,9143,21.516,300.0,1.5,80.0,2006,47147.0,32.274
CHAIN PHARMACY,OR,LANE,9193,9.081,3000.0,1.0,5.0,2006,37430.0,9.081
CHAIN PHARMACY,OR,LANE,9143,7.1720000000000015,200.0,1.5,40.0,2007,53820.0,10.758000000000003
CHAIN PHARMACY,OR,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2006,14789.0,2.27025
CHAIN PHARMACY,OR,DOUGLAS,9193,3.027,500.0,1.0,10.0,2006,14789.0,3.027
CHAIN PHARMACY,OR,DOUGLAS,9193,9.081,1500.0,1.0,10.0,2007,16196.0,9.081
CHAIN PHARMACY,OR,DOUGLAS,9193,2.27025,500.0,1.0,7.5,2007,16196.0,2.27025
CHAIN PHARMACY,OR,WASHINGTON,9193,3.027,1000.0,1.0,5.0,2006,35955.0,3.027
CHAIN PHARMACY,OR,UNION,9193,3.027,1000.0,1.0,5.0,2006,2510.0,3.027
PRACTITIONER,OR,MULTNOMAH,9193,0.6054,200.0,1.0,5.0,2006,84484.0,0.6054
RETAIL PHARMACY,OR,CLACKAMAS,9143,21.516,1200.0,1.5,20.0,2006,66671.0,32.274
RETAIL PHARMACY,OR,CLACKAMAS,9143,43.032,600.0,1.5,80.0,2006,66671.0,64.548
RETAIL PHARMACY,OR,CLACKAMAS,9143,57.37600000000001,800.0,1.5,80.0,2006,66671.0,86.06400000000002
RETAIL PHARMACY,OR,CLACKAMAS,9143,43.032,2400.0,1.5,20.0,2007,81244.0,64.548
RETAIL PHARMACY,OR,CLACKAMAS,9143,28.688,400.0,1.5,80.0,2007,81244.0,43.032
RETAIL PHARMACY,OR,MULTNOMAH,9143,53.79,3000.0,1.5,20.0,2006,129887.0,80.685
RETAIL PHARMACY,OR,MULTNOMAH,9143,129.096,3600.0,1.5,40.0,2008,185372.0,193.644
RETAIL PHARMACY,OR,MULTNOMAH,9193,39.9564,13200.0,1.0,5.0,2010,156504.0,39.9564
RETAIL PHARMACY,OR,MULTNOMAH,9193,43.5888,14400.0,1.0,5.0,2011,164378.0,43.5888
RETAIL PHARMACY,OR,WASHINGTON,9143,21.516,600.0,1.5,40.0,2006,64918.0,32.274
RETAIL PHARMACY,OR,WASHINGTON,9143,10.758,1200.0,1.5,10.0,2007,81497.0,16.137
RETAIL PHARMACY,OR,WASHINGTON,9143,26.892,6000.0,1.5,5.0,2007,81497.0,40.338
RETAIL PHARMACY,OR,WASHINGTON,9143,28.688,400.0,1.5,80.0,2007,81497.0,43.032
RETAIL PHARMACY,OR,WASHINGTON,9193,26.15328,8640.0,1.0,5.0,2010,60043.0,26.15328
RETAIL PHARMACY,OR,WASHINGTON,9193,26.15328,8640.0,1.0,5.0,2011,64836.0,26.15328
RETAIL PHARMACY,OR,CLACKAMAS,9143,32.274,3600.0,1.5,10.0,2006,66671.0,48.411
RETAIL PHARMACY,OR,CLACKAMAS,9143,32.2704,7200.0,1.5,5.0,2007,81244.0,48.40560000000001
RETAIL PHARMACY,OR,CLACKAMAS,9143,86.064,2400.0,1.5,40.0,2007,81244.0,129.096
RETAIL PHARMACY,OR,CLACKAMAS,9193,5.81184,1920.0,1.0,5.0,2011,71451.0,5.81184
RETAIL PHARMACY,OR,CLACKAMAS,9193,13.07664,4320.0,1.0,5.0,2011,71451.0,13.07664
RETAIL PHARMACY,OR,MULTNOMAH,9143,43.032,1200.0,1.5,40.0,2006,129887.0,64.548
RETAIL PHARMACY,OR,MULTNOMAH,9143,32.2704,7200.0,1.5,5.0,2006,129887.0,48.40560000000001
RETAIL PHARMACY,OR,MULTNOMAH,9143,43.032,1200.0,1.5,40.0,2007,162748.0,64.548
RETAIL PHARMACY,OR,MULTNOMAH,9143,10.758,1200.0,1.5,10.0,2007,162748.0,16.137
RETAIL PHARMACY,OR,MULTNOMAH,9143,86.064,2400.0,1.5,40.0,2007,162748.0,129.096
RETAIL PHARMACY,OR,MULTNOMAH,9143,21.516,2400.0,1.5,10.0,2007,162748.0,32.274
RETAIL PHARMACY,OR,MULTNOMAH,9193,2.90592,960.0,1.0,5.0,2010,156504.0,2.90592
RETAIL PHARMACY,OR,MULTNOMAH,9193,5.81184,1920.0,1.0,5.0,2010,156504.0,5.81184
RETAIL PHARMACY,OR,MULTNOMAH,9193,3.6324,1200.0,1.0,5.0,2010,156504.0,3.6324
RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,2010,156504.0,8.71776
RETAIL PHARMACY,OR,MULTNOMAH,9193,10.8972,3600.0,1.0,5.0,2011,164378.0,10.8972
RETAIL PHARMACY,OR,MULTNOMAH,9193,36.324,12000.0,1.0,5.0,2011,164378.0,36.324
RETAIL PHARMACY,OR,MULTNOMAH,9193,29.0592,9600.0,1.0,5.0,2011,164378.0,29.0592
RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,2012,147075.0,8.71776
RETAIL PHARMACY,OR,MARION,9143,5.379,600.0,1.5,10.0,2006,35605.0,8.0685
RETAIL PHARMACY,OR,MARION,9143,21.516,1200.0,1.5,20.0,2007,43059.0,32.274
RETAIL PHARMACY,OR,MARION,9143,43.032,600.0,1.5,80.0,2007,43059.0,64.548
RETAIL PHARMACY,OR,MARION,9143,43.032,1200.0,1.5,40.0,2008,49413.0,64.548
RETAIL PHARMACY,OR,MARION,9143,5.379,600.0,1.5,10.0,2008,49413.0,8.0685
RETAIL PHARMACY,OR,MARION,9143,10.758,1200.0,1.5,10.0,2008,49413.0,16.137
RETAIL PHARMACY,OR,MARION,9193,17.43552,5760.0,1.0,5.0,2010,40027.0,17.43552
RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,2011,43850.0,36.324
RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,2012,39514.0,36.324
RETAIL PHARMACY,OR,MARION,9193,15.25608,5040.0,1.0,5.0,2012,39514.0,15.25608
RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,2012,147075.0,13.07664
RETAIL PHARMACY,OR,WASHINGTON,9143,71.72,1000.0,1.5,80.0,2006,64918.0,107.58
RETAIL PHARMACY,OR,WASHINGTON,9143,21.5136,4800.0,1.5,5.0,2006,64918.0,32.2704
RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,2006,64918.0,13.4475
RETAIL PHARMACY,OR,WASHINGTON,9143,43.032,1200.0,1.5,40.0,2007,81497.0,64.548
RETAIL PHARMACY,OR,WASHINGTON,9143,17.93,1000.0,1.5,20.0,2007,81497.0,26.895
RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,2007,81497.0,13.4475
RETAIL PHARMACY,OR,WASHINGTON,9143,26.895,1500.0,1.5,20.0,2007,81497.0,40.3425
RETAIL PHARMACY,OR,WASHINGTON,9143,8.965,1000.0,1.5,10.0,2008,87794.0,13.4475
RETAIL PHARMACY,OR,WASHINGTON,9193,8.71776,2880.0,1.0,5.0,2010,60043.0,8.71776
RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,2010,60043.0,14.5296
RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,2011,64836.0,14.5296
RETAIL PHARMACY,OR,WASHINGTON,9193,0.72648,240.0,1.0,5.0,2011,64836.0,0.72648
RETAIL PHARMACY,OR,WASHINGTON,9193,2.17944,720.0,1.0,5.0,2011,64836.0,2.17944
RETAIL PHARMACY,OR,WASHINGTON,9193,14.5296,4800.0,1.0,5.0,2012,63659.0,14.5296
RETAIL PHARMACY,OR,WASHINGTON,9193,1.45296,480.0,1.0,5.0,2012,63659.0,1.45296
RETAIL PHARMACY,OR,WASHINGTON,9193,1.08972,360.0,1.0,5.0,2012,63659.0,1.08972
RETAIL PHARMACY,OR,MULTNOMAH,9143,7.1720000000000015,800.0,1.5,10.0,2006,129887.0,10.758000000000003
RETAIL PHARMACY,OR,MULTNOMAH,9143,14.344,800.0,1.5,20.0,2007,162748.0,21.516
RETAIL PHARMACY,OR,MULTNOMAH,9193,3.6324,1200.0,1.0,5.0,2011,164378.0,3.6324
RETAIL PHARMACY,OR,MULTNOMAH,9143,35.86,500.0,1.5,80.0,2006,129887.0,53.79
RETAIL PHARMACY,OR,MULTNOMAH,9143,21.516,2400.0,1.5,10.0,2006,129887.0,32.274
RETAIL PHARMACY,OR,MULTNOMAH,9143,32.274,3600.0,1.5,10.0,2006,129887.0,48.411
RETAIL PHARMACY,OR,MULTNOMAH,9143,16.137,3600.0,1.5,5.0,2010,208124.0,24.2055
RETAIL PHARMACY,OR,MULTNOMAH,9143,26.895,6000.0,1.5,5.0,2010,208124.0,40.3425
RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,2010,156504.0,13.07664
RETAIL PHARMACY,OR,MULTNOMAH,9193,8.71776,2880.0,1.0,5.0,2011,164378.0,8.71776
RETAIL PHARMACY,OR,MULTNOMAH,9193,13.07664,4320.0,1.0,5.0,2011,164378.0,13.07664
RETAIL PHARMACY,OR,MULTNOMAH,9193,2.17944,720.0,1.0,5.0,2012,147075.0,2.17944
RETAIL PHARMACY,OR,WASHINGTON,9143,5.379,1200.0,1.5,5.0,2006,64918.0,8.0685
RETAIL PHARMACY,OR,WASHINGTON,9143,3.5860000000000003,400.0,1.5,10.0,2007,81497.0,5.3790000000000004
RETAIL PHARMACY,OR,WASHINGTON,9143,5.379,600.0,1.5,10.0,2008,87794.0,8.0685
RETAIL PHARMACY,OR,WASHINGTON,9193,9.081,3000.0,1.0,5.0,2010,60043.0,9.081
RETAIL PHARMACY,OR,WASHINGTON,9143,50.20399999999999,2800.0,1.5,20.0,2006,64918.0,75.30599999999998
RETAIL PHARMACY,OR,WASHINGTON,9193,39.9564,13200.0,1.0,5.0,2010,60043.0,39.9564
RETAIL PHARMACY,OR,WASHINGTON,9193,18.162,6000.0,1.0,5.0,2012,63659.0,18.162
RETAIL PHARMACY,OR,WASHINGTON,9193,27.243,9000.0,1.0,5.0,2012,63659.0,27.243
RETAIL PHARMACY,OR,CLACKAMAS,9143,8.965,1000.0,1.5,10.0,2006,66671.0,13.4475
RETAIL PHARMACY,OR,CLACKAMAS,9193,14.5296,4800.0,1.0,5.0,2011,71451.0,14.5296
RETAIL PHARMACY,OR,CLACKAMAS,9193,21.7944,7200.0,1.0,5.0,2012,64396.0,21.7944
RETAIL PHARMACY,OR,MARION,9143,21.516,600.0,1.5,40.0,2006,35605.0,32.274
RETAIL PHARMACY,OR,MARION,9143,7.1720000000000015,800.0,1.5,10.0,2006,35605.0,10.758000000000003
RETAIL PHARMACY,OR,MARION,9143,2.6895,300.0,1.5,10.0,2006,35605.0,4.03425
RETAIL PHARMACY,OR,MARION,9143,3.5860000000000003,200.0,1.5,20.0,2006,35605.0,5.3790000000000004
RETAIL PHARMACY,OR,MARION,9143,5.379,1200.0,1.5,5.0,2007,43059.0,8.0685
RETAIL PHARMACY,OR,MARION,9143,28.688,400.0,1.5,80.0,2007,43059.0,43.032
RETAIL PHARMACY,OR,MARION,9143,3.5860000000000003,400.0,1.5,10.0,2007,43059.0,5.3790000000000004
RETAIL PHARMACY,OR,MARION,9143,1.793,200.0,1.5,10.0,2007,43059.0,2.6895
RETAIL PHARMACY,OR,MARION,9143,7.1720000000000015,200.0,1.5,40.0,2007,43059.0,10.758000000000003
RETAIL PHARMACY,OR,MARION,9143,28.688,800.0,1.5,40.0,2008,49413.0,43.032
RETAIL PHARMACY,OR,MARION,9143,21.516,600.0,1.5,40.0,2008,49413.0,32.274
RETAIL PHARMACY,OR,MARION,9143,14.344,400.0,1.5,40.0,2008,49413.0,21.516
RETAIL PHARMACY,OR,MARION,9193,36.324,12000.0,1.0,5.0,2010,40027.0,36.324
RETAIL PHARMACY,OR,MULTNOMAH,9143,8.965,500.0,1.5,20.0,2006,129887.0,13.4475
RETAIL PHARMACY,OR,MULTNOMAH,9143,10.758,2400.0,1.5,5.0,2012,192825.0,16.137
RETAIL PHARMACY,OR,MULTNOMAH,9193,4.35888,1440.0,1.0,5.0,2012,147075.0,4.35888
RETAIL PHARMACY,OR,CLACKAMAS,9143,86.064,1200.0,1.5,80.0,2008,94391.0,129.096
RETAIL PHARMACY,OR,CLACKAMAS,9143,64.548,14400.0,1.5,5.0,2010,103118.0,96.822
RETAIL PHARMACY,OR,CLACKAMAS,9193,79.9128,26400.0,1.0,5.0,2010,65380.0,79.9128
RETAIL PHARMACY,OR,CLACKAMAS,9193,21.7944,7200.0,1.0,5.0,2010,65380.0,21.7944
RETAIL PHARMACY,OR,POLK,9143,10.758,2400.0,1.5,5.0,2009,7899.0,16.137
RETAIL PHARMACY,OR,POLK,9193,21.7944,7200.0,1.0,5.0,2011,7484.0,21.7944
