BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,PA,NORTHUMBERLAND,9193,0.136215,30.0,1.0,7.5,2006,4551.0,0.136215
RETAIL PHARMACY,PA,NORTHUMBERLAND,9193,0.45405,100.0,1.0,7.5,2007,5324.0,0.45405
RETAIL PHARMACY,PA,SUSQUEHANNA,9193,13.6215,3000.0,1.0,7.5,2006,1765.0,13.6215
RETAIL PHARMACY,PA,SUSQUEHANNA,9193,1.36215,300.0,1.0,7.5,2006,1765.0,1.36215
RETAIL PHARMACY,PA,PHILADELPHIA,9143,13.446,3000.0,1.5,5.0,2006,199809.0,20.169
RETAIL PHARMACY,PA,LACKAWANNA,9193,2.7243,600.0,1.0,7.5,2006,25708.0,2.7243
RETAIL PHARMACY,PA,LACKAWANNA,9193,27.243,6000.0,1.0,7.5,2006,25708.0,27.243
RETAIL PHARMACY,PA,LANCASTER,9143,2.6895,300.0,1.5,10.0,2006,35269.0,4.03425
RETAIL PHARMACY,PA,LANCASTER,9143,4.03425,300.0,1.5,15.0,2007,41679.0,6.051375
RETAIL PHARMACY,PA,LANCASTER,9143,2.6895,300.0,1.5,10.0,2007,41679.0,4.03425
RETAIL PHARMACY,PA,ALLEGHENY,9143,21.516,300.0,1.5,80.0,2007,153078.0,32.274
RETAIL PHARMACY,PA,NORTHAMPTON,9143,21.516,300.0,1.5,80.0,2007,29440.0,32.274
RETAIL PHARMACY,PA,FAYETTE,9143,0.8965,100.0,1.5,10.0,2007,22884.0,1.34475
RETAIL PHARMACY,PA,PHILADELPHIA,9193,2.27025,500.0,1.0,7.5,2006,54877.0,2.27025
RETAIL PHARMACY,PA,PHILADELPHIA,9193,6.0539999999999985,1000.0,1.0,10.0,2006,54877.0,6.0539999999999985
RETAIL PHARMACY,PA,BUCKS,9193,1.5135,500.0,1.0,5.0,2006,33757.0,1.5135
RETAIL PHARMACY,PA,BUCKS,9193,4.5405,1000.0,1.0,7.5,2006,33757.0,4.5405
RETAIL PHARMACY,PA,BUCKS,9143,21.516,300.0,1.5,80.0,2007,109491.0,32.274
RETAIL PHARMACY,PA,BUCKS,9143,2.6895,300.0,1.5,10.0,2007,109491.0,4.03425
RETAIL PHARMACY,PA,BRADFORD,9143,2.017125,300.0,1.5,7.5,2006,6214.0,3.0256875
RETAIL PHARMACY,PA,BRADFORD,9143,1.34475,200.0,1.5,7.5,2006,6214.0,2.017125
RETAIL PHARMACY,PA,BRADFORD,9143,1.793,100.0,1.5,20.0,2007,6958.0,2.6895
CHAIN PHARMACY,PA,MONTGOMERY,9193,0.27243,60.0,1.0,7.5,2007,55976.0,0.27243
RETAIL PHARMACY,PA,PHILADELPHIA,9193,3.027,500.0,1.0,10.0,2006,54877.0,3.027
RETAIL PHARMACY,PA,ALLEGHENY,9143,3.5860000000000003,100.0,1.5,40.0,2006,139624.0,5.3790000000000004
RETAIL PHARMACY,PA,ALLEGHENY,9143,3.5860000000000003,400.0,1.5,10.0,2007,153078.0,5.3790000000000004
