BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,PR,VEGA BAJA,9193,0.3027,100.0,1.0,5.0,2006,442.0,0.3027
RETAIL PHARMACY,PR,VEGA BAJA,9193,0.9081,200.0,1.0,7.5,2007,400.0,0.9081
RETAIL PHARMACY,PR,HATILLO,9143,0.44825,100.0,1.5,5.0,2006,885.0,0.672375
RETAIL PHARMACY,PR,HATILLO,9193,0.45405,100.0,1.0,7.5,2006,155.0,0.45405
RETAIL PHARMACY,PR,PENUELAS,9143,3.5860000000000003,400.0,1.5,10.0,2007,80.0,5.3790000000000004
RETAIL PHARMACY,PR,PENUELAS,9193,0.3027,100.0,1.0,5.0,2007,55.0,0.3027
RETAIL PHARMACY,PR,MANATI,9193,0.6054,100.0,1.0,10.0,2007,200.0,0.6054
RETAIL PHARMACY,PR,TRUJILLO ALTO,9193,0.45405,100.0,1.0,7.5,2006,147.0,0.45405
RETAIL PHARMACY,PR,LAS PIEDRAS,9193,0.6054,100.0,1.0,10.0,2007,109.0,0.6054
RETAIL PHARMACY,PR,FAJARDO,9143,4.4825,1000.0,1.5,5.0,2006,911.0,6.72375
RETAIL PHARMACY,PR,FAJARDO,9193,0.45405,100.0,1.0,7.5,2006,140.0,0.45405
RETAIL PHARMACY,PR,CANOVANAS,9143,7.1720000000000015,200.0,1.5,40.0,2006,244.0,10.758000000000003
RETAIL PHARMACY,PR,CANOVANAS,9143,3.5860000000000003,400.0,1.5,10.0,2006,244.0,5.3790000000000004
RETAIL PHARMACY,PR,CANOVANAS,9143,0.8965,200.0,1.5,5.0,2007,180.0,1.34475
RETAIL PHARMACY,PR,YABUCOA,9143,8.964,2000.0,1.5,5.0,2006,558.0,13.446000000000002
RETAIL PHARMACY,PR,LUQUILLO,9193,0.6054,200.0,1.0,5.0,2006,143.0,0.6054
RETAIL PHARMACY,PR,BAYAMON,9193,0.45405,100.0,1.0,7.5,2007,534.0,0.45405
RETAIL PHARMACY,PR,TOA BAJA,9143,22.41,5000.0,1.5,5.0,2006,1738.0,33.615
RETAIL PHARMACY,PR,COMERIO,9193,0.45405,100.0,1.0,7.5,2006,58.0,0.45405
RETAIL PHARMACY,PR,MAYAGUEZ,9143,4.482,1000.0,1.5,5.0,2006,762.0,6.723000000000001
RETAIL PHARMACY,PR,VEGA BAJA,9143,22.41,5000.0,1.5,5.0,2007,848.0,33.615
RETAIL PHARMACY,PR,ISABELA,9143,4.482,1000.0,1.5,5.0,2007,582.0,6.723000000000001
RETAIL PHARMACY,PR,BARCELONETA,9143,8.965,2000.0,1.5,5.0,2007,487.0,13.4475
