BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
CHAIN PHARMACY,RI,WASHINGTON,9193,0.6054,100.0,1.0,10.0,2007,8583.0,0.6054
CHAIN PHARMACY,RI,WASHINGTON,9193,0.6054,100.0,1.0,10.0,2008,9920.0,0.6054
CHAIN PHARMACY,RI,WASHINGTON,9193,0.3027,100.0,1.0,5.0,2008,9920.0,0.3027
CHAIN PHARMACY,RI,WASHINGTON,9193,0.45405,100.0,1.0,7.5,2009,10342.0,0.45405
CHAIN PHARMACY,RI,PROVIDENCE,9193,1.5135,500.0,1.0,5.0,2008,41471.0,1.5135
CHAIN PHARMACY,RI,PROVIDENCE,9193,1.5135,500.0,1.0,5.0,2010,40465.0,1.5135
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.3027,100.0,1.0,5.0,2011,44442.0,0.3027
CHAIN PHARMACY,RI,PROVIDENCE,9193,1.5135,500.0,1.0,5.0,2012,44627.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,0.6054,100.0,1.0,10.0,2007,4128.0,0.6054
CHAIN PHARMACY,RI,NEWPORT,9193,0.6054,100.0,1.0,10.0,2008,4488.0,0.6054
CHAIN PHARMACY,RI,NEWPORT,9193,1.5135,500.0,1.0,5.0,2008,4488.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,1.2108,200.0,1.0,10.0,2009,4509.0,1.2108
CHAIN PHARMACY,RI,NEWPORT,9193,1.5135,500.0,1.0,5.0,2009,4509.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,0.6054,100.0,1.0,10.0,2009,4509.0,0.6054
CHAIN PHARMACY,RI,NEWPORT,9193,2.27025,500.0,1.0,7.5,2010,4265.0,2.27025
CHAIN PHARMACY,RI,NEWPORT,9193,1.5135,500.0,1.0,5.0,2010,4265.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,0.3027,100.0,1.0,5.0,2010,4265.0,0.3027
CHAIN PHARMACY,RI,NEWPORT,9193,0.45405,100.0,1.0,7.5,2011,4983.0,0.45405
CHAIN PHARMACY,RI,NEWPORT,9193,1.5135,500.0,1.0,5.0,2011,4983.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,0.6054,100.0,1.0,10.0,2011,4983.0,0.6054
CHAIN PHARMACY,RI,NEWPORT,9193,2.27025,500.0,1.0,7.5,2011,4983.0,2.27025
CHAIN PHARMACY,RI,NEWPORT,9193,1.5135,500.0,1.0,5.0,2012,5152.0,1.5135
CHAIN PHARMACY,RI,NEWPORT,9193,0.9081,200.0,1.0,7.5,2012,5152.0,0.9081
CHAIN PHARMACY,RI,KENT,9193,2.27025,500.0,1.0,7.5,2006,17012.0,2.27025
CHAIN PHARMACY,RI,KENT,9193,1.5135,500.0,1.0,5.0,2008,17017.0,1.5135
CHAIN PHARMACY,RI,KENT,9193,0.45405,100.0,1.0,7.5,2009,23214.0,0.45405
CHAIN PHARMACY,RI,KENT,9193,0.6054,100.0,1.0,10.0,2009,23214.0,0.6054
CHAIN PHARMACY,RI,KENT,9193,1.5135,500.0,1.0,5.0,2010,26832.0,1.5135
CHAIN PHARMACY,RI,KENT,9193,0.45405,100.0,1.0,7.5,2010,26832.0,0.45405
CHAIN PHARMACY,RI,KENT,9193,0.3027,100.0,1.0,5.0,2012,27549.0,0.3027
CHAIN PHARMACY,RI,KENT,9193,0.6054,100.0,1.0,10.0,2012,27549.0,0.6054
CHAIN PHARMACY,RI,KENT,9193,1.5135,500.0,1.0,5.0,2012,27549.0,1.5135
CHAIN PHARMACY,RI,PROVIDENCE,9193,2.27025,500.0,1.0,7.5,2006,32809.0,2.27025
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.45405,100.0,1.0,7.5,2006,32809.0,0.45405
CHAIN PHARMACY,RI,PROVIDENCE,9193,1.2108,200.0,1.0,10.0,2006,32809.0,1.2108
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.45405,100.0,1.0,7.5,2007,39177.0,0.45405
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.6054,100.0,1.0,10.0,2007,39177.0,0.6054
CHAIN PHARMACY,RI,PROVIDENCE,9193,2.27025,500.0,1.0,7.5,2008,41471.0,2.27025
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.3027,100.0,1.0,5.0,2008,41471.0,0.3027
CHAIN PHARMACY,RI,PROVIDENCE,9193,1.2108,200.0,1.0,10.0,2010,40465.0,1.2108
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.6054,100.0,1.0,10.0,2011,44442.0,0.6054
CHAIN PHARMACY,RI,PROVIDENCE,9193,3.027,1000.0,1.0,5.0,2011,44442.0,3.027
CHAIN PHARMACY,RI,PROVIDENCE,9193,2.27025,500.0,1.0,7.5,2011,44442.0,2.27025
CHAIN PHARMACY,RI,PROVIDENCE,9193,0.6054,100.0,1.0,10.0,2012,44627.0,0.6054
CHAIN PHARMACY,RI,WASHINGTON,9193,0.6054,100.0,1.0,10.0,2006,6339.0,0.6054
CHAIN PHARMACY,RI,WASHINGTON,9193,2.27025,500.0,1.0,7.5,2007,8583.0,2.27025
