BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,SC,HORRY,9193,3.027,500.0,1.0,10.0,2009,48821.0,3.027
RETAIL PHARMACY,SC,HORRY,9193,2.27025,500.0,1.0,7.5,2011,57153.0,2.27025
RETAIL PHARMACY,SC,YORK,9193,2.27025,500.0,1.0,7.5,2008,16966.0,2.27025
RETAIL PHARMACY,SC,HORRY,9143,1.4387219999999998,300.0,1.5,5.35,2006,34698.0,2.1580829999999995
RETAIL PHARMACY,SC,HORRY,9143,0.959148,200.0,1.5,5.35,2006,34698.0,1.438722
RETAIL PHARMACY,SC,HORRY,9143,4.03425,300.0,1.5,15.0,2007,41320.0,6.051375
RETAIL PHARMACY,SC,HORRY,9143,2.241,500.0,1.5,5.0,2007,41320.0,3.3615000000000004
RETAIL PHARMACY,SC,HORRY,9143,7.1720000000000015,200.0,1.5,40.0,2007,41320.0,10.758000000000003
RETAIL PHARMACY,SC,HORRY,9143,6.72375,500.0,1.5,15.0,2007,41320.0,10.085625
RETAIL PHARMACY,SC,HORRY,9143,2.241,500.0,1.5,5.0,2008,46701.0,3.3615000000000004
RETAIL PHARMACY,SC,HORRY,9143,2.6895,300.0,1.5,10.0,2008,46701.0,4.03425
RETAIL PHARMACY,SC,HORRY,9193,0.45405,100.0,1.0,7.5,2008,44235.0,0.45405
RETAIL PHARMACY,SC,HORRY,9143,0.8965,200.0,1.5,5.0,2009,57790.0,1.34475
RETAIL PHARMACY,SC,MARION,9143,0.44825,100.0,1.5,5.0,2006,3820.0,0.672375
RETAIL PHARMACY,SC,MARION,9193,3.027,500.0,1.0,10.0,2006,3611.0,3.027
RETAIL PHARMACY,SC,MARION,9143,7.1720000000000015,200.0,1.5,40.0,2006,3820.0,10.758000000000003
RETAIL PHARMACY,SC,MARION,9143,4.482,1000.0,1.5,5.0,2006,3820.0,6.723000000000001
RETAIL PHARMACY,SC,MARION,9143,2.017125,300.0,1.5,7.5,2006,3820.0,3.0256875
RETAIL PHARMACY,SC,MARION,9143,1.793,100.0,1.5,20.0,2006,3820.0,2.6895
RETAIL PHARMACY,SC,MARION,9143,0.8965,100.0,1.5,10.0,2006,3820.0,1.34475
RETAIL PHARMACY,SC,MARION,9143,2.241,500.0,1.5,5.0,2007,3863.0,3.3615000000000004
