BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,SD,PENNINGTON,9143,8.0685,300.0,1.5,30.0,2007,8641.0,12.10275
RETAIL PHARMACY,SD,PENNINGTON,9193,0.45405,100.0,1.0,7.5,2007,5846.0,0.45405
RETAIL PHARMACY,SD,PENNINGTON,9143,0.8965,100.0,1.5,10.0,2008,7483.0,1.34475
RETAIL PHARMACY,SD,PENNINGTON,9193,1.5135,500.0,1.0,5.0,2009,7316.0,1.5135
RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,2009,8169.0,0.672375
RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,2009,8169.0,3.361875
RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,2007,8641.0,3.361875
RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,2007,5846.0,0.3027
RETAIL PHARMACY,SD,PENNINGTON,9143,2.6895,200.0,1.5,15.0,2008,7483.0,4.03425
RETAIL PHARMACY,SD,PENNINGTON,9193,0.45405,100.0,1.0,7.5,2008,6861.0,0.45405
RETAIL PHARMACY,SD,PENNINGTON,9143,3.5860000000000003,100.0,1.5,40.0,2008,7483.0,5.3790000000000004
RETAIL PHARMACY,SD,PENNINGTON,9143,0.44825,100.0,1.5,5.0,2008,7483.0,0.672375
RETAIL PHARMACY,SD,PENNINGTON,9193,1.5135,500.0,1.0,5.0,2008,6861.0,1.5135
RETAIL PHARMACY,SD,PENNINGTON,9143,2.24125,500.0,1.5,5.0,2008,7483.0,3.361875
RETAIL PHARMACY,SD,PENNINGTON,9143,8.965,500.0,1.5,20.0,2008,7483.0,13.4475
RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,2008,6861.0,0.3027
RETAIL PHARMACY,SD,PENNINGTON,9143,1.793,100.0,1.5,20.0,2008,7483.0,2.6895
RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,100.0,1.0,10.0,2008,6861.0,0.6054
RETAIL PHARMACY,SD,PENNINGTON,9143,13.4475,3000.0,1.5,5.0,2009,8169.0,20.17125
RETAIL PHARMACY,SD,PENNINGTON,9143,1.793,400.0,1.5,5.0,2009,8169.0,2.6895
RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,2009,7316.0,0.3027
RETAIL PHARMACY,SD,PENNINGTON,9193,3.027,500.0,1.0,10.0,2009,7316.0,3.027
RETAIL PHARMACY,SD,PENNINGTON,9143,7.1720000000000015,100.0,1.5,80.0,2009,8169.0,10.758000000000003
RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,100.0,1.0,10.0,2009,7316.0,0.6054
RETAIL PHARMACY,SD,PENNINGTON,9193,3.027,1000.0,1.0,5.0,2010,7791.0,3.027
RETAIL PHARMACY,SD,PENNINGTON,9143,0.8965,200.0,1.5,5.0,2010,9924.0,1.34475
RETAIL PHARMACY,SD,PENNINGTON,9193,0.3027,100.0,1.0,5.0,2010,7791.0,0.3027
RETAIL PHARMACY,SD,CODINGTON,9193,1.2108,200.0,1.0,10.0,2007,2379.0,1.2108
RETAIL PHARMACY,SD,CODINGTON,9143,0.4482,100.0,1.5,5.0,2008,1373.0,0.6723
RETAIL PHARMACY,SD,CODINGTON,9143,0.44825,100.0,1.5,5.0,2008,1373.0,0.672375
RETAIL PHARMACY,SD,CODINGTON,9143,0.44825,100.0,1.5,5.0,2009,1697.0,0.672375
RETAIL PHARMACY,SD,CODINGTON,9193,1.2108,200.0,1.0,10.0,2009,2935.0,1.2108
RETAIL PHARMACY,SD,BROWN,9143,2.6895,400.0,1.5,7.5,2007,1751.0,4.03425
RETAIL PHARMACY,SD,BROWN,9193,0.6054,100.0,1.0,10.0,2009,2955.0,0.6054
RETAIL PHARMACY,SD,PENNINGTON,9193,1.2108,200.0,1.0,10.0,2008,6861.0,1.2108
RETAIL PHARMACY,SD,PENNINGTON,9193,2.27025,500.0,1.0,7.5,2008,6861.0,2.27025
RETAIL PHARMACY,SD,PENNINGTON,9143,3.5860000000000003,200.0,1.5,20.0,2009,8169.0,5.3790000000000004
RETAIL PHARMACY,SD,PENNINGTON,9193,0.6054,100.0,1.0,10.0,2010,7791.0,0.6054
RETAIL PHARMACY,SD,BROWN,9193,0.45405,100.0,1.0,7.5,2012,3332.0,0.45405
RETAIL PHARMACY,SD,BRULE,9193,3.027,1000.0,1.0,5.0,2012,406.0,3.027
RETAIL PHARMACY,SD,BRULE,9193,1.5135,500.0,1.0,5.0,2012,406.0,1.5135
RETAIL PHARMACY,SD,MINNEHAHA,9143,4.03425,300.0,1.5,15.0,2007,12050.0,6.051375
RETAIL PHARMACY,SD,MCCOOK,9143,0.8965,100.0,1.5,10.0,2011,109.0,1.34475
RETAIL PHARMACY,SD,MCCOOK,9143,2.24125,500.0,1.5,5.0,2011,109.0,3.361875
RETAIL PHARMACY,SD,MCCOOK,9193,0.6054,100.0,1.0,10.0,2011,163.0,0.6054
RETAIL PHARMACY,SD,MCCOOK,9193,0.45405,100.0,1.0,7.5,2011,163.0,0.45405
RETAIL PHARMACY,SD,MCCOOK,9193,1.5135,500.0,1.0,5.0,2011,163.0,1.5135
RETAIL PHARMACY,SD,MCCOOK,9193,1.5135,500.0,1.0,5.0,2012,248.0,1.5135
RETAIL PHARMACY,SD,MINNEHAHA,9193,0.9081,300.0,1.0,5.0,2007,13632.0,0.9081
RETAIL PHARMACY,SD,MINNEHAHA,9193,0.6054,200.0,1.0,5.0,2007,13632.0,0.6054
RETAIL PHARMACY,SD,MINNEHAHA,9193,6.0539999999999985,1000.0,1.0,10.0,2006,11649.0,6.0539999999999985
RETAIL PHARMACY,SD,MINNEHAHA,9193,3.027,500.0,1.0,10.0,2007,13632.0,3.027
RETAIL PHARMACY,SD,MINNEHAHA,9193,4.5405,1500.0,1.0,5.0,2009,25889.0,4.5405
RETAIL PHARMACY,SD,MINNEHAHA,9193,3.027,1000.0,1.0,5.0,2009,25889.0,3.027
RETAIL PHARMACY,SD,MINNEHAHA,9193,1.36215,300.0,1.0,7.5,2009,25889.0,1.36215
RETAIL PHARMACY,SD,CLAY,9143,1.793,200.0,1.5,10.0,2006,341.0,2.6895
