BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,UT,WEBER,9193,3.027,500.0,1.0,10.0,2007,22141.0,3.027
RETAIL PHARMACY,UT,GRAND,9193,2.4216,400.0,1.0,10.0,2006,813.0,2.4216
RETAIL PHARMACY,UT,GRAND,9193,2.27025,500.0,1.0,7.5,2006,813.0,2.27025
RETAIL PHARMACY,UT,GRAND,9193,0.3027,100.0,1.0,5.0,2006,813.0,0.3027
RETAIL PHARMACY,UT,GRAND,9143,14.344,200.0,1.5,80.0,2006,696.0,21.516
RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,2006,813.0,3.027
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2007,919.0,1.5135
RETAIL PHARMACY,UT,GRAND,9193,12.108,4000.0,1.0,5.0,2007,919.0,12.108
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,2007,712.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9143,1.793,200.0,1.5,10.0,2007,712.0,2.6895
RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,2007,919.0,3.027
RETAIL PHARMACY,UT,GRAND,9193,1.36215,300.0,1.0,7.5,2007,919.0,1.36215
RETAIL PHARMACY,UT,GRAND,9193,2.27025,500.0,1.0,7.5,2007,919.0,2.27025
RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,2008,1023.0,3.027
RETAIL PHARMACY,UT,GRAND,9143,2.6895,100.0,1.5,30.0,2008,818.0,4.03425
RETAIL PHARMACY,UT,GRAND,9143,4.4825,1000.0,1.5,5.0,2008,818.0,6.72375
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,400.0,1.5,10.0,2008,818.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9143,1.793,200.0,1.5,10.0,2008,818.0,2.6895
RETAIL PHARMACY,UT,GRAND,9193,6.0539999999999985,1000.0,1.0,10.0,2008,1023.0,6.0539999999999985
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2008,1023.0,1.5135
RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,2009,1104.0,3.027
RETAIL PHARMACY,UT,GRAND,9143,2.24125,500.0,1.5,5.0,2009,974.0,3.361875
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,400.0,1.5,10.0,2009,974.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9143,1.34475,300.0,1.5,5.0,2009,974.0,2.017125
RETAIL PHARMACY,UT,GRAND,9143,4.03425,300.0,1.5,15.0,2009,974.0,6.051375
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2009,1104.0,1.5135
RETAIL PHARMACY,UT,GRAND,9193,0.45405,100.0,1.0,7.5,2009,1104.0,0.45405
RETAIL PHARMACY,UT,GRAND,9193,6.0539999999999985,1000.0,1.0,10.0,2009,1104.0,6.0539999999999985
RETAIL PHARMACY,UT,GRAND,9143,2.6895,100.0,1.5,30.0,2009,974.0,4.03425
RETAIL PHARMACY,UT,GRAND,9143,1.34475,200.0,1.5,7.5,2010,1226.0,2.017125
RETAIL PHARMACY,UT,GRAND,9143,7.1720000000000015,800.0,1.5,10.0,2010,1226.0,10.758000000000003
RETAIL PHARMACY,UT,GRAND,9193,3.027,500.0,1.0,10.0,2010,1462.0,3.027
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,2010,1226.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2010,1462.0,1.5135
RETAIL PHARMACY,UT,GRAND,9143,0.403425,100.0,1.5,,2010,1226.0,0.6051375
RETAIL PHARMACY,UT,GRAND,9143,2.6895,600.0,1.5,5.0,2010,1226.0,4.03425
RETAIL PHARMACY,UT,GRAND,9143,0.403425,100.0,1.5,,2011,1872.0,0.6051375
RETAIL PHARMACY,UT,GRAND,9193,1.36215,300.0,1.0,7.5,2011,1618.0,1.36215
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2011,1618.0,1.5135
RETAIL PHARMACY,UT,GRAND,9143,0.672375,100.0,1.5,7.5,2011,1872.0,1.0085625
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,100.0,1.5,40.0,2011,1872.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9143,4.03425,300.0,1.5,15.0,2011,1872.0,6.051375
RETAIL PHARMACY,UT,GRAND,9193,0.45405,100.0,1.0,7.5,2011,1618.0,0.45405
RETAIL PHARMACY,UT,GRAND,9143,1.34475,300.0,1.5,5.0,2011,1872.0,2.017125
RETAIL PHARMACY,UT,GRAND,9143,2.6895,200.0,1.5,15.0,2011,1872.0,4.03425
RETAIL PHARMACY,UT,GRAND,9143,8.965,500.0,1.5,20.0,2011,1872.0,13.4475
RETAIL PHARMACY,UT,GRAND,9143,0.8965,100.0,1.5,10.0,2011,1872.0,1.34475
RETAIL PHARMACY,UT,GRAND,9143,1.793,100.0,1.5,20.0,2011,1872.0,2.6895
RETAIL PHARMACY,UT,GRAND,9143,10.758,1200.0,1.5,10.0,2012,1475.0,16.137
RETAIL PHARMACY,UT,GRAND,9143,0.672375,100.0,1.5,7.5,2012,1475.0,1.0085625
RETAIL PHARMACY,UT,GRAND,9193,2.27025,500.0,1.0,7.5,2012,1470.0,2.27025
RETAIL PHARMACY,UT,GRAND,9143,3.5860000000000003,400.0,1.5,10.0,2012,1475.0,5.3790000000000004
RETAIL PHARMACY,UT,GRAND,9193,1.5135,500.0,1.0,5.0,2012,1470.0,1.5135
RETAIL PHARMACY,UT,GRAND,9143,2.017125,300.0,1.5,7.5,2012,1475.0,3.0256875
RETAIL PHARMACY,UT,GRAND,9193,6.0539999999999985,1000.0,1.0,10.0,2012,1470.0,6.0539999999999985
CHAIN PHARMACY,UT,UTAH,9143,1.793,200.0,1.5,10.0,2006,41729.0,2.6895
CHAIN PHARMACY,UT,UTAH,9143,2.6895,300.0,1.5,10.0,2006,41729.0,4.03425
CHAIN PHARMACY,UT,UTAH,9143,3.5860000000000003,200.0,1.5,20.0,2006,41729.0,5.3790000000000004
CHAIN PHARMACY,UT,UTAH,9143,0.672375,100.0,1.5,7.5,2006,41729.0,1.0085625
CHAIN PHARMACY,UT,UTAH,9143,0.8965,100.0,1.5,10.0,2006,41729.0,1.34475
CHAIN PHARMACY,UT,UTAH,9193,0.45405,100.0,1.0,7.5,2006,33388.0,0.45405
CHAIN PHARMACY,UT,UTAH,9143,1.793,200.0,1.5,10.0,2007,48976.0,2.6895
CHAIN PHARMACY,UT,UTAH,9143,3.5860000000000003,100.0,1.5,40.0,2007,48976.0,5.3790000000000004
CHAIN PHARMACY,UT,UTAH,9143,4.03425,300.0,1.5,15.0,2007,48976.0,6.051375
CHAIN PHARMACY,UT,UTAH,9143,5.379,200.0,1.5,30.0,2007,48976.0,8.0685
