BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,VT,LAMOILLE,9193,0.45405,100.0,1.0,7.5,2006,1197.0,0.45405
RETAIL PHARMACY,VT,LAMOILLE,9193,1.5135,500.0,1.0,5.0,2006,1197.0,1.5135
CHAIN PHARMACY,VT,FRANKLIN,9193,3.027,1000.0,1.0,5.0,2006,3837.0,3.027
CHAIN PHARMACY,VT,FRANKLIN,9193,1.2108,200.0,1.0,10.0,2006,3837.0,1.2108
CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,2006,3837.0,0.9081
CHAIN PHARMACY,VT,FRANKLIN,9193,1.8162,300.0,1.0,10.0,2006,3837.0,1.8162
CHAIN PHARMACY,VT,FRANKLIN,9193,9.081,1500.0,1.0,10.0,2006,3837.0,9.081
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2006,3837.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,1.36215,300.0,1.0,7.5,2007,4580.0,1.36215
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2007,4580.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,4.5405,1500.0,1.0,5.0,2008,4895.0,4.5405
CHAIN PHARMACY,VT,FRANKLIN,9193,3.6324,600.0,1.0,10.0,2008,4895.0,3.6324
CHAIN PHARMACY,VT,FRANKLIN,9193,2.4216,400.0,1.0,10.0,2008,4895.0,2.4216
CHAIN PHARMACY,VT,FRANKLIN,9193,10.2918,1700.0,1.0,10.0,2008,4895.0,10.2918
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2009,4735.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,1.8162,400.0,1.0,7.5,2009,4735.0,1.8162
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2010,4901.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,1.8162,400.0,1.0,7.5,2010,4901.0,1.8162
CHAIN PHARMACY,VT,FRANKLIN,9193,9.081,1500.0,1.0,10.0,2010,4901.0,9.081
CHAIN PHARMACY,VT,FRANKLIN,9193,7.2648,1200.0,1.0,10.0,2010,4901.0,7.2648
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2011,4320.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,2011,4320.0,0.9081
CHAIN PHARMACY,VT,FRANKLIN,9193,4.5405,1500.0,1.0,5.0,2011,4320.0,4.5405
CHAIN PHARMACY,VT,FRANKLIN,9193,2.27025,500.0,1.0,7.5,2012,4301.0,2.27025
CHAIN PHARMACY,VT,FRANKLIN,9193,0.9081,200.0,1.0,7.5,2012,4301.0,0.9081
CHAIN PHARMACY,VT,FRANKLIN,9193,0.45405,100.0,1.0,7.5,2012,4301.0,0.45405
CHAIN PHARMACY,VT,FRANKLIN,9193,3.027,500.0,1.0,10.0,2012,4301.0,3.027
CHAIN PHARMACY,VT,LAMOILLE,9193,3.027,1000.0,1.0,5.0,2006,1197.0,3.027
CHAIN PHARMACY,VT,LAMOILLE,9193,4.5405,1500.0,1.0,5.0,2006,1197.0,4.5405
CHAIN PHARMACY,VT,LAMOILLE,9193,2.27025,500.0,1.0,7.5,2006,1197.0,2.27025
CHAIN PHARMACY,VT,LAMOILLE,9193,1.2108,200.0,1.0,10.0,2006,1197.0,1.2108
CHAIN PHARMACY,VT,LAMOILLE,9193,2.4216,400.0,1.0,10.0,2007,1566.0,2.4216
CHAIN PHARMACY,VT,LAMOILLE,9193,2.27025,500.0,1.0,7.5,2007,1566.0,2.27025
CHAIN PHARMACY,VT,LAMOILLE,9193,2.4216,400.0,1.0,10.0,2008,2267.0,2.4216
CHAIN PHARMACY,VT,LAMOILLE,9193,5.4486,1200.0,1.0,7.5,2008,2267.0,5.4486
CHAIN PHARMACY,VT,LAMOILLE,9193,3.6324,800.0,1.0,7.5,2008,2267.0,3.6324
