BUYER_BUS_ACT,BUYER_STATE,BUYER_COUNTY,DRUG_CODE,CALC_BASE_WT_IN_GM,DOSAGE_UNIT,MME_Conversion_Factor,dos_str,year,quantity,MME
RETAIL PHARMACY,WA,CLALLAM,9193,3.6324,800.0,1.0,7.5,2006,9430.0,3.6324
RETAIL PHARMACY,WA,CLALLAM,9193,0.3027,100.0,1.0,5.0,2006,9430.0,0.3027
RETAIL PHARMACY,WA,PIERCE,9143,5.379,300.0,1.5,20.0,2007,127787.0,8.0685
RETAIL PHARMACY,WA,SPOKANE,9193,3.027,500.0,1.0,10.0,2006,79599.0,3.027
RETAIL PHARMACY,WA,SPOKANE,9193,3.027,500.0,1.0,10.0,2007,76658.0,3.027
RETAIL PHARMACY,WA,SPOKANE,9193,4.5405,1000.0,1.0,7.5,2007,76658.0,4.5405
CHAIN PHARMACY,WA,DOUGLAS,9193,0.45405,100.0,1.0,7.5,2006,2413.0,0.45405
CHAIN PHARMACY,WA,DOUGLAS,9193,0.9081,200.0,1.0,7.5,2006,2413.0,0.9081
RETAIL PHARMACY,WA,CLALLAM,9193,2.27025,500.0,1.0,7.5,2012,10874.0,2.27025
PRACTITIONER,WA,PIERCE,9193,3.027,500.0,1.0,10.0,2007,56354.0,3.027
PRACTITIONER,WA,KING,9193,3.027,500.0,1.0,10.0,2007,134413.0,3.027
PRACTITIONER,WA,SPOKANE,9193,0.45405,100.0,1.0,7.5,2006,79599.0,0.45405
PRACTITIONER,WA,SPOKANE,9193,0.9081,300.0,1.0,5.0,2006,79599.0,0.9081
PRACTITIONER,WA,SPOKANE,9193,0.36324,80.0,1.0,7.5,2006,79599.0,0.36324
PRACTITIONER,WA,SPOKANE,9193,0.12108,40.0,1.0,5.0,2006,79599.0,0.12108
PRACTITIONER,WA,SPOKANE,9193,0.6054,200.0,1.0,5.0,2007,76658.0,0.6054
RETAIL PHARMACY,WA,CLARK,9143,32.2704,7200.0,1.5,5.0,2006,58288.0,48.40560000000001
RETAIL PHARMACY,WA,CLARK,9193,2.90592,960.0,1.0,5.0,2012,52384.0,2.90592
RETAIL PHARMACY,WA,COWLITZ,9143,43.032,1200.0,1.5,40.0,2006,26881.0,64.548
RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,1.5,10.0,2006,26881.0,16.137
RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,1.5,10.0,2007,31505.0,16.137
RETAIL PHARMACY,WA,COWLITZ,9143,57.37600000000001,800.0,1.5,80.0,2007,31505.0,86.06400000000002
RETAIL PHARMACY,WA,COWLITZ,9143,43.032,2400.0,1.5,20.0,2007,31505.0,64.548
RETAIL PHARMACY,WA,COWLITZ,9143,43.032,2400.0,1.5,20.0,2008,35242.0,64.548
RETAIL PHARMACY,WA,COWLITZ,9143,21.516,1200.0,1.5,20.0,2008,35242.0,32.274
RETAIL PHARMACY,WA,COWLITZ,9143,10.758,1200.0,1.5,10.0,2008,35242.0,16.137
RETAIL PHARMACY,WA,COWLITZ,9143,215.16,6000.0,1.5,40.0,2008,35242.0,322.74
RETAIL PHARMACY,WA,COWLITZ,9193,4.8432,1600.0,1.0,5.0,2010,22267.0,4.8432
RETAIL PHARMACY,WA,COWLITZ,9193,0.6054,200.0,1.0,5.0,2010,22267.0,0.6054
RETAIL PHARMACY,WA,COWLITZ,9193,65.3832,21600.0,1.0,5.0,2011,24697.0,65.3832
RETAIL PHARMACY,WA,CLARK,9143,21.5136,4800.0,1.5,5.0,2006,58288.0,32.2704
RETAIL PHARMACY,WA,CLARK,9143,21.5136,4800.0,1.5,5.0,2007,81575.0,32.2704
RETAIL PHARMACY,WA,CLARK,9143,8.965,1000.0,1.5,10.0,2007,81575.0,13.4475
RETAIL PHARMACY,WA,CLARK,9143,53.79,3000.0,1.5,20.0,2007,81575.0,80.685
RETAIL PHARMACY,WA,CLARK,9143,32.274,7200.0,1.5,5.0,2010,86914.0,48.411
RETAIL PHARMACY,WA,CLARK,9193,72.648,24000.0,1.0,5.0,2011,55882.0,72.648
RETAIL PHARMACY,WA,CLARK,9193,17.43552,5760.0,1.0,5.0,2011,55882.0,17.43552
RETAIL PHARMACY,WA,CLARK,9193,69.0156,22800.0,1.0,5.0,2012,52384.0,69.0156
RETAIL PHARMACY,WA,CLARK,9143,43.032,1200.0,1.5,40.0,2006,58288.0,64.548
RETAIL PHARMACY,WA,CLARK,9143,16.1352,3600.0,1.5,5.0,2006,58288.0,24.202800000000003
RETAIL PHARMACY,WA,CLARK,9143,21.516,1200.0,1.5,20.0,2006,58288.0,32.274
RETAIL PHARMACY,WA,CLARK,9143,13.446,3000.0,1.5,5.0,2006,58288.0,20.169
RETAIL PHARMACY,WA,CLARK,9143,71.72,2000.0,1.5,40.0,2006,58288.0,107.58
RETAIL PHARMACY,WA,CLARK,9143,14.344,800.0,1.5,20.0,2007,81575.0,21.516
RETAIL PHARMACY,WA,CLARK,9143,43.032,1200.0,1.5,40.0,2007,81575.0,64.548
RETAIL PHARMACY,WA,CLARK,9143,16.137,1800.0,1.5,10.0,2007,81575.0,24.2055
RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,1.0,5.0,2010,53249.0,26.15328
RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,1.0,5.0,2011,55882.0,26.15328
RETAIL PHARMACY,WA,CLARK,9193,26.15328,8640.0,1.0,5.0,2012,52384.0,26.15328
RETAIL PHARMACY,WA,CLARK,9143,172.128,2400.0,1.5,80.0,2007,81575.0,258.192
RETAIL PHARMACY,WA,CLARK,9143,21.516,2400.0,1.5,10.0,2007,81575.0,32.274
RETAIL PHARMACY,WA,CLARK,9143,43.032,2400.0,1.5,20.0,2008,113021.0,64.548
RETAIL PHARMACY,WA,CLARK,9193,43.5888,14400.0,1.0,5.0,2011,55882.0,43.5888
CHAIN PHARMACY,WA,MASON,9193,1.5135,500.0,1.0,5.0,2012,5485.0,1.5135
CHAIN PHARMACY,WA,YAKIMA,9193,1.5135,500.0,1.0,5.0,2006,14837.0,1.5135
CHAIN PHARMACY,WA,YAKIMA,9143,3.13775,700.0,1.5,5.0,2006,15611.0,4.706625
CHAIN PHARMACY,WA,YAKIMA,9143,1.793,100.0,1.5,20.0,2006,15611.0,2.6895
CHAIN PHARMACY,WA,YAKIMA,9143,0.44825,100.0,1.5,5.0,2006,15611.0,0.672375
CHAIN PHARMACY,WA,YAKIMA,9143,0.8965,200.0,1.5,5.0,2006,15611.0,1.34475
CHAIN PHARMACY,WA,YAKIMA,9143,3.5860000000000003,400.0,1.5,10.0,2006,15611.0,5.3790000000000004
CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,1000.0,1.5,5.0,2007,17711.0,6.72375
CHAIN PHARMACY,WA,YAKIMA,9143,1.34475,200.0,1.5,7.5,2007,17711.0,2.017125
CHAIN PHARMACY,WA,YAKIMA,9143,3.5860000000000003,200.0,1.5,20.0,2007,17711.0,5.3790000000000004
CHAIN PHARMACY,WA,YAKIMA,9193,0.45405,100.0,1.0,7.5,2007,15555.0,0.45405
CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,500.0,1.5,10.0,2008,19949.0,6.72375
CHAIN PHARMACY,WA,YAKIMA,9143,7.1720000000000015,200.0,1.5,40.0,2008,19949.0,10.758000000000003
CHAIN PHARMACY,WA,YAKIMA,9143,0.403425,100.0,1.5,,2011,34364.0,0.6051375
CHAIN PHARMACY,WA,YAKIMA,9143,4.4825,500.0,1.5,10.0,2011,34364.0,6.72375
CHAIN PHARMACY,WA,YAKIMA,9143,0.8965,100.0,1.5,10.0,2012,38139.0,1.34475
CHAIN PHARMACY,WA,YAKIMA,9193,0.3027,100.0,1.0,5.0,2012,26145.0,0.3027
CHAIN PHARMACY,WA,BENTON,9143,1.793,400.0,1.5,5.0,2006,15028.0,2.6895
CHAIN PHARMACY,WA,BENTON,9143,3.5860000000000003,200.0,1.5,20.0,2006,15028.0,5.3790000000000004
CHAIN PHARMACY,WA,BENTON,9143,2.6895,300.0,1.5,10.0,2006,15028.0,4.03425
CHAIN PHARMACY,WA,BENTON,9143,4.03425,300.0,1.5,15.0,2007,14951.0,6.051375
CHAIN PHARMACY,WA,BENTON,9193,0.3027,100.0,1.0,5.0,2007,17121.0,0.3027
CHAIN PHARMACY,WA,BENTON,9143,0.8965,100.0,1.5,10.0,2007,14951.0,1.34475
CHAIN PHARMACY,WA,BENTON,9143,1.34475,300.0,1.5,5.0,2008,17157.0,2.017125
CHAIN PHARMACY,WA,BENTON,9143,3.5860000000000003,100.0,1.5,40.0,2008,17157.0,5.3790000000000004
CHAIN PHARMACY,WA,BENTON,9143,1.793,400.0,1.5,5.0,2008,17157.0,2.6895
CHAIN PHARMACY,WA,BENTON,9193,0.45405,100.0,1.0,7.5,2008,19297.0,0.45405
CHAIN PHARMACY,WA,BENTON,9143,2.6895,100.0,1.5,30.0,2008,17157.0,4.03425
CHAIN PHARMACY,WA,BENTON,9143,2.6895,300.0,1.5,10.0,2010,23061.0,4.03425
CHAIN PHARMACY,WA,BENTON,9193,3.027,500.0,1.0,10.0,2011,28989.0,3.027
CHAIN PHARMACY,WA,BENTON,9193,2.27025,500.0,1.0,7.5,2012,28441.0,2.27025
RETAIL PHARMACY,WA,CLARK,9143,0.672375,100.0,1.5,7.5,2008,113021.0,1.0085625
RETAIL PHARMACY,WA,CLARK,9143,7.1720000000000015,100.0,1.5,80.0,2008,113021.0,10.758000000000003
RETAIL PHARMACY,WA,CLARK,9193,0.45405,100.0,1.0,7.5,2008,30981.0,0.45405
RETAIL PHARMACY,WA,CLARK,9143,2.24125,500.0,1.5,5.0,2008,113021.0,3.361875
RETAIL PHARMACY,WA,CLARK,9143,32.274,1200.0,1.5,30.0,2008,113021.0,48.411
RETAIL PHARMACY,WA,CLARK,9143,5.379,400.0,1.5,15.0,2008,113021.0,8.0685
RETAIL PHARMACY,WA,CLARK,9143,13.4475,500.0,1.5,30.0,2009,85634.0,20.17125
RETAIL PHARMACY,WA,CLARK,9143,1.793,100.0,1.5,20.0,2009,85634.0,2.6895
RETAIL PHARMACY,WA,CLARK,9143,2.6895,400.0,1.5,7.5,2009,85634.0,4.03425
RETAIL PHARMACY,WA,CLARK,9143,6.2755,1400.0,1.5,5.0,2009,85634.0,9.41325
